sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending
Jason ketemu karo wakil lan anggota komisi organisasi.,Wakil Komisi Jason ora bisa rawuh ing rapat kasebut.,Jason duwe rapat babagan desain program kerja.,Rapat dianakake online.,Jason ketemu karo wakil lan anggota komisi organisasi.,Mung Jason sing rawuh ing rapat kasebut.
Cekelan Jeje ing rel tangan sepur dumadakan diuculake.,Jeje meh tiba amarga kelangan imbangan.,"Nanging, Jeje kasil nyekel awake jejeg.",Tiba-tiba sepur mandheg njalari tangane Jeje ambruk.,Jeje langsung nyekel rel tangan maneh sadurunge sepur mlaku maneh.,Jeje langsung nggoleki petugas kanggo njaluk tulung.
Wetenge Reno lara banget.,Sore iki dheweke nglangi karo mbakyune.,"Nanging, sadurunge nglangi dheweke ora panas.",Wetenge uga ora diisi wiwit esuk.,Akibate wetenge Reno krasa lara.,Reno lara weteng amarga ngombe banyu kolam.
Gagang jedhing ing omahe Elisa rusak.,"Ora mung kuwi, kuncine rada teyeng.",Lawang dadi angel banget dibukak.,"Kadhangkala, kunci kasebut macet dadi arang digunakake.",Mula lawange arang dikunci lan luwih kerep diblokir nganggo watu.,Keluarga Elisa kudu mbangun jedhing anyar.
Minggu iki bakal ana bazar buku.,Panggonane ana ing alun-alun kutha.,Macem-macem jinis buku didol kanthi rega murah.,Sita lunga menyang pasar buku karo ibune.,Dheweke tuku akeh novel lan komik.,Sita ora seneng maca buku.
Wis seminggu Wiby lara watuk.,Tenggorokan Wiby krasa gatel.,Wiby wis saben dina ngombe obat.,"Nanging, Wiby ora noto panganane amarga isih kerep mangan gorengan.","Akibate, batuke Wiby ora mari.","Akibate, batuke Wiby saiki dibarengi pilek."
Gema pancen senengane nulis crita.,Dheweke entuk inspirasi saka macem-macem acara.,"Ora jarang, crita-crita kasebut inspirasi saka kedadeyan saben dina.",Dheweke pancen pengin dadi novelis terkenal.,"Mula, dheweke ora mandheg nulis crita.",Dheweke mbangun toko buku kanggo awake dhewe.
Haikal kuwi bocah sing gampang srawung.,Haikal pinter mecah suasana.,Nang endi wae Haikal mesthi rame.,"Haikal asring guyon, nanging dheweke ngerti watesan apa sing bisa dicekel lan sing ora bisa.",Mula Haikal disenengi kanca-kancane.,Mula Haikal disengiti.
Gian lagi lara.,Rambute Gian terus rontok.,Gian nindakake terapi.,Kondisi rambute Gian tambah parah.,Rambute Gian rontok amarga lara.,Gian ngelakoni terapi supaya rambute ora rontok.
Ezra apik ing poker.,"Ezra, Giran, lan Johan main kertu bebarengan.",Giran lan Johan wis kalah kaping pirang-pirang.,Ezra tansah gampang menang.,Giran lan Johan ora bisa ngalahake Ezra.,Johan bisa ngapusi Ezra lan dadi juara.
"“Seneng tenan kaya kowe,” kandhane nalika mbukak file foto ing laptopku.","""Nalika gedhe sampeyan uga bisa nindakake. Saiki mung seneng dolanan karo kanca-kanca,""wangsulanku.","“Aku ora duwe kanca,” jawabe santai sinambi ngerebut HP-ku.",Aku kaget krungu jawabane.,"“Oke, mengko kowe ketemu,” wangsulanku maneh sinambi ngelus-elus rambute.","""Celanamu uga apik ,ta?"" takonku."
