Kalimah-1,Kalimah-2,Kalimah-3,Kalimah-4,Ending Bener,Ending salah
Mela boga dua kuya,Kuya nu jalu ngaranna Jojo,Kuya nu bikang ngaranna Momo,Saban poé Méla méré kadaharan nu séhat,Ayeuna duanana geus sagedé sirah Mela,Penyu resep ngadahar lauk bakar
Ibu resep tani,Ibu hayang ngahasilkeun sayuran sorangan,Ibu melak bayem jeung kangkung di pakarangan,Ibu biang hoyong masak sayuran,Ibu nyokot bahan ti pakarangan,Ibu indit meuli kangkung ti tukang sayur
Jokowi meunang Pilpres Indonésia,Kulawarga Jokowi ngiring bingah,Teu hilap ka partey PDIP sareng koalisina,Peresmian bakal dilaksanakeun ahir bulan ieu,"Ku kituna, SBY salaku présidén nu ayeuna ngajabat parantos ninggalkeun karaton",Jokowi memang presiden anu hébat
Hani teu resep kana bau minyak kayu putih,"Lamun ngambeu minyak kayu putih, manéhna langsung ngarasa seueul",Sirahna ogé langsung lieur,"Ku alatan éta, Hani pernah tara nganggo minyak kayu putih",Anjeunna langkung resep ngagunakeun minyak telon,Hani leuwih resep nginum minyak kayu putih
Novia ménta és krim ka lanceukna,Lanceukna Novia keur teu hayang diganggu,"Novia bendu, ceurik",Lanceukna Novia geus meuli és krim dina kulkas,Novia jadi gumbira sarta eureun ceurik,Novia boga adi
Karina boga dua lanceuk,Lanceukna nu pangkolotna damel janten dokter anak,Lanceukna kadua damel janten dokter gigi,Karina kagum tur ngidolakeun dua lanceukna,Ku kituna Karina ogé hayang jadi dokter,Karina ngahaja mindeng gering sangkan lanceukna sok merhatikeun dirina
Kino sareng kulawargana nuju wisata ka wahana wisata cai,Anjeunna sumanget pisan pikeun nyobaan sorodotan cai nu pangjangkungna di dinya,Manehna buru-buru nyokot pelampung nu deukeut,Ujug-ujug aya nu ngageroan Kino,"Rupana, Kino poho mayar séwa palampung",Jalma anu ngageroan anjeunna ngajual inuman tiis
Xiara nuju hamil,Jaron salaki Xiara,Xiara hoyong buah mangga nu lada,Jaron néangan nu ngajual buah deukeut imahna,Xiara hayang rujak,Xiara can kawin
Poe ieu kantin sakola rame pisan,Nu ngajual bakso keur ulang taun,Anjeunna masihan porsi tambahan ka 10 murid munggaran anu mésér bakso na,"Pas istirahat, murid langsung lalumpatan ka kantin",Aranjeunna hoyong porsi tambahan bakso,Murid kalaparan geus lila teu dahar
Voldemort mangrupakeun penyihir hitam,Anjeunna kuat pisan sarta jahat,Dunya geus jadi poék ku kajahatanna,Teu aya anu wani ngalawan kakawasaan Voldemort,Voldemort boga kuasa nu pohara,Seueur jalma anu kagum ku Voldemort
Elaina hayang ngarobah penampilan na,Elaina hayang make jilbab dina kahirupan sapopoe,Kolotna Elaina ngadukung kaputusan Elaina,Elaina meuli jilbab jeung pernak-pernik,Elaina mimiti diajar hijrah,Elaina leuwih resep pamer buukna ka dunya
Rama ngan boga 3 dulur awewe,Retha sareng Rana mangrupikeun adi kembarna Rama,Ratih téh adina Rama nu bungsu,Caros cicing di imah Rama,Caros nyaéta dulur lalakina Rama,Caros nyaéta dulur awewena Rama
Nini resep pisan nonton sinetron,Unggal soré sanggeus solat magrib manéhna diuk hareupeun layar televisi salila 3 jam,Aya kalana manéhna ngagerendeng lantaran keuheul ningali tokoh antagonis anu kalakuanana mindeng ngaganggu tokoh utama.,Teu jarang nini-nini dibaturan ku akina nalika nonton sinetron.,"Pikeun nini, sinétron téh minangka sarana hiburan peuting",Nini hayang pisan jadi salah saurang palaku dina sinetron
Cokki tungkul ka handap bari lemes ningali sapatuna,Bagian hareup sapatuna kabuka badag.,Sapatu Cokki geus ruksak.,Liang anu tadina leutik beuki gedé alatan sapatuna ngagesek dina aspal.,Ieu kajadian alatan Cokki labuh bari lumpat pas kelas olahraga.,Ieu kajadian alatan Cokki seuri barakatak.
Suku Rayana tijalikeuh.,Rayana labuh pas maen futsal tadi isuk.,Ayeuna sukuna nyeri nalika leumpang.,Rayana soré ka klinik kampus bareng Novian babaturan futsalna.,Novian geus jangji ngabaturan manéhna alatan manéhna teu bisa leumpang tanpa bantuan,Novian geus jangji rék meuli sapatu futsal anyar.
Elias pernah digawé salaku loker koran,Elias ngalungkeun koran ka pakarangan,Elias digawé ti isuk nepi ka beurang,Elias indit ka sakola soré,Elias tiasa ngabagi waktosna antara padamelan sareng diajar,Elias teu sakola
Umay naék hujan kana motorna.,Hujan teu ngecrék teuing.,Umay kakara meunang telepon ti Ibu.,"Ibu ngabéjaan yén Sihab, misanna Umay aya di imahna.",Umay gura-giru hayang nepungan Sihab nu geus mangtaun-taun teu kadéngé.,Umay rék nganjang ka imah Sihab.
Silvina ngarasa teu boga kasempetan dina kompetisi ieu,Silvina teu nyangka bakal meunang ieu kompetisi,Silvina ngan miharep yén Allah bakal masihan anjeunna hadiah,Silvina pasrah kana kersa Gusti,Silvina junun jadi juara kompetisi,Silvina henteu ilubiung dina kompetisi ayeuna
Juan indit ka kantor kana metromini,Aya tukang ngamen di metromini,Tukang ngamen ménta saeutik duit ti Juan,Juan henteu masihan artos ka tukang ngamen,Juan teu boga duit leutik,Tukang ngamen ngarampog duit Juan
Rena geus sababaraha kali nyobaan melak kemangi,Hanjakal anjeunna sok gagal,Anjeunna nyobian tumuwuh tina siki,Anjeunna ogé parantos nyobian miara bibit leutik,"Sanaos anjeunna parantos ngurus bener-bener, anjeunna sok gagal",Pepelakan nu dirampa ku Rena bakal paeh
Nova nyaéta kapala hiji organisasi ilmiah,Gibran nyaéta kapala hiji organisasi kasenian,Nova jeung Gibran dina widang béda,Nova teu tiasa gabung Gibran,Gibran maksa Nova asup kana organisasina,Nova ngan hiji anggota organisasi
"""Geus lila pisan, nya?"" Ceuk Zoe sanggeus sababaraha menit maranéhna ngan neuteup dina tiiseun dina lampu peuting kota tina jandela réstoran.",Zoe ujug-ujug ngahubungi Yona sarta ngajak manehna dahar peuting babarengan.,Sanajan geus sababaraha taun teu papanggih.,"""Enya. Geus lila pisan."" jawab Yona.",Suasana nu tadina seru ngadadak jadi tegang.,Zoe nyandak sapotong jajan teras nahan kana méja.
Enzo sering meuli takjil di masjid deukeut imahna.,Aya rupa-rupa takjil anu dijual.,"Aya kolek cau, rupa-rupa gorengan, jeung sababaraha rupa inuman es.",Karesep Enzo nyaéta kolak cau sareng tahu boneka.,Enzo henteu hilap mésér takjil di dinya salami bulan Ramadhan.,Enzo henteu hilap ngalaksanakeun solat tarawih di masjid salami bulan Ramadhan.
Zaid langkung kolot 2 taun ti Bagja.,"Waktu keur budak, maranehna mindeng gelut.",Zaid mineng ngaheureuyan adina Bagja nepi ka Bagja ceurik.,"Tapi nalika aranjeunna dewasa, aranjeunna janten caket.",Zaid jeung Bagja sok nyempetkeun papanggih sahenteuna saminggu sakali sanajan jadwal sibuk.,Zaid jeung Bagja geus dua taun teu papanggih.
Gagang kamar mandi di imah Élisa ruksak,"Henteu éta hungkul, konci na oge rada keyeng",Panto jadi hésé pisan dibuka,"Sakapeung, koncina mampet jadi jarang dipaké","Ku alatan éta, panto jarang dikonci sarta leuwih mindeng diganjel ku batu",Kulawarga Elisa kedah ngawangun kamar mandi énggal
Sadaya murid kedah nganggo pakean anu rapih sareng lengkep,Isyah poho make dasi jeung sabuk,Isyah panik jeung hariwang,Jerom nginjeumkeun dasi jeung sabukna nu séjén,Isyah teu dihukum ku guru,Isyah dangdanan rapih
Miani resep pisan balanja,Miani boros pisan dina urusan kauangan,Indungna Miani ambek kana sikep Miani,Miani jangji moal ngulang deui kalakuanana,Miani bakal leuwih hemat dina urusan kauangan,Miani teu bisa nahan kahayang pikeun balanja
Déni téh budak bangor anu resep nyieun masalah,"Di sakola, anjeunna sering bolos, gelut sareng huru-hara",Kapaksa sakola ngahubungi indungna Deni gara-gara kalakuan Deni,Déni teu nyangka indungna ceurik ngadéngé kalakuanana di sakola,Manéhna ngarasa kaliru jeung boga tekad pikeun jadi budak nu hadé,Déni mutuskeun pikeun leuwih ati-ati dina nyieun masalah sangkan indungna teu nyaho
