topic,premise,correct_ending,incorrect_ending
Food,Ani kepingin ngerangkak jajanan pasar kanggo kulawargané. Ani bingung milih jajanan sing cocog kanggo kabeh. Ani nemtokne milih kue lapis sing dadi favorit kulawarga. Ani ngrasa seneng amarga kulawargane gembira.,Ani ngerti pentingne ngerti selera kulawarga.,Ani ngerti yen kue lapis kuwi jajanan sing paling enak.
Food,Dina ngajak kanca-kancane nganakake kenduri. Dina kepingin ngajak kancane mangan nasi liwet. Dina ngatur kanggo nggawé nasi liwet bareng-bareng. Dina ngrasa seneng amarga kancane seneng.,Dina belajar menehi kontribusi kanggo acara bersama.,Dina ngerti yen nasi liwet kuwi masakan sing paling enak.
Food,Siti lagi ngerjakan tugas sekolah tentang budaya Jawa. Siti kepingin ngerti luwih lanjut babagan bledug. Siti nonton video lan maca buku babagan bledug. Siti ngerti yen bledug iku salah sawijining budaya kuliner Jawa.,Siti duwe rasa bangga karo budaya Jawa.,Siti bisa nggawé bledug kanggo tugas sekolah.
Food,Bagas diajak kakeke menyang pasar tradisional. Bagas diajak ngobrol karo para pedagang. Bagas dibelikan jajanan pasar kanggo dibalang. Bagas ngrasa seneng amarga bisa ngobrol karo wong-wong tuwa.,Bagas ngerti pentingne nglestarikan budaya.,Bagas seneng ngerti jajanan pasar sing dikoleksi.
Food,Ratih kepingin ngajak kancan-kancane nganakake slametan. Ratih bakal masak nasi tumpeng sendiri. Ratih ndadak ora kepénak karo kahanane. Ratih ngajak kancan-kancane mampir ngombe wedang jahe ing warung Pak Warno.,Warung Pak Warno lagi tutup.,Kancane Ratih seneng banget bisa diundang.
Food,Pak Budi ngundang tetangga kanggo mesthi ngupas tembung. Pak Budi nyiapake jajanan pasar kanggo tamu-tamune. Pak Budi nggunakake piring lan mangkuk sing diwarisake dening neneké. Pak Budi seneng banget bisa ngluncurake budaya luhur.,Pak Budi ora ngerti carane ngupas tembung.,Tetangga Pak Budi seneng banget bisa diundang.
Food,Nenek sedang meracik wedang ronde. Aroma jahe lan gula jawa ngisi dapur. Cucu-cucunya ngumpul ngelilingi Nenek. Nenek ngasih takaran gula sing pas kanggo saben gelas.,Nenek lupa nambah air.,Cucu-cucunya seneng banget nginum wedang ronde.
Food,"Dina minggu iki, keluarga Pak Karta bakal ngunjungi candi Borobudur. Pak Karta ngajak anak-anakne ngenteni singgah ing warung sate klathak. Anak-anak Pak Karta seneng banget bisa mrenehi pengalaman anyar. Pak Karta seneng ngelih senyum anak-anakne.",Sate klathak ing warung kasebut kurang enak.,Anak-anak Pak Karta gembira bisa ngunjungi candi Borobudur.
Food,Sari kepingin ngasih oleh-oleh khas kanggo ibune. Sari milih jenang grendul ing toko oleh-oleh. Sari pengin ngasih kejutan kanggo ibunye. Sari ngarep ibunye seneng.,Ibu Sari ora seneng karo jenang grendul.,Ibu Sari seneng banget ngerti kejutan Sari.
Food,Siska lagi nggawe tempe mendoan. Siska nggunakake kluwih kanggo mendoan. Ibu Siska ngerti Siska nggawe mendoan. Ibu Siska nyawang Siska sing lagi nggoreng mendoan.,Ibu Siska iku seneng amarga Siska ngerti masak.,Ibu Siska ngerti tempe mendoan sing enak.
