topic,premise,correct_ending,incorrect_ending
Food,"Wiwit cilik, Bimo mameri gudeg kanggo kue lebaran. Bimo mesthi pameri gudeg ing wanci lebaran. Gudege Bimo paling disenengi karo warga. Wong-wong ndhobel gudege Bimo.",,Bimo banjur tuku gudeg ing pasar.
Food,Siti wani nggawe lawuh kanggo kue lebaran. Siti mesthi nggawe lawuh ing wanci lebaran. Lawuhe Siti paling disenengi karo warga. Wong-wong ndhobel lawuhe Siti.,Bimo pameri gudeg ing gawe warga.,Siti tuku lawuh ing pasar.
Food,Lesti apik ing nggawe bakpia kanggo kue lebaran. Lesti mesthi nggawe bakpia ing wanci lebaran. Bakpiae Lesti paling disenengi karo warga. Wong-wong ndhobel bakpiae Lesti.,Siti pameri lawuh ing gawe warga.,Lesti tuku bakpia ing pasar.
Food,Ayu apik nggawe es dawet kanggo kue lebaran. Ayu mesthi nggawe es dawet ing wanci lebaran. Es dawete Ayu paling disenengi karo warga. Wong-wong ndhobel es dawete Ayu.,Lesti pameri bakpia ing gawe warga.,Ayu tuku es dawet ing pasar.
Food,Sari wani nggawe cenil kanggo kue lebaran. Sari mesthi nggawe cenil ing wanci lebaran. Cenile Sari paling disenengi karo warga. Wong-wong ndhobel cenile Sari.,Ayu pameri es dawet ing gawe warga.,Sari tuku cenil ing pasar.
Food,Dian apik nggawe kue lapis kanggo kue lebaran. Dian mesthi nggawe kue lapis ing wanci lebaran. Kue lapisane Dian paling disenengi karo warga. Wong-wong ndhobel kue lapisane Dian.,Sari pameri cenil ing gawe warga.,Dian tuku kue lapis ing pasar.
Food,Rina wani nggawe kue putu kanggo kue lebaran. Rina mesthi nggawe kue putu ing wanci lebaran. Kue putune Rina paling disenengi karo warga. Wong-wong ndhobel kue putune Rina.,Dian pameri kue lapis ing gawe warga.,Rina tuku kue putu ing pasar.
Food,Yuni apik nggawe kue semar mendem kanggo kue lebaran. Yuni mesthi nggawe kue semar mendem ing wanci lebaran. Kue semar mendeme Yuni paling disenengi karo warga. Wong-wong ndhobel kue semar mendeme Yuni.,Rina pameri kue putu ing gawe warga.,Yuni tuku kue semar mendem ing pasar.
Food,Winda wani nggawe kue bika ambon kanggo kue lebaran. Winda mesthi nggawe kue bika ambon ing wanci lebaran. Kue bika ambone Winda paling disenengi karo warga. Wong-wong ndhobel kue bika ambone Winda.,Yuni pameri kue semar mendem ing gawe warga.,Winda tuku kue bika ambon ing pasar.
Food,Vina apik nggawe kue kipo kanggo kue lebaran. Vina mesthi nggawe kue kipo ing wanci lebaran. Kue kipone Vina paling disenengi karo warga. Wong-wong ndhobel kue kipone Vina.,Winda pameri kue bika ambon ing gawe warga.,Vina tuku kue kipo ing pasar.
Food,Bawang lan lombok kudu dibedhah. Sinta ora seneng mbedhah bawang. Bawang lan lombok iku bahan kanggo gawe sambel. Sinta kudu gawe sambel kanggo ndhelik panganan.,,Sinta uga wani nggawe sambel.
Food,Arini milih mangan sega kucing. Arini seneng mangan sega kucing. Sega kucing iku makanan khas ing Jawa. Sega kucing iki wis dadi menu favorit.,Sinta mesti mbedhah bawang lan lombok.,Arini milih mangan sega kucing saben dina.
Food,Krida mesti nggawe jenang kacang ijo. Krida wis siap bahan-bahan kang dibutuhake. Krida seneng mangan jenang kacang ijo. Jenang kacang ijo iki mbantah Krida turu.,Sega kucing iku ora makanan favorit Arini.,Krida mesti nggawe jenang kacang ijo saben dina.
Food,Mangan ing Jawa ora kena nganggo sendok. Mangan ing Jawa kudu nganggo tangan. Tangan kudu dibasuh sadurunge mangan. Damar mesti mangan nganggo tangan.,Krida wis lali cara nggawe jenang kacang ijo.,Damar weruh tangan iki ora sopan.
Food,Dwi kudu tuku es teler. Es teler iki khas ing Jawa. Es teler wis dadi panganan favorit. Dwi mesti tuku es teler.,Damar mesti mangan nganggo sendok.,Dwi mesti tuku es teler saben dina.
Food,Tiga dina iki bakal ana acara hajatan. Acara hajatan iki butuh akeh panganan. Gudeg khas Yogyakarta iki ora ketinggal. Gusnul mesti gawe gudeg.,Dwi ora suka es teler.,Gusnul wis ahli gawe gudeg.
Food,Risma kudu milih makanan kang sehat. Risma milih mangan gudeg kang khas Yogyakarta. Gudeg iki seger lan sehat. Risma mesti mangan gudeg.,Gusnul ora tau gawe gudeg.,Risma mesti mangan gudeg saben dina.
Food,Lestari mesti gawe sate madura. Lestari wis siap bahan-bahan kang dibutuhake. Sate madura iki makanan favorit. Lestari wis ahli gawe sate madura.,Gudeg iki ora makanan favorit Risma.,Lestari mesti gawe sate madura saben dina.
Food,Bambang wis siap mangan gudeg. Bambang milih mangan gudeg kang khas Yogyakarta. Gudeg iki seger lan sehat. Bambang mesti mangan gudeg.,Lestari ora tau gawe sate madura.,Bambang mesti mangan gudeg saben dina.
Food,Kerti tansah ulah mangan gudeg khas Yogyakarta. Kerti seneng mangan gudeg ing katering mligi. Kerti tansah duwe ide kanggo ngembangake resep gudeg. Kerti kangen mangan gudeg kang didaftar kang ayu lan murah.,,Kerti kangen mangan gudeg kang didaftar kang ayu lan resik.
Food,Dedi seneng mangan pecel kang gedhe. Dedi lan kancane tansah mangan pecel kang maksih anget ing katering mligi. Dedi lan kancane seneng mangan pecel kang maksih anget. Dedi lan kancane mangan pecel karo kacang lan peuyeum.,Kerti lan keluarga mangan gudeg bebarengan.,Dedi lan kancane kangen mangan pecel kang maksih anget.
Food,Sinta lan kancane tansah mangan sate khas Kudus. Sinta tansah mangan sate kang maksih anget. Sinta lan kancane duwe katering mligi kang kanggo mangan sate. Sinta lan kancane mangan sate karo mligi.,Dedi lan kancane milih mangan pecel kang maksih anget.,Sinta tansah mangan sate kang maksih anget.
Food,Bumi tansah mangan mendoan kang murah. Bumi lan kancane tansah mangan mendoan kang maksih anget. Bumi lan kancane mangan mendoan kang maksih anget ing katering mligi. Bumi lan kancane duwe katering mligi kanggo mangan mendoan.,Sinta lan kancane mangan sate bebarengan karo kulawarga.,Bumi lan kancane mangan mendoan kang maksih anget.
