topic,premise,correct_ending,incorrect_ending
Food,Ejoy punika ngligik soko bakar. Ejoy wis dados dheweke kuliner pinter. Soko bakar wis dados kuburan. Ejoy wongkekake kula soko bakar.,,Ejoy nelelepat kuburan saking ngendi soko bakar.
Food,"Kang Narti wong saking wilujengan. Kang Narti pinter ngligik jajan pasar. Jajan wis dados kosong, wong kena mboten makan. Kang Narti wis dados jajan kakeknya.","Ejoy arep dados soko bakar, karepke kaget kuburan.","Kakek wis ngrasakake kang Narti, karepke wis kula jajan."
Food,"Elistin ngligik nasi jagung lawas. Elistin wong saking kaswin. Nasi jagung wis dados kuping sapi. Elistin kula kuping sapi wis dados, nanging wong wis kula nasi jagung.","Kang Narti ngasih jajan kakek, karepke kakek wis ngendi.","Elistin kula kuping sapi wirasan, wong wis kula nasi jagung lawas."
Food,"Sari ingkang kulineran sampe ngligro kota. Ngligro saking harga mahal sing matengan. Sari kira-kira, ""Siapa kowani ora bisa nggolengan kuliner Javanese?"" Sari ngaliringake temen-temen.",,Sari tetep gali duit ora bisa kulineran kowe.
Food,"Budi kulineran sampe warung tegalan. Iki warung ngligro sing paling enak. Budi kena tau, warung kowani ora ada stok nasi. Budi marah nanging tetep kena nungsi.",Sari nikadi ngligro kulineran nggono.,Budi nggawe warung iki.
Food,"Prabowo kulineran sampe ngalamun teman. Teman iki kulineran sampe gagal. Prabowo kira-kira, ""Ambek, kowe ora bisa makan apa-apa kowe?"" Prabowo tanggapi dengan pinteran.","Budi kena tau, warung iki nggawe karepasehannya.",Prabowo lelaki bajingan.
Food,"Sari ngajari cara memasak wedang uwuh sakaro wong keluarga. Sari istri nabi, wong kang wae kawulaan. Sari karaton kanggo wong keluarga kanggo gincu sing sare. Sari nglukir wong keluarga sing bakal ngajari wedang uwuh.",Sari ngajari wedang uwuh sakaro wong keluarga sing bakal nggoleki wong keluarga.,Sari ora ngajari wedang uwuh karepake wong keluarga.
Food,Sukoco ngajari cara memanfaatkan endalan sageran. Sukoco nami wong kang wae kawulaan. Sukoco karaton kanggo wong keluarga kanggo gincu sing sare. Sukoco nglukir wong keluarga sing bakal ngajari cara memanfaatkan endalan sageran.,Sukoco ngajari cara memanfaatkan endalan sageran saben dina.,Sukoco ora ngajari cara memanfaatkan endalan sageran.
Food,Elistin ngajari cara membuat lumpia sing sare. Elistin nami wong kang wae kawulaan. Elistin karaton kanggo wong keluarga kanggo gincu sing sare. Elistin nglukir wong keluarga sing bakal ngajari cara membuat lumpia sing sare.,Elistin ngajari cara membuat lumpia sing sare saben dina.,Elistin ora ngajari cara membuat lumpia sing sare.
Food,Iwan ngajari cara mengolah teh botol. Iwan nami wong kang wae kawulaan. Iwan karaton kanggo wong keluarga kanggo gincu sing sare. Iwan nglukir wong keluarga sing bakal ngajari cara mengolah teh botol.,Iwan ngajari cara mengolah teh botol saben dina.,Iwan ora ngajari cara mengolah teh botol.
Food,"Sari ngertos nguleg pinggan sate sawer. Sate sawer khas kampungan, nanging diproses oleh perusahaan besar. Sari mau beli untuk nikmati dengan keluarganya. Sari nungsi kemana-mana tapi sate sawer habis di pasar.",,Sari dudu ora di dapet sate sawer.
Food,"Ibu Narti suka mengolah ragout buah nangka. Ragout buah nangka biasanya disajikan saat acara-acara keluarga. Ibu Narti mau buat untuk acara keluarga minggu depan. Namun, buah nangka sedang tidak tersedia dipasaran.","Sari gapokok sate khas lain, lebih nikmat dari yang komersial.",Ibu Narti pake buah jambu lain sebagai ganti.
