topic,premise,correct_ending,incorrect_ending
Food,Joko lan Yanto arep tuku oleh-oleh. Dheweke arep mangan ing warung. Warunge wis tutup. Dheweke ora entuk oleh-oleh.,Dheweke arep tuku oleh-oleh lan mangan ing warung liyane.,Dheweke ora entuk oleh-oleh lan mangan ing warung.
Food,Sinta seneng mangan tempe. Dheweke arep tuku tempe. Tempe sing diwarunge wis habis. Sinta ora entuk tempe.,Sinta tuku tempe ing pasar.,Sinta ora mangan tempe.
Food,Bayu lan Bagas arep tuku wedang ronde. Dheweke arep mangan ing warung. Warunge wis tutup. Dheweke ora entuk wedang ronde.,Dheweke tuku wedang ronde ing pasar.,Dheweke ora mangan wedang ronde.
Food,Joko lan Yanto padha seneng mangan. Sing diomongke dheweke padha seneng mangan panganan tradisional. Sing paling disenengi dheweke yaiku gudeg. Sing ora disenengi dheweke yaiku sayur asem.,Sing disenengi dheweke padha panganan tradisional.,Sing disenengi dheweke padha panganan moderen.
Food,Dina lan kanca-kancane padha seneng mangan. Dina kepingin tuku panganan khas. Dina tuku klepon lan wajik. Dina lan kanca-kancane padha seneng mangan panganan khas.,Dina lan kanca-kancane padha seneng mangan panganan khas.,Dina lan kanca-kancane padha ora seneng mangan panganan khas.
Food,Budi lan kanca-kancane padha seneng mangan. Budi kepingin tuku panganan khas. Budi tuku tahu tek lan rujak cingur. Budi lan kanca-kancane padha seneng mangan panganan khas.,Budi lan kanca-kancane padha seneng mangan panganan khas.,Budi lan kanca-kancane padha ora seneng mangan panganan khas.
Food,"""Lho, kok wedi? Aku kan wis janji ora bakal ngajak kowe mangan sing aneh-aneh."" Wisno ngomong nganti nggegirisi kancane, Dina. Dina ora doyan mangan sing aneh, tapi pengin ngrasakake kuliner lokal. ""Aku pengin nyoba, tapi ojo sing aneh-aneh yo,"" Dina ngguyu. Dina lan Wisno neng kene kanggo nyoba kuliner khas.",Dina lan Wisno saiki wis ngrasakake kuliner lokal sing enak.,"Dina ora doyan mangan kuliner lokal, tapi Wisno seneng banget."
Food,"""Kowe wis mangan jamu, kan?"" Tanyane Mbak Ratih marang ademake. Mbak Ratih kudu nggawe jamu kanggo ademake sing lagi sakit. ""Iya, Mbak. Aku wis mangan jamu saka kene,"" jawabe ademake. Mbak Ratih seneng, jamune kudu diarani saka dokter.",Mbak Ratih ngerti manfaat jamu tradisional.,"Jamune ademake ora mempan, Mbak Ratih kudu nyekel dokter maneh."
Food,"""Kowe kudu nyoba gudeg, lho!"" Mas Yuda ngajak kancane, Bayu, mangan gudeg. Bayu ora tau kuliner khas Jogja. ""Aku pengin nyoba, tapi kudu nganggo tangan apa sendok?"" tanyane Bayu. Mas Yuda ngguyu, ""Lha iku kudu nganggo tangan, kui tradisi.""",Bayu seneng bisa ngrasakake gudeg lan budaya kuliner lokal.,"Bayu ora doyan gudeg, tapi seneng karo tradisi makane."
Food,"Dina lan adike, Dina, padha njupuk tiwul ing warung. Tiwul iku panganan tradisional sing enak lan murah. Dina seneng banget karo rasane, apalagi nganggo sambel. Dina ngajak adike mangan bareng.",Tiwul iku panganan sing apik kanggo ngisi perut lan nguri-uri budaya kuliner Jawa.,Dina lan adike ora doyan mangan tiwul maneh.
