topic,premise,correct_ending,incorrect_ending
Food,Nenek Atik ngadamel kue balok buat dibagi ka tetangga. Nenek Atik ngagunakeun bahan-bahan alam sareng resep turun-temurun. Kue balok buatan Nenek Atik teu geus lila dibagi. Anak-anak di kampung teu sabar ngadéngé kue balok.,Anak-anak ngantri tur ngaresep kue balok Nenek Atik,Anak-anak ngampar kue balok Nenek Atik
Food,"Asep hayang ngajak Ratih jeung kawan-kawan ngarameg di warung nasi Bancakan. Ratih teu suka mangan nasi Bancakan, tapi teu hayang ngomong jujur. Ratih ngalakukeun alasan teu bisa dateng.",Asep ngajak kawan-kawan anu lian nu suka nasi Bancakan,Ratih ngajak kawan-kawan ke warung nasi Sunda
Food,Ibu Dewi ngabogaan mangga gedé nu mateng. Ibu Dewi ngadegkeun mangga di meja. Ibu Dewi ngajak anak-anakna pikeun nyeruput jus mangga.,Ibu Dewi ngasih tahu anak-anakna cara nérép mangga nu bener,Ibu Dewi manggil tukang jus pikeun ngolah mangga
Food,Budi ngajak Dadang datang ka warung kopi. Budi nginum kopi hitam. Dadang teu suka kopi pahit. Dadang teu ngomong jujur ka Budi.,Dadang nginum teh tawar,Dadang nginum kopi hitam tapi teu dihareupkeun
Food,Ibu Ratih ngajungjuk buah-buahan lokal. Ibu Ratih ngasih buah-buahan ka para tetangga. Ibu Ratih berharap tetangganya sehat.,Tetangga Ibu Ratih ngagira Ibu Ratih nyaeta urang nu peduli,Tetangga Ibu Ratih ngeunah buah-buahan nu dibagi Ibu Ratih
Food,Ibu Asih ngawajibkeun anak-anakna pikeun mangan nasi tutug oncom saacan nginum susu. Ibu Asih percaya nasi tutug oncom bisa ngaleuleuskeun kandungan susu. Anak-anakna teu suka nasi tutug oncom. Ibu Asih teu ngabolehan anak-anakna nginum susu mun teu mangan nasi tutug oncom.,Ibu Asih ngajelaskeun kana anak-anakna manfaat nasi tutug oncom pikeun kesehatan.,Ibu Asih nembak anak-anakna pikeun nginum susu tan hana nasi tutug oncom.
Food,Opa Dipta ngajak cucu-cucu na ka sawah. Opa Dipta ngajarkeun cara ngatanam padi. Opa Dipta ngajelaskeun kana cucu-cucu na ngeunaan pentingna ngamrih bumi. Cucu-cucu Opa Dipta jadi ngeunaan pentingna ngamrih bumi.,Cucu-cucu Opa Dipta berjanji pikeun ngalestarikan alam sareng bumi.,Cucu-cucu Opa Dipta teu hayang balik ka sawah deui.
Food,Rini resep nyeruput kopi hitam sareng gula bodas. Rini geus mekar nginum kopi hitam saenggeus sarapan. Rini teu teu nginum kopi hitam mun teu aya gula bodas. Rini teu resep nginum kopi hitam tanpa gula bodas.,Rini coba nginum kopi hitam tanpa gula bodas pikeun ngurangan konsumsi gula.,Rini nginum kopi hitam tanpa gula bodas tapi nambahkeun susu.
Food,Kiki ngumpul kana kakek jeung nenekna di kampung. Kiki geus teu lila-lila ngtempo kakek jeung nenekna. Kiki ngurangan kangen kana kakek jeung nenekna. Kiki ngariungan kakek jeung nenekna di kampung.,Kiki bantu kakek jeung nenekna ngurus kebun jeung beternak.,Kiki langsung balik ka kota sabalikna.
Food,Lia teu teu suka nginum kopi. Lia ogé teu suka nginum teh. Lia suka nginum es buah. Lia ngarasa leuwih seger nginum es buah.,Lia teu pernah nginum kopi sareng teh,Lia suka nginum kopi sareng teh
