topic,premise,correct_ending,incorrect_ending
Food,"Rina sok neda sangu liwet dina daun pisang bareng kulawargana. Neda babarengan sapertos kitu mangrupakeun tradisi di kulawargana. Maranéhanana sok nambahkeun lauk asin, sambel, jeung lalab. Rina resep pisan kana suasana ieu.",Rina ngarepkeun bisa neruskeun tradisi ieu ka kulawargana di mangsa nu bakal datang.,Rina henteu resep kana lauk asin jeung sambel.
Food,Dadan sok mawa dodol Garut minangka cendera mata sakaligus balik ti Garut. Dodol Garut terkenal pisan di sakuliah Jawa Barat. Dadan sering ngabagi dodol ka tatangga jeung babaturanna. Dodol Garut anu manis sareng kenyal téh favorit sadayana.,Tatangga jeung babaturanna sok ngarep-ngarep Dadan balik ti Garut.,Dodol Garut sok gancang paehan lamun dibagi-bagi.
Food,"Dina hajatan pernikahan di kampung, sok aya suguhan soto Bandung. Soto ieu dihidangkan kalayan kerupuk jeung sambel. Rasana anu khas pisan ku rempah-rempah. Sagalana anu hadir sok muji kelezatan soto eta.",Soto Bandung jadi salah sahiji daya tarik utama dina hajatan éta.,Soto Bandung teu bisa dipangan ku barudak leutik.
Food,"Wawan sok ngumpulkeun alat masak tradisional. Anjeunna boga koleksi panci tanah liat, cobek batu, jeung kukusan bambu. Wawan sering ngagunakeun alat-alat ieu pikeun masak. Anjeunna percaya yén masakan jadi leuwih lezat lamun diolah nganggo alat tradisional.",Wawan ngarepkeun bisa ngajar barudakna masak nganggo alat tradisional ieu.,Koleksi Wawan henteu pernah dianggo pikeun masak.
Food,Tiara sok meser peuyeum Bandung salaku oleh-oleh ti tatar Sunda. Peuyeum Bandung kacida populérna di kalangan wisatawan. Rasana anu amis jeung rada asak mangrupakeun ciri khas. Tiara sering ngabagi peuyeum ka rerencanganna di luar kota.,Rerencanganna sok ngarep-ngarep Tiara balik ti Bandung.,Peuyeum Bandung teu bisa tahan lila sanajan disimpen di kulkas.
Food,"Dina lebaran, kulawarga Lina sok nyiapkeun ketupat jeung opor ayam. Ketupat diolah ku dibungkus daun kelapa ngora. Opor ayam dimasak nganggo santan jeung rempah-rempah tradisional. Lelaki jeung awéwé di kulawarga Lina babarengan masak di dapur.",Tradisi ieu ngajadikeun suasana lebaran di kulawarga Lina langkung meriah.,Ketupat jeung opor ayam teu pernah dipikaresep ku kulawargana.
Food,"Dina acara pernikahan, Nani nyiapkeun dodol Garut pikeun tamu-tamuna. Dodol Garut téh kadaharan khas ti Garut anu sering dijadikeun oleh-oleh. Rasa dodolna lemes jeung amis. Tamu-tamu anu hadir kacida resepna kana dodol éta.",Dodol Garut téh janten favorit di acara pernikahan éta.,Tamu-tamu langkung resep kana roti bakar.
Food,"Di kampung Asep, aya tradisi ngaliwet unggal minggu. Maranéhna bakal ngumpul di saung jeung ngaliwet babarengan. Asep sering ngabantu ibuna nyiapkeun liwet jeung sangu. Tradisi ngaliwet téh ngajarkeun silih tulungan sareng silaturahmi.",Maranéhna ngarasakeun liwet babarengan kalayan gumbira.,Asep milih dahar di warung.
Food,"Dina acara sakola, Siti nyandak opak pikeun dibagikeun ka babaturanana. Opak téh kadaharan tradisional Sunda anu dijieun tina sampeu. Rasa opak téh gurih jeung renyah. Babaturanana kacida resepna kana opak.",Opak téh gancang béak dibagi-bagikeun.,Babaturanana langkung resep kana ciki.
Food,Ujang ngabantosan indungna masak di dapur. Maranéhna masak sayur asem sareng sambel terasi. Sayur asem téh salah sahiji kadaharan tradisional Sunda. Maranéhna ngahaturanan masakan ka bapa anu énggal datang ti sawah.,Bapa ngahatur nuhun sareng ngarasakeun masakan sareng suka.,Bapa langkung milih indomie.
Food,"Dina musim buah, kebon Pa Darman pinuh ku buah manggis. Pa Darman sering ngabagi-bagi manggis ka tatangga. Buah manggis téh seger sarta amis. Tatangga kacida resepna kana buah manggis.",Pa Darman ngarasa senang bisa ngabagi berkah hasil kebon na.,Tatangga langkung resep kana buah apel.
Food,Dini sering nyieun bandrek di peuting. Bandrek téh inuman tradisional Sunda anu ngandung jahe sarta gula merah. Inuman ieu kacida hadéna pikeun ngangetkeun awak. Dini sering nyuguhkeun bandrek ka kulawargana.,Kulawarga ngarasa nyaman sareng haneut nginum bandrek.,Kulawarga milih nginum es campur.
Food,"Di pasar tradisional, Ujang milarian peuyeum Bandung pikeun dibawa ka kota. Ujang mendakan hiji kios anu ngajual peuyeum kualitas luhur. Anjeunna mésér sababaraha bungkus peuyeum. Ujang bungah tiasa nyandak peuyeum ka babaturanana di kota.",Babaturanana resep pisan kana peuyeum ti Bandung,Ujang henteu mendakan peuyeum di pasar
Food,Nyi Iteung masak nasi liwet di hawu. Anjeunna nganggo daun pisang pikeun ngageugeuh rasa. Tetangga-tetangga ngadangu harumna nasi liwet. Maranéhanana ngariung di imah Nyi Iteung.,Maranéhanana babarengan ngarayakeun maké nasi liwet,Nyi Iteung henteu masak nasi liwet
Food,"Kang Asep boga kebon kalapa di lembur. Manehna sering nyuguhkeun cendol es kelapa muda ka tamu-tamuna. Cendol es kelapa muda na kasohor di sakuliling lembur. Poe ieu, loba tamu datang ka kebonna.",Sadaya tamu ngarasa seger jeung resep cendol es kelapa muda,Kang Asep henteu gaduh tamu poe ieu
Food,"Kang Odi boga warung kopi di sisi jalan. Warungna kasohor ku kopi luwak na. Poe ieu, loba wisatawan asing datang. Maranehanana hayang nyobian kopi luwak nu kawentar.",Wisatawan muji kopi luwak di warung Kang Odi,Wisatawan henteu resep kopi luwak
