topic,premise,correct_ending,incorrect_ending
Food,"Asep rék ngangkat ""Kue Putu"" salaku oleh-oleh ti Bandung. Asep ngajak temen-temenna nu keur nganggur. Asep meuli ""Kue Putu"" ti toko kue nu aya di Jalan Braga. Asep ngajak temenna nuju mobil.",,Asep teu ngajak temenna nuju mobil.
Food,"Lili ancrub kana ""Bubur Ayam"" nu aya di warung makan. Lili rék ngadahar ""Bubur Ayam"" nu éndah. Lili ngadéngé yén ""Bubur Ayam"" téh éndah di warung makan éta. Lili ngajak temenna nuju warung makan éta.","Asep hayang ngabéjaan temen-temenna ngeunaan ""Kue Putu"" nu éndah.","Lili henteu ngadahar ""Bubur Ayam"" éta."
Food,"Tono rék nganggé ""Pisau Raut"" nu tradisional ti Sunda. Tono ngajak bapana nuju pasar. Tono meuli ""Pisau Raut"" ti penjual nu aya di pasar. Tono ngajak bapana nuju mobil.","Lili ancrub kana rasa ""Bubur Ayam"" nu éndah.","Tono teu nganggé ""Pisau Raut"" éta."
Food,"Sinta rék nginum ""Bajigur"" nu éndah. Sinta ngajak temenna nuju warung makan. Sinta meuli ""Bajigur"" ti penjual nu aya di warung makan. Sinta ngajak temenna nuju meja makan.","Tono hayang ngajérél bapana ngeunaan ""Pisau Raut"" nu tradisional.","Sinta henteu nginum ""Bajigur"" éta."
Food,"Dedi rék ngangkat ""Dodol Garut"" salaku oleh-oleh. Dedi ngajak bapana nuju pasar. Dedi meuli ""Dodol Garut"" ti penjual nu aya di pasar. Dedi ngajak bapana nuju mobil.","Sinta ancrub kana rasa ""Bajigur"" nu éndah.","Dedi teu ngangkat ""Dodol Garut"" éta."
Food,"Vina rék ngadahar ""Surabi"" nu éndah. Vina ngajak temenna nuju warung makan. Vina meuli ""Surabi"" ti penjual nu aya di warung makan. Vina ngajak temenna nuju meja makan.","Dedi hayang ngabéjaan bapana ngeunaan ""Dodol Garut"" nu éndah.","Vina henteu ngadahar ""Surabi"" éta."
Food,"Rina rék nganggé ""Centong"" nu tradisional ti Sunda. Rina ngajak bapana nuju pasar. Rina meuli ""Centong"" ti penjual nu aya di pasar. Rina ngajak bapana nuju mobil.","Vina ancrub kana rasa ""Surabi"" nu éndah.","Rina teu nganggé ""Centong"" éta."
Food,"Ira rék nginum ""Sekoteng"" nu éndah. Ira ngajak temenna nuju warung makan. Ira meuli ""Sekoteng"" ti penjual nu aya di warung makan. Ira ngajak temenna nuju meja makan.","Rina hayang ngajérél bapana ngeunaan ""Centong"" nu tradisional.","Ira henteu nginum ""Sekoteng"" éta."
Food,"Lestari rék ngangkat ""Kue Peuyeum"" salaku oleh-oleh. Lestari ngajak bapana nuju pasar. Lestari meuli ""Kue Peuyeum"" ti penjual nu aya di pasar. Lestari ngajak bapana nuju mobil.","Ira ancrub kana rasa ""Sekoteng"" nu éndah.","Lestari teu ngangkat ""Kue Peuyeum"" éta."
Food,"Di bulan Ramadhan, Rara sering meuli rupa-rupa gorengan di pasar tradisional. Anjeunna suka milih gorengan tahu, tempe, jeung bakwan. Rara loba ngajajal rupa-rupa rasa nu ada. Rara kacida resep kana gorengan tahu nu rasana gurih.",Rara henteu hilap mésér gorengan tahu nu gurih di dinya salami bulan Ramadhan.,Rara henteu bisa ngajajal rupa-rupa rasa gorengan.
Food,"Ti budak leutik, Rendi geus resep kana rupa-rupa jajanan tradisional. Anjeunna suka milih jajanan anu manis-manis. Rendi loba ngajajal rupa-rupa jajanan nu ada. Rendi kacida resep kana kue putu nu rasana manis.",Rendi henteu hilap mésér kue putu nu manis di dinya salami acara hajatan.,Rendi henteu bisa ngajajal rupa-rupa jajanan tradisional.
