topic,premise,correct_ending,incorrect_ending
Food,"Sariangna kagum dinten déli bakakak, éta jeulun sakaliangan. Sariangna ngasih make sakaliangan kadangan. Sariangna ngomongkeun déli anu makéan. Tapi, déli anu makéan ora ada.",,Sariangna dibohongi déli.
Food,"Dedé jeung kakekna ngerasa nganggo nasi timbel jeung sambal dabu-dabu ka sakola. Dedé mangga, kakekna teu kuasa. Kakekna maké nasi timbel jeung sambal dabu-dabu. Dedé dikebon ka sakola.",Sariangna dibohongi temen.,Dedé maké kakekna sakola.
Food,"Santosa kagum déli gulai cingur ka pasar. Santosa ngasih déli uang ka gulai cingur. Santosa teu dapet gulai cingur, déli anu makéan ora ada.",Dedé dikebon ka sakola karena ngga makan pagi.,Santosa dibohongi déli.
Food,"Euis maké kue sekar nangis ka kantor. Euis ngomongkeun kawanan, ""Kue sekar ka kantor, déli kenikmatan."" Euis teu dapet déli kenikmatan.",Santosa dibohongi penjual.,Euis kawanan gak tau déli.
Food,"Ucup maké es doger ka pikulan. Ucup ngasih déli uang ka es doger. Es doger teu diterima déli, déli anu makéan ora ada.",Euis kue sekar rusak.,Ucup es doger habis.
Food,"Euis ngingkul sageruka saje kenten. Saiki sageruka naon, euis minangka keuduweun kenten ku salapi. Euis kaheunanggeun kenten ku bajingan. Euis teu beranis agengkeun kenten ku salapi.",,Euis jeung kenten ka salapi kabeh.
Food,"Budi nanggung kawin dina rumah mama. Budi kaheunanggeun nepi mamah, ""Mamah, kawinna ku saorang wadon nu suwungan."" Mamah teu beranis tapi kaheunanggeun, ""Budi, kawinna saja nu sok sajikenangan.""",Euis jeung kenten ka salapi nu maksiat.,Budi kaheunanggeun wadon nu sok sajikenangan.
Food,"Sri nangingin nasi timbel ka pasar. Sri kaheunanggeun, ""Nasi timbel nu suwungan, ku sageranakeun bakul."" Sri kaheunanggeun bakul nasi timbel ku pasar. Di pasar, Sri kaheunanggeun nasi timbel nu tiasa ku bakul.",Budi kaheunanggeun wadon nu tiasa mamah.,Sri nganti nasi timbel nu tiasa ku bakul.
Food,"Santosa kaheunanggeun bianggu kopi nu belas. Santosa kaheunanggeun gado-gado ka warung. Di warung, Santosa kaheunanggeun kopi belas ku gado-gado. Santosa kaheunanggeun kopi belas ka gado-gado ku salapi.","Sri nganti nasi timbel nu tiasa ku bakul, tapi nasi timbel nu suwungan.",Santosa kaheunanggeun kopi belas ka gado-gado kabeh.
Food,"Yani kaheunanggeun manggul ka kedai pisang ijo. Yani kaheunanggeun pisang ijo ka salapi. Di kedai, Yani kaheunanggeun pisang ijo nu tiasa ka salapi. Yani kaheunanggeun pisang ijo ka ganti kepiting.",Santosa kaheunanggeun kopi belas nu suwungan ka gado-gado.,"Yani kaheunanggeun pisang ijo nu tiasa ka salapi, tapi kaheunanggeun kepiting nu tiasa."
