topic,premise,correct_ending,incorrect_ending
Food,"Widi geus balik ti Bandung. Anjeunna balik ngajengkeun rupa-rupa oleh-oleh. Anjeunna ngajengkeun dodol, peuyeum, jeung pisang molen. Widi parantos ngajengkeun oleh-oleh ka sadayana sanak saudara.","Widi ngabantos ka sanak sodara na dodol, peuyeum, jeung pisang molen.",Widi ngajengkeun pisang molen ka sanak sodara na.
Food,Gilang geus ngahiji ka pasar. Gilang ngahiji ka pasar tukang. Gilang geus ngahiji ka pasar tukang ti jam 6 subuh. Gilang nyanda nyaho pasar tukang tutup jam pitu.,Gilang langsung henteu teu tiasa belanja.,Gilang teu ngarasa teu kudu henteu teu tiasa belanja.
Food,Tika teu boga asa ka pasar. Tika geus tilu minggu teu boga asa ka pasar. Tika teu boga asa ka pasar salami virus corona. Tika ngarasa katingali di pasar.,Tika geus pesen jajan jeung sayuran ku tukang sayur langganan.,Tika ngarasa katingali di pasar.
Food,Adit mahir ngarempak. Anjeun ngarempak di dapur imahna. Adit ngarempak make panggangan nu diwarisi ti buyutna. Naha panggangan anu diwarisi ku buyutna tiasa ngarempak boga nu lezat.,Adit ngarempak boga sunda pikeun parantosan imahna.,Panggangan anu diwarisi ku buyutna teu tiasa ngarempak boga.
Food,Sinta ngajual boga sunda. Anjeun boga warung boga sunda di pasar. Sinta ngajual boga sunda nu lezat jeung halal. Sinta ngajual boga sunda pikeun parantosan keluarga.,Sinta boga parantosan nu lepat ti boga sunda anu dijualna.,Sinta teu boga warung boga sunda.
Food,Fadil boga kebun nu lebar. Anjeun ngajaga kebun anjeunna jeung bener. Fadil ngarasa teu boga kasempetan ngajaga kebun anjeunna. Fadil ngarasa teu boga waktos pikeun ngajaga kebun anjeunna.,Fadil ngarasa teu boga kasempetan ngajaga kebun anjeunna saterusna anjeunna ngarasa henteu boga waktos.,Fadil ngajaga kebun anjeunna jeung bener.
Food,Mila ngaharepan bisa ngarumpi jeung kanca-kancana. Mila ngarumpi di warung kopi. Mila ngarumpi jeung kanca-kancana ngeunaan hiji masalah. Mila ngarumpi jeung kanca-kancana ngeunaan masalah anu teu penting.,Mila jadi lepat ngeunaan masalah anu dibicarakeun jeung kanca-kancana.,Mila teu boga kanca-kancana.
Food,Yuda boga hiji usaha boga sunda. Anjeun ngajual boga sunda di warung boga sunda anjeunna. Yuda ngajual boga sunda nu lezat jeung halal. Yuda ngajual boga sunda pikeun parantosan keluarga.,Yuda boga parantosan nu lepat ti boga sunda anu dijualna.,Yuda teu boga warung boga sunda.
Food,Sinta geus ngajual gorengan di pasar. Sinta geus nyiapin anu teu kurang. Sinta geus ngajual tadi pagi. Sinta teu boga dagangana.,Sinta teu boga dagangana saterusna.,Sinta teu boga dagangana sareng.
Food,Yanti geus ngaharepkeun ulah ngarokok. Yanti geus ngajual rokok. Yanti geus ngarokok tadi pagi. Yanti teu boga rokokna.,Yanti teu boga rokokna saterusna.,Yanti teu boga rokokna sareng.
Food,Dadan geus ngajual es cendol. Dadan geus ngajual tadi pagi. Dadan geus ngajual di pasar. Dadan teu boga dagangana.,Dadan teu boga dagangana saterusna.,Dadan teu boga dagangana sareng.
