topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Food,Rina ngrasa seneng lan bangga karo tradisi kulinere.,Rina ora gelem mangan jenang krasikan maneh.,Rina seneng banget karo jenang krasikan,Ibune mesthi nggawe jenang krasikan nalika ana acara keluarga,Jenang krasikan digawe saka beras ketan lan gula jawa,Rasa legi lan lemone jenang krasikan nggawe Rina kelingan masa cilik
Food,Suryani lan keluargane seneng banget mangan wingko babat.,Wingko babat kuwi ora disenengi keluarga Suryani.,Suryani nekad tuku oleh-oleh wingko babat nalika wedalan menyang Semarang,Wingko babat iku panganan khas Jawa sing digawe saka kelapa lan beras ketan,Rasane gurih lan legi,Suryani pengin ngrasakake lan nggawa pulang kanggo keluargane
Food,Setyo ngrasa bangga karo budaya mangan sega liwet.,Setyo mutusake kanggo ora mangan sega liwet maneh.,Setyo asring mangan sega liwet karo kanca-kancane,Sega liwet digawe nganggo santan lan dihidangake karo lauk pauk tradisional,Setyo seneng mangan sega liwet ing pinggir sawah,Mangan sega liwet nggawe Setyo ngrasa luwih akrab karo alam lan kanca-kancane
Food,Peni pengin nggawe es dawet ireng dhewe ing omah.,Peni ora seneng karo es dawet ireng maneh.,Peni ngrasakake es dawet ireng ing pasar tradisional,Es dawet ireng digawe saka tepung beras lan gula jawa,Peni seneng banget karo rasa seger lan legine,Es dawet ireng nggawe Peni kelingan masa cilik karo eyange
Food,Tini terus nggawe pecel kanggo keluargane kanthi seneng.,Tini mutusake kanggo ora nggawe pecel maneh.,Tini seneng nggawe pecel kanggo keluargane,Pecel digawe saka sayuran sing direbus lan disiram bumbu kacang,Tini percaya yen panganan tradisional iki sehat lan bergizi,Keluargane uga seneng lan ngapresiasi masakane Tini
Food,Kanca-kancane Narto pengin nyoba nggawe kripik tempe dhewe.,Kanca-kancane Narto ora seneng karo kripik tempe.,Narto nggawa oleh-oleh kripik tempe saka Malang kanggo kanca-kancane,Kripik tempe digawe saka tempe sing dipotong tipis lan digoreng garing,Kanca-kancane seneng banget ngrasakake kripik tempe sing gurih lan renyah,Narto bangga bisa ngenalake panganan khas daerah asalne
Food,Rina lali dodole ditinggal ing stasiun.,Rina mangan dodole kabeh sadurunge tekan omah.,Rina mulih menyang desa,Rina nggawa oleh-oleh dodol khas Garut kanggo kulawargane,"Nalika mbukak tas, Rina ora nemokake dodol kasebut",Rina kaget lan bingung
Food,Budi lan Siti arep tuku sega kucing maneh ing dina sabanjure.,Budi lan Siti ngrasakake sega kucing sing ora enak.,Budi lan Siti mangan sega kucing bareng-bareng,Budi ngrasakake sega kucing sing enak banget,Siti uga seneng karo panganan iki,Sega kucing pancen salah siji panganan tradisional sing populer ing Jawa
Food,Kanca-kancane Wulan seneng lan ngucapake matur nuwun.,Kanca-kancane Wulan ora seneng karo manggane.,Wulan tuku mangga arumanis ing pasar,Wulan tuku mangga kanggo oleh-oleh kanggo kanca-kancane ing sekolah,Mangga arumanis pancen enak lan manis,Wulan nggawa mangga menyang sekolah
Food,Pak Heru lan keluargane mangan gudeg bareng-bareng.,Pak Heru mbuwang gudeg amarga ora enak rasane.,Pak Heru masak gudeg ing pawon tradisional,Gudeg iku panganan khas Yogyakarta sing legi lan gurih,Pak Heru ngetokake panci saka geni,Gudeg wis rampung lan siap dihidangake
Food,Lina lan keluarga arep bali ing lesehan ing mangsa ngarep.,Lina lan keluarga ora seneng karo pengalaman mangan ing lesehan.,Lina lan keluarga mangan ing lesehan tradisional,"Lesehan iku salah siji cara mangan sing khas ing Jawa, kanthi lungguh ing tikar",Lina seneng banget karo suasana tradisional iki,Wong-wong padha mangan kanthi nikmat
