topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Food,Bimo pameri gudeg ing gawe warga.,Siti tuku lawuh ing pasar.,Siti wani nggawe lawuh kanggo kue lebaran,Siti mesthi nggawe lawuh ing wanci lebaran,Lawuhe Siti paling disenengi karo warga,Wong-wong ndhobel lawuhe Siti
Food,Siti pameri lawuh ing gawe warga.,Lesti tuku bakpia ing pasar.,Lesti apik ing nggawe bakpia kanggo kue lebaran,Lesti mesthi nggawe bakpia ing wanci lebaran,Bakpiae Lesti paling disenengi karo warga,Wong-wong ndhobel bakpiae Lesti
Food,Lesti pameri bakpia ing gawe warga.,Ayu tuku es dawet ing pasar.,Ayu apik nggawe es dawet kanggo kue lebaran,Ayu mesthi nggawe es dawet ing wanci lebaran,Es dawete Ayu paling disenengi karo warga,Wong-wong ndhobel es dawete Ayu
Food,Ayu pameri es dawet ing gawe warga.,Sari tuku cenil ing pasar.,Sari wani nggawe cenil kanggo kue lebaran,Sari mesthi nggawe cenil ing wanci lebaran,Cenile Sari paling disenengi karo warga,Wong-wong ndhobel cenile Sari
Food,Sari pameri cenil ing gawe warga.,Dian tuku kue lapis ing pasar.,Dian apik nggawe kue lapis kanggo kue lebaran,Dian mesthi nggawe kue lapis ing wanci lebaran,Kue lapisane Dian paling disenengi karo warga,Wong-wong ndhobel kue lapisane Dian
Food,Dian pameri kue lapis ing gawe warga.,Rina tuku kue putu ing pasar.,Rina wani nggawe kue putu kanggo kue lebaran,Rina mesthi nggawe kue putu ing wanci lebaran,Kue putune Rina paling disenengi karo warga,Wong-wong ndhobel kue putune Rina
Food,Rina pameri kue putu ing gawe warga.,Yuni tuku kue semar mendem ing pasar.,Yuni apik nggawe kue semar mendem kanggo kue lebaran,Yuni mesthi nggawe kue semar mendem ing wanci lebaran,Kue semar mendeme Yuni paling disenengi karo warga,Wong-wong ndhobel kue semar mendeme Yuni
Food,Yuni pameri kue semar mendem ing gawe warga.,Winda tuku kue bika ambon ing pasar.,Winda wani nggawe kue bika ambon kanggo kue lebaran,Winda mesthi nggawe kue bika ambon ing wanci lebaran,Kue bika ambone Winda paling disenengi karo warga,Wong-wong ndhobel kue bika ambone Winda
Food,Winda pameri kue bika ambon ing gawe warga.,Vina tuku kue kipo ing pasar.,Vina apik nggawe kue kipo kanggo kue lebaran,Vina mesthi nggawe kue kipo ing wanci lebaran,Kue kipone Vina paling disenengi karo warga,Wong-wong ndhobel kue kipone Vina
Food,Sinta mesti mbedhah bawang lan lombok.,Arini milih mangan sega kucing saben dina.,Arini milih mangan sega kucing,Arini seneng mangan sega kucing,Sega kucing iku makanan khas ing Jawa,Sega kucing iki wis dadi menu favorit
Food,Sega kucing iku ora makanan favorit Arini.,Krida mesti nggawe jenang kacang ijo saben dina.,Krida mesti nggawe jenang kacang ijo,Krida wis siap bahan-bahan kang dibutuhake,Krida seneng mangan jenang kacang ijo,Jenang kacang ijo iki mbantah Krida turu
Food,Krida wis lali cara nggawe jenang kacang ijo.,Damar weruh tangan iki ora sopan.,Mangan ing Jawa ora kena nganggo sendok,Mangan ing Jawa kudu nganggo tangan,Tangan kudu dibasuh sadurunge mangan,Damar mesti mangan nganggo tangan
Food,Damar mesti mangan nganggo sendok.,Dwi mesti tuku es teler saben dina.,Dwi kudu tuku es teler,Es teler iki khas ing Jawa,Es teler wis dadi panganan favorit,Dwi mesti tuku es teler
Food,Dwi ora suka es teler.,Gusnul wis ahli gawe gudeg.,Tiga dina iki bakal ana acara hajatan,Acara hajatan iki butuh akeh panganan,Gudeg khas Yogyakarta iki ora ketinggal,Gusnul mesti gawe gudeg
Food,Gusnul ora tau gawe gudeg.,Risma mesti mangan gudeg saben dina.,Risma kudu milih makanan kang sehat,Risma milih mangan gudeg kang khas Yogyakarta,Gudeg iki seger lan sehat,Risma mesti mangan gudeg
Food,Gudeg iki ora makanan favorit Risma.,Lestari mesti gawe sate madura saben dina.,Lestari mesti gawe sate madura,Lestari wis siap bahan-bahan kang dibutuhake,Sate madura iki makanan favorit,Lestari wis ahli gawe sate madura
Food,Lestari ora tau gawe sate madura.,Bambang mesti mangan gudeg saben dina.,Bambang wis siap mangan gudeg,Bambang milih mangan gudeg kang khas Yogyakarta,Gudeg iki seger lan sehat,Bambang mesti mangan gudeg
Food,Kerti lan keluarga mangan gudeg bebarengan.,Dedi lan kancane kangen mangan pecel kang maksih anget.,Dedi seneng mangan pecel kang gedhe,Dedi lan kancane tansah mangan pecel kang maksih anget ing katering mligi,Dedi lan kancane seneng mangan pecel kang maksih anget,Dedi lan kancane mangan pecel karo kacang lan peuyeum
Food,Dedi lan kancane milih mangan pecel kang maksih anget.,Sinta tansah mangan sate kang maksih anget.,Sinta lan kancane tansah mangan sate khas Kudus,Sinta tansah mangan sate kang maksih anget,Sinta lan kancane duwe katering mligi kang kanggo mangan sate,Sinta lan kancane mangan sate karo mligi
Food,Sinta lan kancane mangan sate bebarengan karo kulawarga.,Bumi lan kancane mangan mendoan kang maksih anget.,Bumi tansah mangan mendoan kang murah,Bumi lan kancane tansah mangan mendoan kang maksih anget,Bumi lan kancane mangan mendoan kang maksih anget ing katering mligi,Bumi lan kancane duwe katering mligi kanggo mangan mendoan
Food,Bumi lan kancane milih mangan mendoan kang maksih anget.,Siti tansah mangan tahu lan tempe kang maksih anget.,Siti tansah mangan tahu lan tempe,Siti tansah mangan tahu lan tempe kang maksih anget,Siti duwe katering mligi kang kanggo mangan tahu lan tempe,Siti mangan tahu lan tempe karo kacang lan peuyeum
Food,Mbak Santi tetep setia karo pasar kang wis ngasilake dadi wong sukses.,Warung kopi iku ditutup amarga ora laris.,Anis lan kancane ngadegke warung kopi tradhisional,Anis kancane duwe resep kopi legendaris,Warung kopi iku rame banget,Wong-wong sing mampir kanggo njajal kopi legendaris
Food,Anis lan kancane nglajengake warisan budaya kopi tradhisional.,Laily ora menang festival panganan.,Laily nggawe resep gudeg unik,Laily pengin nglolokake gudeg ing festival panganan,Laily nggawe resep gudeg nganggo bahan-bahan lokal,Akeh wong sing seneng gudeg Laily
Food,Laily nglolokake gudeg ing festival panganan lan menang.,Rian lan Rino ora bisa buka warung amarga ora duwe modal.,Rian lan Rino duwe hobi masak,Rian lan Rino nyoba nggawe resep angkringan unik,Akeh wong sing seneng angkringan Rian lan Rino,Rian lan Rino ngrancang buka warung angkringan
Food,Kris milih tuku gudeg ing warung liya kang wis terkenal.,Ayu ora bisa ngerti resep-resep tradisional Jawa.,Ayu milih njupuk kelas masak tradisional Jawa,Ayu pengin ngerti resep-resep kanggo masak gudeg lan pecel,Ayu ora tau yen bahan-bahan kanggo masak tradisional Jawa ageng banget,Ayu kesel amarga ora ngerti resep-resep kasebut
Food,Ayu milih njupuk kelas masak tradisional Jawa kang luwih rinci.,Lestari ora bisa mangan pecel karo cutlery.,Lestari milih nggunakake cutlery kanggo mangan pecel,Lestari ora tau yen pecel kasebut kudu dimangan karo tangan,Lestari kesel amarga ora ngerti cara mangan pecel kang bener,Lestari milih njupuk cutlery liya kanggo mangan pecel
Food,Lestari milih mangan pecel karo tangan kang wajar.,Arini ora bisa njaga es degan kang bener.,Arini milih tuku es degan kanggo oleh-oleh marang kanca-kancane,Arini ora tau yen es degan kasebut ora kudu dibungkus karo kertas,Arini kesel amarga ora ngerti cara njaga es degan kang bener,Arini milih njupuk es degan liya kanggo oleh-oleh
Food,Arini milih njupuk es degan kang dibungkus karo wadah kang kuat.,Diah ora bisa ngangkat sate karo wadah.,Diah milih nggunakake wadah kanggo ngangkat sate,Diah ora tau yen sate kasebut kudu diangkat karo lidi,Diah kesel amarga ora ngerti cara ngangkat sate kang bener,Diah milih njupuk wadah liya kanggo ngangkat sate
Food,Diah milih ngangkat sate karo lidi kang wajar.,Indra ora bisa mangan rujak kang bener.,Indra milih mangan rujak kanggo sarapan,Indra ora tau yen rujak kasebut ora kudu dimakan karo nasi,Indra kesel amarga ora ngerti cara mangan rujak kang bener,Indra milih njupuk rujak liya kanggo makan
