topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Food,Anak-anak ngantri tur ngaresep kue balok Nenek Atik,Anak-anak ngampar kue balok Nenek Atik,Nenek Atik ngadamel kue balok buat dibagi ka tetangga,Nenek Atik ngagunakeun bahan-bahan alam sareng resep turun-temurun,Kue balok buatan Nenek Atik teu geus lila dibagi,Anak-anak di kampung teu sabar ngadéngé kue balok
Food,Dadang nginum teh tawar,Dadang nginum kopi hitam tapi teu dihareupkeun,Budi ngajak Dadang datang ka warung kopi,Budi nginum kopi hitam,Dadang teu suka kopi pahit,Dadang teu ngomong jujur ka Budi
Food,Ibu Asih ngajelaskeun kana anak-anakna manfaat nasi tutug oncom pikeun kesehatan.,Ibu Asih nembak anak-anakna pikeun nginum susu tan hana nasi tutug oncom.,Ibu Asih ngawajibkeun anak-anakna pikeun mangan nasi tutug oncom saacan nginum susu,Ibu Asih percaya nasi tutug oncom bisa ngaleuleuskeun kandungan susu,Anak-anakna teu suka nasi tutug oncom,Ibu Asih teu ngabolehan anak-anakna nginum susu mun teu mangan nasi tutug oncom
Food,Cucu-cucu Opa Dipta berjanji pikeun ngalestarikan alam sareng bumi.,Cucu-cucu Opa Dipta teu hayang balik ka sawah deui.,Opa Dipta ngajak cucu-cucu na ka sawah,Opa Dipta ngajarkeun cara ngatanam padi,Opa Dipta ngajelaskeun kana cucu-cucu na ngeunaan pentingna ngamrih bumi,Cucu-cucu Opa Dipta jadi ngeunaan pentingna ngamrih bumi
Food,Rini coba nginum kopi hitam tanpa gula bodas pikeun ngurangan konsumsi gula.,Rini nginum kopi hitam tanpa gula bodas tapi nambahkeun susu.,Rini resep nyeruput kopi hitam sareng gula bodas,Rini geus mekar nginum kopi hitam saenggeus sarapan,Rini teu teu nginum kopi hitam mun teu aya gula bodas,Rini teu resep nginum kopi hitam tanpa gula bodas
Food,Kiki bantu kakek jeung nenekna ngurus kebun jeung beternak.,Kiki langsung balik ka kota sabalikna.,Kiki ngumpul kana kakek jeung nenekna di kampung,Kiki geus teu lila-lila ngtempo kakek jeung nenekna,Kiki ngurangan kangen kana kakek jeung nenekna,Kiki ngariungan kakek jeung nenekna di kampung
Food,Lia teu pernah nginum kopi sareng teh,Lia suka nginum kopi sareng teh,Lia teu teu suka nginum kopi,Lia ogé teu suka nginum teh,Lia suka nginum es buah,Lia ngarasa leuwih seger nginum es buah
Food,Udin ngumpulkeun uang ku ngadamel jajanan,Udin teu bisa ngumpulkeun uang,Udin teu boga uang,Udin ngeunaan jajanan di warung,Udin mikir pikeun ngumpulkeun uang,Udin mikir pikeun ngadamel jajanan anu dijual
Food,Ibu ngajak Asep ngancik jajanan pasar,Asep ngabuli makanan cepat saji,Ibu ngajak Asep ke pasar tradisional,Ibu hayang ngabuli jajanan pasar,Asep teu hayang ngabuli jajanan pasar,Asep hayang ngabuli makanan cepat saji
Food,Ratih teu ngasih kana pepelakan,Ratih parantos ngiring pepelakan,Pepelakan Ratih teu ngasih hasil,Pepelakan Ratih diurus ku Ratih,Ratih geus ngalakukeun sakabéh cara pikeun ngajaga pepelakan,Pepelakan Ratih teu parantos ngasih hasil
Food,Budi ngadamel sate maranggi bareng kawan-kawan,Budi ngarakake sate maranggi pikeun kawan-kawan,Budi hayang ngajak kawan-kawanna ngadamel sate,Budi hayang ngadamel sate maranggi,Budi parantos ngumpulkeun kabutuhanna,Budi parantos ngumpulkeun daging maranggi
Wedding,Nenek Amirah ngarasa bahagia dugi kana pangantenna dijaga ku anak-anakna.,Nenek Amirah ngarasa teu senang lantaran anak-anakna teu ngajaga panganten.,Nenek Amirah keur ngarahkeun anak-anakna ngawaskeun panganten di panggung,Nenek Amirah nyarakeun ka anak-anakna pikeun ngajaga panganten ti gangguan,"Kecap ""Panganten"" diukurna ku Nenek Amirah kalawan sorot mata nu bangga",Anak-anak Nenek Amirah ngadamel barisan pikeun ngajaga panganten ti gangguan nu teu diharapan
Wedding,"Rini ngagunakeun kebaya beureum ieu, lantaran éta mah tradisi di keluarga.",Rini milih pikeun ngagunakeun baju séjén lantaran teu cocok di badanana.,Rini keur ngaganti baju jadi kebaya beureum pikeun ngiringan kawinan bibinya,Rini teu yakin baju ieu cocok pikeun badanana,Rini nganggap kebaya ieu leuwih cocok pikeun panganten,Rini teu yakin pikeun ngagunakeun kebaya ieu
Wedding,Udin ngirim hadiah nu teu mahal tapi ngandung arti penting pikeun budaya Sunda.,Udin teu ngirim hadiah lantaran teu kenal sedulur jauhna.,Udin diundang ka kawinan sedulur jauhna,Udin teu kenal sedulur jauhna,Udin teu yakin pikeun ngirim hadiah,Udin ngarasa teu nyaman pikeun ngirim hadiah ka sedulur anu teu sakralna
Wedding,Anya ngatur tempat duduk tamu saluyu jeung adat Sunda.,Anya ngatur tempat duduk tamu sesuka hatina.,Anya keur ngatur tempat duduk tamu di panggung kawinan,Anya ngabagi tempat duduk tamu jadi dua bagian,Anya ngatur tempat duduk tamu nu teu teu dipisah-pisah,Anya ngarasa bingung ngatur tempat duduk tamu
Wedding,Atik milih kebaya putih klasik,Atik milih gaun putih moderen,Atik bakal nikah bulan depan,Iana gembira tapi ogé gugup,Atik teu yakin pilihan baju pengantin nu kabeh teh cocog,Ibunya ngasih saran pikeun Atik milih kebaya putih klasik
Wedding,"Dewi teu percaya kana calon mantu ieu, tapi dia kudu ngajabat sagala pertanyaan sabar.",Dewi langsung ngadoakan supaya calon mantu ieu teu datang.,"Dina harini, Dewi bakal dipajang ka calon mantu",Dewi diharapan bisa ngajabat sagala pertanyaan,Dewi teu percaya kana calon mantu ieu,Dewi teu yakin yen calon mantu ieu geus siap jadi suami
