topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Food,Sariangna dibohongi temen.,Dedé maké kakekna sakola.,Dedé jeung kakekna ngerasa nganggo nasi timbel jeung sambal dabu-dabu ka sakola,"Dedé mangga, kakekna teu kuasa",Kakekna maké nasi timbel jeung sambal dabu-dabu,Dedé dikebon ka sakola
Food,Budi kaheunanggeun wadon nu tiasa mamah.,Sri nganti nasi timbel nu tiasa ku bakul.,Sri nangingin nasi timbel ka pasar,"Sri kaheunanggeun, ""Nasi timbel nu suwungan, ku sageranakeun bakul",""" Sri kaheunanggeun bakul nasi timbel ku pasar","Di pasar, Sri kaheunanggeun nasi timbel nu tiasa ku bakul"
Food,"Sri nganti nasi timbel nu tiasa ku bakul, tapi nasi timbel nu suwungan.",Santosa kaheunanggeun kopi belas ka gado-gado kabeh.,Santosa kaheunanggeun bianggu kopi nu belas,Santosa kaheunanggeun gado-gado ka warung,"Di warung, Santosa kaheunanggeun kopi belas ku gado-gado",Santosa kaheunanggeun kopi belas ka gado-gado ku salapi
Food,Santosa kaheunanggeun kopi belas nu suwungan ka gado-gado.,"Yani kaheunanggeun pisang ijo nu tiasa ka salapi, tapi kaheunanggeun kepiting nu tiasa.",Yani kaheunanggeun manggul ka kedai pisang ijo,Yani kaheunanggeun pisang ijo ka salapi,"Di kedai, Yani kaheunanggeun pisang ijo nu tiasa ka salapi",Yani kaheunanggeun pisang ijo ka ganti kepiting
Food,Eka manggareskeun sate ka kaumna.,Eka rék nganjang ka kasusian sate.,Eka duduka ka rumahna kana kenèng kadéngé,Eka ngajual sate keur keluarga,Eka manggareskeun porsi sate ka sakola malingan,Eka teu nunggaan kasusian sate yang tersisa
Food,Dewi ngulik duit kucuran.,Dewi ngulik duit ka kafé.,Dewi ngajual jajanan Sunda ka pasar,Aya banyak pembeli,Dewi teu dapat kucuran duit,Dewi teu bisa bérkeun ka kafé
Food,Raka ngajek ka teman-temannya nu sakopi.,Raka nunggaan porsi kopi.,Raka duduka ka rumahna kana kangen kopi Sunda,Raka ngajual kopi ka kedai kopi,Raka kasarakeun porsi kopi ka teman-temannya,Raka teu bisa ngajek ka tempat bermain
Food,Sari ngambil pesenan nu ngirim ke pemesan.,Sari ningali pesenan.,Sari teu bisa nanggoteun pepesanan,Sari diterima beberapa pemesanan,Sari nandika ka dapur ngolah-ngolah,Sari teu tiasa ngambil pesenan
Food,Adi ngandika ke rumah nu bikin laklak lagi.,Adi ngulik duit ka rumah.,Adi ngajual laklak ka pesta,Aya banyak tamu,Adi teu tiasa ngambil duit,Adi teu bisa ngandika ke rumah
Food,Santi kasih pesenan nu ngirim ke pelanggan.,Santi nunggaan pesenan.,Santi ngajual pisang goreng ka warung,Aya banyak pelanggan,Santi teu bisa ngebet ka kantin,Santi teu tiasa kasih pesenan
Food,Agung ngambil kue nu ngirim ke konsumen.,Agung ngulik kue ka taman.,Agung duduka ka rumahna kana kenèng kue Sunda,Agung ngajual kue ka kedai,Agung teu bisa bérkeun ka taman,Agung teu tiasa ngambil kue
Food,Ayu ngambil pesanan nu ngirim ke pesanan.,Ayu ningali pesanan.,Ayu ngajual kerupuk ka warung,Aya banyak pesanan,Ayu nanggoteun ka dapur,Ayu teu tiasa ngambil pesanan
Food,Bima ngambil es campur nu ngirim ke konsumen.,Bima nunggaan es campur.,Bima duduka ka rumahna kana kenèng es campur,Bima ngajual es campur ka warung,Bima teu bisa ngajek ke tempat berenang,Bima teu tiasa ngambil es campur
Food,Andi ngandika ke rumah nu bikin bakpia lagi.,Andi ngulik duit ka rumah.,Andi ngajual bakpia ka kedai,Aya banyak pembeli,Andi teu tiasa ngambil duit,Andi teu bisa ngandika ke rumah
Wedding,Undangan pernikahan dikirim kepada para tamu,Santri mengkhianati agama Islam,Santri Sunda bakal dijodoh,Pasangan udah lama ngadaging sareng saudaranya,Gadis Sunda geus ngadeg-ngadegkeun kebaya sidoso,Pasangannya geus ngadeg-ngadegkeun baju kurta
Wedding,Santri mengucapkan doa selamat,Makanan pernikahan dihapus,Niniak Sunda ngandong,Niniak geus ngadeg-ngadegkeun baju kebaya,Pasangannya geus ngadeg-ngadegkeun baju batik,Tamu-tamu ngucapakeun selamat
Wedding,Makanan pernikahan disajikan kepada tamu-tamu,Taruhan dibuka,Para tamu ngulur ka rumah pernikahan,Tamu-tamu geus nyalakakeun lampu,"Mangajat kepada para tamu, ngajakakeun ke meja makan",Para tamu geus nakapeun kopi
Wedding,Taruhan ditutup,Hadiah dijual,Istri Sunda ngandongi panganteman,Istri geus ngadeg-ngadegkeun baju kebaya,Suami geus ngadeg-ngadegkeun baju batik,Para tamu ngucapakeun selamat
Wedding,"Ari ngajasi kawinna, sari teu ngadukung kawinna","Ayu teu ngadukung dadali, Raka teu bisa didadari","Ayu hadir pepaksonan, sarua wiwitna urip","Raka hadir pepaksonan, sarua wiwitna urip","Dihajurna wedhana kawin, sarua wiwitna urip","Ayu teu bisa didadari, Raka teu ngadukung dadali"
Wedding,"Ayu dadali Raka, Raka teu ngadukung dadali","Giring dijajalna Siti, Siti teu bisa dijajalna","Siti tiasa wedhus, sarua wiwitna urip","Giring tiasa wedhus, sarua wiwitna urip","Gadhipun wiwitna, sarua wiwitna urip","Giring teu bisa dijajalna, Siti teu ngadukung dadali"
Wedding,"Siti dijajalna Giring, Siti teu ngadukung dadali","Dani kawin Santi, sarua pepetna hajat kadjieun","Dani geus tiasa dipadukana, sarua pepetna hajat kadjieun","Santi geus tiasa dipadukana, sarua pepetna hajat kadjieun","Geus pepetna wiwitna, sarua pepetna hajat kadjieun","Dani teu sajrono kawinna, Santi teu ngadukung kawinna"
Wedding,"Éka ngasih sumpingan balik, Éta ngajalakan Éka manggaurana.","Émi ngasih Éko kembang kenikir, Éko teu ngagaduak.",Gadis Émi giwakéun serangga ka imah Éko,"Émi teu ngagaduak, saiki Éko ngasih Émi kembang kenikir","Émi ngagandong kembang, saiki Éko ninggah Émi ka langit","Émi sok ngajalakan Éko, Éko teu ngasih jawab"
Wedding,"Émi ngajalakan Éko, Éko ngasih Émi kembang kenikir kapanganten.","Éta ngirim Émi bunga pepotong lagi, Émi teu ngasih balasan.",Ning Bambang ngajalakan Éta ngalaksa Émi,"Éta teu ngasih jawab, Émi ngasih Éta bunga pepotong","Éta ngajalakan Émi, saiki Émi ngajalakan Éta manggaurana","Éta teu ngasih balasan, Émi ngirim Éta bunga pepotong lagi"
Wedding,"Éta ngasih Émi manggaurana, Émi ngasih balasan kapanganten.","Éta ngirim Surati bunga lagi, Surati teu ngasih sumpingan.",Ning Surati ngagaduri Éta manggaurana,"Éta teu ngasih jawab, saiki Surati ngajalakan Éta manggaurana kapanganten","Éta manggaurakeun Surati, Éta ngasih Surati bunga pepotong","Éta teu ngasih sumpingan, Surati ngirim Éta bunga lagi"
Wedding,"Surati ngajalakan Éta, Éta ngasih Surati sumpingan kapanganten.","Éci ngasih banteng kembang kenikir, banteng teu ngagaduak.",Anak Éci giwakéun banteng ka imah,"Éci teu ngagaduak, saiki banteng ngasih Éci kembang kenikir","Éci ngagandong kembang, saiki banteng ninggah Éci ka langit","Éci sok ngajalakan banteng, banteng teu ngasih jawab"
Family Relationships,Eyang maksa Sari asup kana adat Sunda,Sari ngan hiji anggota adat Sunda,Sari adalah putri yang suka ngajari sastra,Eyang Sari suka ngajari adat Sunda,Sari jeung Eyang dina widang béda,Sari teu tiasa gabung Eyang
Family Relationships,Prabu tiasa ngurusi masalah keluarga sareng pribadinya saé,Prabu ukur hayang fokus kana kariranya,Prabu adalah kepala keluarga yang besar,Prabu kudu bisa ngurusi masalah keluarga,Prabu gaduh manajemen waktos anu saé,Prabu tiasa ngaréngsékeun sadaya pancén kalayan saé
Family Relationships,Dewi gura-giru hayang menjadi seorang ibu yang baik,Dewi rék kawin lagi,Dewi naék kawin kapala wadon,Dewi kakara anak dua,Dewi ngabéjaan yén Ibu,"Ibu ngabéjaan yén Nenek, misanna Dewi aya di rumahnya"
Family Relationships,Santosa tiasa ngabagi waktosna antara padamelan sareng diajar,Santosa teu bina usaha,Santosa adalah sivitas muda yang suka ngajari ilmu komputer,Santosa ngalungkeun ilmu komputer ka perguruan tinggi,Santosa digawé ti loker nepi ka perusahaan teknologi,Santosa indit ka bina usaha soré
Family Relationships,Agung henteu hilap mésér takjil di dinya salami bulan Ramadhan.,Agung henteu hilap ngalaksanakeun solat tarawih di masjid salami bulan Ramadhan.,Agung sering meuli takjil di masjid deukeut imahna,Aya rupa-rupa takjil anu dijual,"Aya kolek cau, rupa-rupa gorengan, jeung sababaraha rupa inuman es",Karesep Agung nyaéta bakpia sareng kue cubit
Family Relationships,Ucup ngamus diparentosna kumaha madrasah.,Nyi Siti ngomong jaman kabeh sampeyan kaget.,Nyi Siti kacak ngomong dengan tante si Mbak Santi,Mbak Santi ngajualan jamu tradisional,Nyi Siti ngajualan jamu modern,Nyi Siti ngomong sampeyan kaburan jaman
Family Relationships,Nyi Siti mau ngiyak jamu tradisional Mbak Santi.,Kula ngiring kawula sakola kanggo ngadep budaya Sunda.,Ngabéhna kula ngantiak sakola sareng kaumna,Kaumna teu nanggap sakola kanggo nyembakan budaya Sunda,Sakola teu nanggap budaya Sunda,Mereka nu gémbongan kawula sakola
Family Relationships,Euis ngadeg-ngadeg Dede karep sae.,Ayu ngamet-ngamet pangestu.,Ayu becik ka pasar,Ayu ngajual buah-buahan nanggung,Ayu ngajualan buah-buahan ka pangestu,"Pangestu sampeyan ngadep ka Ayu, ""Ayu, saebya raja-raja buah-buahan ku"
Family Relationships,Ayu ngomong-ngomong pangestu sareng ngasorakakeun pasal buah-buahan.,Masihan nyimpen porsi tambahan bakso sareng makan sendiri.,Santoso ngarap ka keur kampungna,Santoso ngomong-ngomong sareng masihan,Santoso ngajak-ngajak sareng masihan ngumpul keur kantin,"Masihan nyimpen porsi tambahan ka sate, bakso, sambal"
Family Relationships,"Masihan berbagi porsi tambahan ka sate, bakso, sambal.",Sami nari sendiri.,Sami nangis ka kamarana,"Sami ngasungkeun ibunya, ""Ibu, saela-saela saur kami",""" Ibunya ngomong-ngomong sareng nyusyamakeun Sami",Ibunya ngajak Sami nari ka keur saur
Family Relationships,Sami ngadeg-ngadeg sareng ibunya nari ka keur saur.,Putri nganti pangestu.,Putri ngajak ka jalan-jalan ka keur kota,Putri ngajualan bakpia ka pangestu,Pangestu nyimpen bakpia ka Putri,Pangestu ngajak Putri ka rumahnya
Pregnancy and Kids,Eka nakacaéntana jenazah sahabatna dina tanggalan urip sahabatna.,Sari teu ngajak pasangan sareng anak-anaknya kumanten kabar meninggal ibunya.,Sari dikeun jenazah ibunya,Sari teu nyambut pasangan sareng anak-anaknya,Sari manggik keur kamar ibunya,Sari nakacaéntana kamar ibunya
Pregnancy and Kids,Sari nakacaéntana kamar ibunya dina waktu sareng pasangan sareng anak-anaknya.,Agung teu ngajak tetekna kumanten kabar bersalin.,Agung ngajak tetekna sareng suwarganya ke bersalin,Agung teu manggik keur kamar tetekna,Agung nyusul teu sareng suwarganya,Agung ngadur kamar tetekna dina waktu bersalin
Pregnancy and Kids,Agung ngadur kamar tetekna dina waktu bersalin sareng suwarganya.,Santi teu ngajak pasangan sareng anak-anaknya kumanten kabar meninggal ibunya.,Santi teu nakacaéntana ibunya,Santi teu nyambut pasangan sareng anak-anaknya,Santi nakacaéntana kamar ibunya,Santi ceurik teu daékeun
Pregnancy and Kids,Santi nakacaéntana kamar ibunya dina waktu sareng pasangan sareng anak-anaknya.,Dini teu ngajak anaknya kumanten kabar meninggal anaknya.,Dini teu nakacaéntana anaknya,Dini nakacari kamar anaknya,Dini ceuken teu dina bakula,Dini manggik keur kamar anaknya
Pregnancy and Kids,"Ema ngajajah kapanggih, kanggo mendapat bantuan perawatan anak.","Bibin ngajajah kakawasaan, malah mamáh kasihan anakna.",Bibin ka Mangku kawula kajenén kacang panjang,"Bibin teu séresé, cuma kasihan anakna","Eyangna teu pisan mboten nandurakeun, karepak ya kudu manggungkeun kagiatan mamáh","Anakna kadua mamáh, kasihan sareng kajenéna"
Pregnancy and Kids,"Bibin ngajajah kakawasaan, kanggo ngurusi kajenéna anakna.","Ajah ngajajah sampeyan, langsung ngajajah kapanggih.",Ajah ka Usang punika kanggo mangajéji,Ajah kudu bisa nyambangkeun sareng anak,"Ajah kanggo ngajéji, nyuwun pangajéjannya sareng anak","Ajah kasihan anak, tiasa ngajajah sareng anak"
Pregnancy and Kids,"Ajah ngajajah sampeyan, kanggo ngurusi anak kudu nyambangkeun.","Ajahna Éka ngajajah kapanggih, malah ngajajah sampeyan.","Ajahna Éka kasihan anakna, tiasa manggungkeun kagiatan mamáh",Ajahna Éka kudu nyambangkeun sareng anak,"Anakna sok nandurakeun kapanggih, karepak ya kudu manggungkeun kagiatan ajahna","Ajahna Éka ngadadak karasa teu damang, sering bersin ku wajah"
Pregnancy and Kids,"Ajahna Éka ngajajah kapanggih, kanggo mendapat bantuan perawatan anak.",Élisa kedah ngawangun kamar mandi énggal.,"Éta kamar mandi Élisa ruksak, karepak ya kudu mboten nandurakeun","Éta kamar mandi kanggo ngurusi anak, karepak ya kudu leuwih dadakan","Éta kamar mandi kanggo ngurusi anak, karepak ya kudu panganjalakeun éta","Éta kamar mandi kanggo ngurusi anak, karepak ya kudu ngadadak ku wajah"
Pregnancy and Kids,Saida mimiti hijrah.,Pelayan maké baju anu cocog jeung hiasan warung.,"""Gampang pisan anjeun ngucapkeun cinta","Naon ari cinta?"" cenah bari nyiuk dahareun","""Kanggo kuring, cinta sanés téori anu hartosna kedah dijelaskeun",""" Jawab kuring kalayan sumanget"
Pregnancy and Kids,"""Aneh pisan"".",Kompetisina ieu beuki pikaboseneun.,"Dalam rangka ngarayakeun ulang taun sakola, SMU Mekar ngayakeun kompetisi",Kompetisi nu mimiti nyaéta balap karung antara guru jeung murid,Unggal kelas nyiapkeun wawakil tur ngalawan wawakil guru,Kompetisina sengit
Pregnancy and Kids,Ieu kopmetisi dimeunangkeun ku wawakil siswa.,Adi jeung Dewi geus dua taun teu papanggih.,Adi langkung kolot 3 taun ti Dewi,"Waktu keur budak, maranehna mindeng gelut",Adi mineng ngaheureuyan adina Dewi nepi ka Dewi ceurik,"Tapi nalika aranjeunna dewasa, aranjeunna janten caket"
Pregnancy and Kids,Adi jeung Dewi sok nyempetkeun papanggih sahenteuna saminggu sakali sanajan jadwal sibuk.,Murid kalaparan geus lila teu dahar.,Ada ieu kantin sakola rame pisan,Nu ngajual sate ka ulang taun,Anjeunna masihan porsi tambahan ka 15 murid munggaran anu mésér sate na,"Pas istirahat, murid langsung lalumpatan ka kantin"
Death,Upacara ngomong ngamenan nu maha merenang sarta ngapak saksi,Dian dikebumenan di tanah jawa,Sang ibu Dian mundhing mertua,Dian éta kagum teu wong inggih,Anjeunna kuasa nu panglima,Dian diumumpak kain bercuka nu putih
Death,Upacara ngomong ngamenan nu mahamerenang sarta ngapak saksi,Arya dikebumenan di tanah jawa,Sang bocah Arya mendapet upacara ngucap,Arya éta kagum teu wong ora inggih,Anjeunna kuasa nu panglima,Arya diumumpak kain bercuka nu biru
Death,Upacara ngomong ngamenan nu mahamerenang sarta ngapak saksi,Wati dikebumenan di tanah jawa,Sang tetek Wati meninggal,Wati éta kagum teu wong ora inggih,Anjeunna kuasa nu panglima,Wati diumumpak kain bercuka nu kuning
Death,Upacara ngomong ngamenan nu mahamerenang sarta ngapak saksi,Sari dikebumenan di tanah jawa,Sang adik Sari mundhing,Sari éta kagum teu wong inggih,Anjeunna kuasa nu panglima,Sari diumumpak kain bercuka nu hijau
Death,Sangkakala ngomong-ngomong sareng ibunya na.,Wati nganggo cicipan kancil nu kawin.,"Wati pacul nu kawin, pisan manggungkeun nyembak kancil","Kanggo uripnya, manggungkeun kancil kajenengan pamrih",Wati nganggo cicipan kancil,"Dina waktu nu kawin, kancil déh awak-awaken"
Death,Wati nganggo cicipan kancil sareng pamrihana kawin.,Nyenyakna biawak sareng Euis.,Euis manggungkeun nyembak biawak,"Dina waktu biawak déh awak-awaken, Euis teu nanggapin",Biawak bakakak teu batin,"Dina malam, nyenyakna biawak"
