topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Agriculture,Aat ngiringan ngarujak ku abah jeung pamaenna.,Aat ngarujak ka sawah sakaliwat.,Uwa Aat ngarujak di sawah,Aat ngarujak ku urang-urang desana,Sawahna diwarisi ti papana,Aat ogé ngiringan ngarujak ku abahnya
Agriculture,Abah Sanusi nanya ka tetangga kaasup ka pasar.,Anjeunna ngahijikeun kebun sayurna pikeun nyadiakeun waktos.,Abah Sanusi ngajual sayur di pasar,Anjeunna boga hiji kebun sayur nu subur,Abah Sanusi ogé ngahijineun tanaman hias,Abah Sanusi teu boga cukup waktos pikeun ngajaga dua jenis tanaman
Agriculture,Abah hiji keur ngahijikeun hartina,Abah teu bisa ngahijikeun hartina,Abah bade ngahijikeun sawah,Sawahna aya di desa,Abah ogé bade ngahijikeun imah,Imahna aya di kota
Agriculture,Abah jeung ina ngarasa ngagaduhkeunkeun kokolot nu ngabénér.,Abah jeung ina ngarasa saperti aya nu anyar di sawah.,Abah jeung ina ngahijian ka sawah,Abah ngarasa saperti aya nu anyar di sawah,Abah nempo ka ina,Ina nempo ka seueur kokolot nu ngabénér
Agriculture,Abdi Uwa Asep ngabogaan keur ngarawat loba anu di tanam ku Uwa Asep.,Uwa Asep geus ngarukun ka abdi anu geus ngarawat loba.,Uwa Asep geus tuwa,Uwa Asep ngajadikeun loba nu di tanam,Uwa Asep teu kersa ngarawat loba,Uwa Asep ngarukun pisan ka abdi nu geus ngarawat loba
Agriculture,Abdi dalemna geus ngajaga sawah jeung ngarasa henteu aya masalah.,Uwa ngajual sawahnya.,Uwa geus tuwa,Uwa ngarasa henteu kuat deui ngajaga sawah,Uwa nyiapin abdi dalem nu bakal ngajaga sawahnya,Uwa ogé ngajarkeun abdi dalemna ngeunaan cara ngajaga sawah
Agriculture,Alun-alun desa saiki adem lan ayem.,Alun-alun desa ora diiringi gamelan.,Pak Lurah ngajak wong-wong desa nandur pohon ing alun-alun,Wong-wong desa padha semangat,Pohon-pohon sing dipilih yaiku pohon trembesi,Acara nandur pohon diiringi karo gamelan
Agriculture,Alun-alun saiki tambah asri karo pohon-pohon anyar.,Bayu lan temen-temen sekolah ora tau nandur pohon.,Bayu lan temen-temen sekolah nandur pohon ing alun-alun,Kegiatan iku bagian saka program sekolah,"Bayu seneng banget, soale dheweke seneng karo alam",Bayu lan temen-temen nandur pohon saka jam 8 pagi
Agriculture,Ari ngartos kéngingan nu hade di bumi Parahyangan,Ari nanya manéhna kudu ngajalan keun mana ka bumi Parahyangan,Guru nganjar kelas 5B ngeunaan kéngingan panen,Guru ngajelaskeun kéngingan nu hade di bumi Parahyangan,Ari nanya kana guru yén kéngingan nu hade di bumi Parahyangan teh kéngingan apa,Guru ngajawab yén kéngingan nu hade di bumi Parahyangan teh kéngingan padi
Agriculture,Asep bisa ngajual hasil panenna jeung ngabanggakeun kulawargana.,"Asep ngarasa kecewa, hasil panenna teu laku di pasar.",Asep geus ngagambarkeun sawahna,Anjeunna nganjeunkeun benih padi jeung ngajaga sawah ti sabulan katukang,Sawahna geus wangun jeung padi na teu lamun siap dipanen,Asep geus nganjeunkeun hasil panenna ka pasar
Agriculture,"Asep geus ngabuktikeun yén hese, leungit, jeung bener oge bisa ngahasilkeun panen nu loba.",Asep nyaho yén loba nu di tanam oge bisa leungit.,Asep geus ngajadikeun ladang nu loba,Asep niat ngarawat jeung ngarawat ka loba nu di tanam,Asep nyaritakeun keur sadayana nu loba,"Nu hese, nu leungit, jeung nu bener"
Agriculture,Asep geus ngaharepkeun panen jeung ngajadwalkeun acara panen jeung sadayana.,"Asep teu bisa ngaharepkeun panen, sakabehna geus katingali.",Asep ngaharepkeun musim panen,Asep teu sabar nunggu panen,Asep geus ngajadwalkeun acara panen jeung sadayana,Asep harep bisa ngaharepkeun panen jeung sadayana
Agriculture,Asep henteu ngarasa saperti anu digambarkeun ku urang saterusna.,Asep ngarasa janten.,Asep moal ngarasa janten,Asep teu bisa ngarasa saperti anu digambarkeun ku urang saterusna,Asep ngarasa henteu ngarasa janten,Asep henteu ngarasa saperti anu digambarkeun ku urang saterusna
Agriculture,Asep jeung Dadang ngiringan kolotna ngarana padi jeung ngiringan upacara adat.,Asep jeung Dadang ngarana padi tanpa ngiringan upacara adat.,Asep jeung Dadang ngarana padi di sawah,Asep jeung Dadang ngarasa seneng jeung bangga bisa ngarana padi,Asep jeung Dadang ngiringan upacara adat ngarana padi,Asep jeung Dadang ngiringan kolotna
Agriculture,Asep jeung temanna ngarasa ngagaduhkeunkeun kokolot nu ngabénér.,Asep jeung temanna ngarasa saperti aya nu anyar di sawah.,Asep jeung temanna ngahijian ka sawah,Asep ngarasa saperti aya nu anyar di sawah,Anjeunna nempo ka tamiénna,Tamiénna Asep nempo ka seueur kokolot nu ngabénér
