topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Agriculture,"Akhire, anak-anak desa dadi pinter nandur jagung lan sawah-sawah dadi subur.","Sawise mulang, bapak langsung ninggal anak-anak tanpa pamit.",Bapak lagi mulang anak-anak desa carane nandur jagung,Jagung iku salah siji saka tetanduran utama ing desa kuwi,Anak-anak padha seneng sinau lan niru cara bapak nandur,Iki uga dadi ajang ngumpulake warga desa
Agriculture,"Akibate, cabai-cabaine subur lan akeh woh.","Akibate, cabai-cabaine mati kabeh.",Mbok Marni pengin nandur cabai ing pekarangan,Dheweke ngerti yen cabai butuh sinar matahari sing cukup,Mbok Marni nandur cabai ing pot-pot cilik,Dheweke ngrawat lan nyiram saben dina
Agriculture,Anak-anak desa dadi ngerti carane ngolah lemah kanthi apik.,Anak-anak desa malah ora gelem sinau nandur jagung.,Pak Bejo ngajarake anak-anak desa carane nandur jagung,Dheweke nerangake pentingnya rotasi tanduran kanggo njaga kesuburan lemah,Anak-anak padha ngrungokake kanthi semangat,Tradisi iki wis ditindakake generasi demi generasi
Agriculture,Anak-anakna jadi leuwih pinter milih bibit padi nu hadé,Anak-anakna henteu ngarti naon anu dijelaskeun,Pak Dadang ngajarkeun anak-anakna cara milih bibit padi anu saé,Anjeunna ngawartosan yén bibit nu saé téh bakal nyieun hasil panén nu hadé,Anak-anakna taliti nguping sarta naroskeun rupa-rupa hal,Pak Dadang sumanget ngajawab sakabéh patarosan
Agriculture,Anake Bu Sri mbantu nyiapake sesajen kanthi semangat.,Bu Sri nyiapake sesajen dhewe tanpa bantuan.,Bu Sri lagi nyiapake sesajen kanggo upacara wiwit tandur,"Sesajen iki kalebu sega, woh-wohan, lan jajan pasar",Sesajen iki ditindakake kanggo ngaturake rasa syukur,Bu Sri njaluk tulung marang anak-anake
Agriculture,Anu barudak jadi resep jeung rajin merawat sayuran.,Anu barudak ngarasa bosen sareng ninggalkeun kebon.,Ibu Tini ngajarkeun ka anak-anakna kumaha cara melak sayuran di buruan imah,Manéhna ngajarkeun cara nu bener pikeun melak kangkung sareng bayem,Anu pohara penting pikeun ngajaga kabersihan sareng kesuburan taneuh,Kabéh anggota kulawarga maranéhna ngiringan diajar sareng melak babarengan
Agriculture,Arisan ieu nguatkeun rasa kebersamaan di antara ibu-ibu patani.,Arisan ieu ngabalukarkeun perselisihan antara ibu-ibu.,"Dina raraga nyiapkeun panén, ibu-ibu di kampung sering ngayakeun arisan",Arisan ieu diayakeun di saung di sisi sawah,"Tiap minggu, ibu-ibu nyumbangkeun hasil panénna pikeun arisan",Ieu arisan jadi ajang silaturahmi jeung gotong royong
Agriculture,Asep hasilkeun panén pare anu melimpah,Pare anu dipelak Asep teu bisa tumbuh,Asep petani anu rajin,Mang Udin ngajar Asep kumaha cara melak pare tradisional,Asep nyiapkeun lahan saméméh usum hujan datang,Asep milih bibit pare anu pangalusna
Agriculture,Asep komitmen ngajaga kualitas kopi nu dijualna,Asep mutuskeun pikeun ngeureunkeun tatanén kopi,Asep diajar cara melak kopi ti kolot-kolotna,Kolotna ngajarkeun cara milih bibit nu pangalusna jeung cara ngurusna,Asep ngarasa reueus bisa neruskeun tradisi kulawargana,Asep ogé ngaharepkeun bisa ngajual kopi hasil tatanénna ka pasar internasional
Agriculture,"Asep percaya yén ku cara ieu, hasil tatanénna bakal leuwih hadé.",Asep teu ngarti kunaon kudu ngalakukeun upacara ngabersihan kebon.,Asep jeung bapakna merlukeun padi di kebon,Maranéhna milih bibit padi anu panghadéna,"Sateuacan melak, maranéhna ngalakukeun upacara ngabersihan kebon",Ieu tradisi geus dilakukeun turun-temurun
Agriculture,Asep salawasna milih bibit anu panghadéna pikeun hasil tatanén anu optimal.,Asep salawasna ngajual bibit anu dipilihna ka pasar.,Asep sareng kulawargana sok ngalaksanakeun ngaseuk bibit unggal usum tanam,Éta mangrupikeun tradisi anu ngajaga kasuburan tanah,Asep dipercaya pikeun milih bibit anu panghadéna,Anjeunna ogé diajarkan pentingna kerja sama dina tatanén
Agriculture,Balarea sok mantuan Mang Ujang dina upacara syukuran,Mang Ujang sok ngajual sadayana hasil panénna ka luar negeri,Mang Ujang tanginas tegalan ti isuk nepi ka sore,Manéhna nanam pare jeung sajabana di sawahna,"Ku alatan éta, sawahna jadi subur",Mang Ujang sok ngayakeun upacara syukuran unggal usum panén
Agriculture,Barudak bisa ngaplikasikeun pangaweruhna jeung hasilna ngaleyur,Cabé anu dipelak barudak teu bisa tumbuh,Ibu Tati ngajarkeun barudak ngolah lahan pikeun melak cabé,Anjeunna nunjukkeun cara nu bener ngagarap taneuh,Ibu Tati ogé ngajarkeun pentingna pupuk organik,Barudak ngadangukeun kalayan sumanget
Agriculture,Barudak di lembur jadi leuwih sadar kana pentingna konsumsi sayuran sehat,Barudak jadi teu resep deui kana sayuran,Ema Tini boga kebon sayuran organik,Anjeunna sok ngajarkeun ka barudak di lemburna kumaha cara melak sayur anu bener,Ema Tini yakin melak sayuran organik leuwih sehat pikeun awak,Barudak jadi semangat diajar melak sayuran
Agriculture,Barudak diajar pentingna gotong royong jeung kerja keras,Barudak teu pernah nulungan di kebon,Ema ngajar barudakna cara melak sayuran,Barudak sok diajar nulungan di kebon,"Lamun sayuran geus siap dipanén, barudak baris bagja",Maranéhna bakal ngajual hasil panén di pasar
Agriculture,Barudak jadi leuwih nyaho pentingna ngajaga alam,Leuweung Mang Encep rusak ku perambah,Mang Encep boga leuweung sato,Mang Encep ngajaga leuweungna ti perambah,Mang Encep melak tangkal buah pikeun satwa di leuweung,Mang Encep ngajak barudak ngarti pentingna ngajaga alam
Agriculture,Barudak jadi sadar kana pentingna tatanén organik sareng hirup sehat.,Barudak jadi bosen sareng teu hayang diajar ngeunaan tatanén deui.,Ibu Ani ngajarkeun ka barudak di sakola ngeunaan pentingna tatanén organik,Anjeunna ngajak murid-muridna praktek langsung di kebon sakola,Barudak diajar cara melak jeung ngarawat sayuran tanpa bahan kimia,"Sabulan sakali, kebon sakola panén sayuran anu seger"
Agriculture,Budakna jadi ngahaja pikeun ngajaga lingkungan jeung jadi patani anu suksés.,Budakna kahirupan jauh tina pertanian sareng jadi teu resep ka alam.,Neng Sari sok nyarita ka budakna ngeunaan pentingna ngahargaan taneuh jeung alam,Manéhna ngajarkeun budakna cara melak sayuran di kebon imah,Unggal minggu budakna diajar cara nyiram jeung ngarawat taneman,"Ku kituna, budakna jadi sapopoé resep ka kebon"
Agriculture,Cucu Mbah Marijan dadi ngerti pentingnya tradisi nyadran.,Mbah Marijan ora ngajak cucune menyang sawah.,Mbah Marijan ngajak cucune menyang sawah,Cucu Mbah Marijan sinau babagan tandur pari,Mbah Marijan nerangake tradisi nyadran sadurunge tandur,Tradisi iki kanggo ndedonga supaya tandur pari lancar
Agriculture,Dadan sareng bapana ngahasilkeun sayuran anu séhat jeung subur.,Dadan henteu ngabantosan bapana pikeun ngabersihan lahan.,Dadan sareng bapana boga kebon sayuran,"Unggal musim hujan, maranéhanana sok melak cabé sareng tomat","Samemehna, Dadan sok ngabantosan bapana ngabersihan lahan",Tradisi ieu ngajarkeun pentingna kerja keras sareng gotong royong
Agriculture,Dayat diajar loba hal ngeunaan tatanén ti bapana,Dayat henteu resep kana acara adat,Dayat sok mantuan bapana dina melak jagong di kebon,"Dina usum melak, Dayat jeung bapana sok nyiapkeun lahan ti isuk nepi ka sore",Maranéhna ogé nyieun acara adat pikeun ngamimitian melak,Acara ieu sok dihadiran ku warga sakampung
Agriculture,Deden ngarasa bungah bisa ngajaga tradisi karuhunna,Upacara seren taun dibatalkeun kusabab hujan,Deden ngalaksanakeun upacara seren taun di désana,Upacara ieu dilaksanakeun sakumaha tradisi karuhun,Deden jeung warga séjén babarengan ngumpul dina saung,Maranehna ngadu'a supaya hasil panén maranéhna berlimpah
Agriculture,Dedi jadi patani anu suksés tur ngahasilkeun paré anu berkualitas,Dedi teu pernah melak paré deui,Dedi sok nulungan bapana melak paré di sawah,Anjeunna diajar ti leutik kumaha cara melak dugi ka panén,Dedi ogé diajar ngagunakeun pupuk alami ti kotoran hayam,Anjeunna diajar yén ngurus sawah butuh kasabaran
Agriculture,Deni reueus bisa ngabantos bapana sarta diajar pentingna pertanian.,Deni jadi teu resep ka sawah sabab cape.,Deni jeung bapana sok indit ka kebon tiap minggu,Maranéhanana melak jagong jeung sayuran lianna,Deni diajar kumaha cara melak jeung ngarawat taneman ti bapana,"Dina waktu panen, jagong-jagongna tumuwuh subur"
Agriculture,Dewi lan keluargane nindakake upacara wiwitan bebarengan.,Dewi ora nindakake upacara wiwitan lan langsung nandur pari.,Dewi seneng nandur pari ing sawah,Dheweke percaya yen pari iku sumber penguripan kanggo keluargane,"Saben musim tandur, Dewi mesthi nindakake upacara wiwitan kanthi sesaji","Upacara iki kanggo ngormati Dewi Sri, dewi pertanian"
Agriculture,"Di pasar, Asep ngajual béasna sareng meunang artos anu cukup.","Di pasar, Asep ngajual béas ka tukang buah.",Asep turunan tani,Kolotna ngajar Asep cara melak béas,Asep nyiapkeun sawah pikeun usum tatanén,Asep nganteurkeun béas hasil panén ka pasar
Agriculture,Ema Siti salawasna ngalaman panén salak anu suksés berkat ngajaga tradisi.,Ema Siti salawasna ngajual salakna ka pasar di luar kota.,Ema Siti resep pisan ka kebon salakna,Anjeunna sok ngajarkeun barudak ngeunaan cara nanem salak anu bener,Ema Siti ogé ngajarkeun yén aya adat nancebkeun tangkal salak pikeun ngajaga hasil tatanén,Ema Siti percaya ieu tradisi penting pisan
Agriculture,Engkus salawasna ngajaga tradisi syukuran panén pikeun ngaraksa berkah tatanén.,Engkus salawasna ngajual hasil panénna ka luar kota.,Engkus ngiringan panén raya di lemburna,Anjeunna sok ngabantu kulawargana nyokot hasil panén,Engkus ogé ngiringan dina upacara syukuran panén,Tradisi ieu ngajarkeun ka Engkus pentingna rasa syukur
Agriculture,Euis ngajarkeun barudak pentingna babarengan dina tatanen,Pare nu dipelak Euis henteu jadi,Euis geus nyiapkeun taneuh pikeun melak pare,Anjeunna ogé geus ngalebur pupuk kandang kana taneuh,Anjeunna ngajak barudak ngiringan melak,Anjeunna nambutkeun pupuk
Agriculture,Gotong royong ieu ngajarkeun pentingna kabersamaan sareng kerjasama di masyarakat.,Teh Imas sok hilap nyandak kadaharan pikeun warga.,Teh Imas sok milu gotong royong di lemburna pikeun bersihin irigasi,Ieu kagiatan dilaksanakeun saminggu sakali ku warga,Maranéhanana yakin yén irigasi anu bersih bakal masihan hasil tani anu hadé,Teh Imas sok nyandak kadaharan pikeun dibagikeun ka warga
Agriculture,Hasil kopi Kang Asep jadi langkung berkualitas jeung dipikaresep ku warga,Warga jadi teu hayang ngariung deui,Kang Asep boga kebon kopi anu lega di Gunung Halu,Anjeunna rutin ngayakeun syukuran pasca panén unggal taun,Warga desa sok ngariung jeung bareng-bareng ngicip kopi hasil panén,Ieu acara sok jadi momen kabagjaan babarengan
Agriculture,Hasil kopi Pak Ahmad kasohor ku kualitasna anu luhur.,Hasil kopi Pak Ahmad henteu diurus deui sanggeus dipetik.,Pak Ahmad boga kebon kopi anu luas,Anjeunna sok ngajarkeun ka anak-anakna cara metik kopi nu alus,"Sawaktu usum panén, anak-anakna sok mantuan metik kopi","Saurna, kopi téh kudu dipetik dina waktos anu pas"
Agriculture,Hasil panen jagung iki bisa kanggo pesta desa.,Jagung sing ditandur ora bisa dadi amarga kurang banyu.,Mbok Nah kepengin nandur jagung ing sawah,"Sadurunge nandur, dheweke ngadani ritual wiwit tandur",Kabeh warga desa padha njupuk bagian ing ritual iki,Jagung sing ditandur dadi subur lan siap dipanen
Agriculture,Hasil panen kacang tanah taun iki akeh lan nguntungake.,Hasil panen kacang tanah taun iki ora cukup kanggo kebutuhan keluarga.,Pak Tono lan Bu Tini nandur kacang tanah saben taun,"Nalika nandur, dheweke nindakake ritual nyebar kembang telon kanggo njaga hasil panen",Kacang tanah iku sumber penghasilan utama keluargane,Pak Tono lan Bu Tini kerja keras ing sawah
Agriculture,Hasil panen sayuran melimpah lan kabeh warga seneng.,Hasil panen sayuran ora apik lan warga kecewa.,Mbok Yati nduweni kebon sayuran sing subur,"Saben taun, dheweke mesthi ngajak tetanggane kanggo melu panen bebarengan",Iki minangka tradhisi gotong royong sing wis diwarisake saka leluhure,Wektu panen wis teka lan kabeh tetangga padha melu
Agriculture,Hasil panénna loba jeung kualitasna saé,Hasil panénna saeutik jeung kurang saé,Nyai Murni téh ahli dina merawat kebon kopi,Manehna sok ngajarkeun ka barudak ngora sakampung cara nanem jeung ngarawat kopi,"Dina hiji poe, kebonna siap panén",Barudak ngora milu ngabantu panén
Agriculture,Hasil sayuran Kang Dedi jadi langkung séhat sarta organik,Warga teu ngarti pentingna daur ulang,Kang Dedi boga kebon sayur-sayuran,Anjeunna sok ngagunakeun pupuk alami tina kompos,Pupuk ieu dijieun tina runtah organik ti kulawarga di désa,Kang Dedi ngajarkeun pentingna daur ulang ka warga
Agriculture,"Hasilna, sawah warga jadi subur tur jauh tina banjir.","Hasilna, warga jadi teu perlu ngurus sawah deui.","Dina usum hujan, warga desa sok ngayakeun gotong royong",Maranéhna ngabersihan saluran cai di sawah,Hal ieu dilakukeun pikeun nyegah banjir,Gotong royong téh ogé mangrupa ajang silaturahmi
Agriculture,Ibu Sari lan tetangga padha guyub nandur ketela.,Ibu Sari nandur ketela tanpa ngadani slametan.,Ibu Sari arep nandur ketela pohung ing pekarangane,Masyarakat desa padha nyaranke Ibu Sari kanggo ngadani slametan cilik,Slametan iki kanggo nyuwun keselamatan lan berkah,Tradisi iki wis turun-temurun dilakoni
Agriculture,Ibu Tati ngajarkeun barudakna pentingna ngajaga lingkungan pikeun hasil tatanén anu hadé.,Ibu Tati ngajarkeun barudakna pikeun teu usah ngurus kebon.,Ibu Tati sok ngajarkeun ka barudakna pikeun ngajaga lingkungan kebon,Aranjeunna teu diidinan miceun runtah sambarangan di sawah,"Sanggeus ngalaksanakeun ieu aturan, kebon Ibu Tati jadi bersih jeung subur",Sadaya tanemanna tumuwuh kalayan hadé
Agriculture,Jagung sing ditandur Andi lan kanca-kancane panen kanthi sukses.,Andi lan kanca-kancane ora melu upacara syukuran.,Andi lan kanca-kancane arep nandur jagung,Kabeh wis direncanakake kanthi rapi,Wong tuwa desa menehi pitutur babagan cara nandur sing bener,"Upacara ""syukuran"" dianakake sadurunge nandur"
Agriculture,Jagung sing ditandur subur lan ngasilake panen sing akeh.,Tanduran jagung Mbak Siti ora bisa tuwuh amarga hama.,Mbak Siti ngadani upacara wiwitan kanggo nandur jagung,"Sadurunge nandur, dheweke nyiapake sesajen kanggo Dewi Sri",Kabeh warga desa kumpul kanggo nulungi Mbak Siti,"Sawise rampung, padha mangan bareng-bareng"
Agriculture,Jagung sing ditandur tuwuh subur lan dadi cadangan pangan desa.,Jagung sing ditandur kabeh gagal amarga banjir tiba-tiba.,Pak Tono minangka ketua kelompok tani ing desane,Dheweke ngajak para petani kanggo nandur jagung nalika musim garing,Jagung iku tanduran sing tahan marang kekeringan lan bisa dadi cadangan pangan,"Sawise musyawarah, kabeh petani sepakat tandur jagung"
Agriculture,Jagunge Sari lan kancane tuwuh subur lan panen akeh.,Jagunge Sari lan kancane ora tuwuh subur lan gagal panen.,Sari lan kancane lagi nandur jagung ing ladange,Sari ngajari kancane cara nandur sing bener miturut tradisi desane,Tradisi iki ngarani yen kudu nandur jagung ing dina pasaran Legi,Kancane Sari manut karo piwulang Sari
Agriculture,Jajang bungah ningali jagongna mekar jeung hasilna loba,Jagong Jajang hancur ku hama,Jajang mutuskeun pikeun melak jagong dina kebonna,Anjeunna milih bibit jagong nu pangalusna,Anjeunna rajin ngurus kebonna unggal poe,Anjeunna nyiram jeung ngaleupaskeun gulma
