topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Agriculture,Abah ngokolakeun sawah padi kalayan cara-cara nu diajarkeun ti ari-ari,Sawah padi nu diokolakeun Abah sering ngalaman gagal panén,Abah nyobian ngokolakeun sawah padi,Padi téh hasil tani nu utama di désa,Abah resep pisan ngokolakeun sawah,Abah hayang ngokolakeun sawah padi nu éndah
Agriculture,Acha sareng masyarakat désa ngamimitian panén padi sacara bersama.,Acha sareng bapana indit ka kota pikeun ngalaksanakeun kontes kecantikan.,"Dina ngamimitian musim panén, masyarakat désa tempat Acha cicing sok ngalaksanakeun ritual ngabersihkeun sawah sareng ngajak leluhur",Acha sareng kolotna aktip ngalaksanakeun ritual éta,Acha ngarasa bangga kana tradisi éta,Acha hayang ngajak sakabéh batur pikeun ngalaksanakeun ritual éta
Agriculture,"Akibat ora ngadani ritual, kembang Budi ora rancak.",Akibate panen rancak kembang ora rancak.,Sore iki wong desa ngadani ritual panen,Ritual iku diwiwiti karo sesajen lan doa,"Nanging, wong desa ora ngeremake tanem kembang ing kebon",Wong desa ngarep panen rancak
Agriculture,"Akibate, Wiyanti kudu saben dina ngombe jamu lan njaga pola makan.","Akibate, Wiyanti ora perlu ngombe jamu maneh.",Wis mijil Wiyanti tanam pari ing sawahé,Tenggorokan Wiyanti krasa gatel amarga kerep merangi hama,Wiyanti wis saben dina ngombe jamu,"Nanging, Wiyanti ora noto panganane amarga isih kerep mangan gorengan"
Agriculture,Aku lan adhikku njelajahi babagan cara nandur pari supaya bisa milih werna pari kang paling bagus.,Aku bakal milih werna pari kanggo mangsa ngarep.,Kulo lan kancaku sedoyo milih werna pari,Aku sinau babagan cara milih werna pari saka ibu,Aku lan kancaku milih werna pari kang paling bagus,Aku ora suka milih werna pari amarga aku milih nggoleki wong kang milih werna pari
Agriculture,Aku lan ibu njelajahi babagan cara nandur pari supaya bisa milih werna pari kang paling bagus.,Bapak ora bisa ngerjai wong tani enom amarga bapak ora bisa nggawe para wong tani enom.,Bapak kudu ngerjai wong tani enom,Bapak wis sinau babagan cara ngerjai wong tani enom saka kakek,Bapak kudu nggawe para wong tani enom,Bapak ora bisa ngerjai wong tani enom
Agriculture,Aku lan kancaku njelajahi babagan cara milih werna pari supaya bisa milih werna pari kang paling bagus.,Kakek ora bisa macak pari amarga kakek ora bisa ngerjai wong tani enom.,Kakek kudu macak pari ing sawah,Kakek wis sinau babagan cara macak pari saka simbah,Kakek kudu nggawe para wong tani enom,Kakek ora bisa ngerjai wong tani enom
Agriculture,Aku lan mbokku mesti ngolah sawah kanggo ngolah pari.,Para petani mesti ngolah sawah tanpa bantuan saka aku lan mbokku.,"Ing mangsa panen, para petani kudu ngolah sawah kanggo panen pari",Aku lan mbokku mesti ngolah sawah bareng karo para petani liyane,Aku ora seneng ngolah sawah amarga kudu mesti nggunakake tenaga,Aku luwih seneng main karo kanca-kanca
Agriculture,Ana ngarawuan kacang buncis,Ana ngajual kacang buncis ka pasar,Ana hayang nandéan kacang buncis,Ana ngajak ibuna ka pasar,Ana sareng ibuna meuli kacang buncis,Ana sareng ibuna ngolér génténg
Agriculture,Andi ngangkataken tradisi leluhur karo ritual panen raya.,Andi ngangkataken kesenangan pribadi karo ritual panen raya.,Andi wis nyiapake acara panen raya ing desa,Andi wis silih sambut karo para tetangga,Andi wis wiwit nyiapake kembang lan dupa kanggo ritual,Andi wis ora pengen acara panen raya dadi lancang
Agriculture,Ani saiki lagi nandur pari ing kebon mburi.,Ani wis panen bunga mawar.,Ani duwe tradisi nandur bunga sawise wulan purnama,Ani nandur bunga mawar lan bunga melati ing plataran ngarep omah,Akeh wong sing seneng tanduran Ani,Ora jarang wong mampir takon arep tuku bungane Ani
Agriculture,Anjeunna tuluy ngabéréskeun panén paré,Anjeunna leuwih resep ngarobah kebon jeung ngajual bunga,"Di désa Sunda, aya tradisi nu unik nalika ngarobah sawah",Anjeunna ngarobah sawah pikeun ngabudidayakeun paré,Kolotna ngajuru kaputusan anjeunna pikeun ngarobah sawah,Anjeunna ngarasa bangga pisan
