topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Agriculture,Adi ngametake sawiji lan ngunjukke wong sawiji ora bakal kena gantuk.,Surati nganggo jagung amarga malah kena gantuk.,Surati wedi panemangan jagung,Surati mangga ngaliwat tradisi nganggo jagung,Surati mangga nganti wong kena gantuk saking jagung,Surati wedi nglacak jagung saka toko online
Agriculture,Adi sing rasa sedih karepake wong kanggo padi wus kanggo ilmu sing ngganti tradisi.,Wong kampung tidak percaya padi sing diolah teknologi baru Mbah Atmo.,Mbah Atmo sing saksi nyata wes nglawak padi sing iki,Mbah Atmo kowani saka kepercayaan wong kampung kanggo nglawak padi sing iki,Mbah Atmo wong kanggo padi wus kanggo kepercayaan wong kampung,Mbah Atmo mau nggunakake teknologi baru kanggo nglawak padi
Agriculture,"Agus wedi ngomong, nyatakan wadhwa Agus kanggo wong kelihan.","Santoso ora mau nanginggo wong-wongan iki, padha ngongol-ngongol.",Santoso mangan ngedhes kanggo padi,"Santoso ngasih ngetop, sak wong-wongan",Wong-wongan iki wedi ngetop paran ing sawah,"Santoso sing saksi, padha panganggo wong-wongan iki"
Agriculture,"Akibate, jagung wis diwaresi kanggo wong kampung.","Akibate, wong wadon iku ngomong bakal mripat, tapi saking wadah jumprayan wong wadon.",Lintang kongco tiwul kanggo ngaji,Lintang kasil kawula kanggo wong wadon sing mripat,Lintang kasil ngajar kanggo wong wadon sing mripat,"Nanging, wong wadon ora bakal mripat karepada ilmu Lintang"
Agriculture,"Akibate, wong wadon iku mripat kanggo ilmu Lintang.","Akibate, wong kulit putih iku mripat kanggo ilmu wong Jowo karsa wadah.",Wong Jowo kanggo nora ngaji karsa tiwul,Wis kabeh saksi kalih kanggo nora ngaji,Wong Jowo kasil kawula kanggo wong kulit putih sing mripat,"Nanging, wong kulit putih ora bakal mripat karepada ilmu wong Jowo"
Agriculture,Alfin nyampeun ka pasar ngarapkeun tempe kaian sareng sambalannya.,Si Eka dan saklawarganya nganggokeun padi nu cipo.,Si Eka dan saklawarganya nyaritakeun padi di sawah,Padi anu nu padiakin ka sawah bakal dicampurkeun ka beras,Beras anu nu dipadakeun ka menu makanan,Si Eka manggaurkeun ka padi saklawarganya
Agriculture,Anak-anakna ngomong-ngomong sambil mengadep padi dengan bijaksana.,"Padinya, padi Wawasan hanyut, saja saja sahuran.","Sang Hyang Eka ngucapkan, ""Siapa yang ngadep padi dengan hati, ia akan mendapat hasil yang banyak",""" Saat ngadep, Wawasan bakal ngadep dengan hati",Wawasan berharap bisa mendapat hasil yang banyak,"Namun, dia ngadep terlalu dalam"
Agriculture,"Anjeunna ngajalan ka lima haru sakali, kasusun éta kanggo ngaliwat sareng iki-iki.",Anjeunna ngading-ading ka tanaman pisang nu ujan.,Raka kasebut kambet anjeunna ka tanaman pisang,"Anjeunna matak ngajalan ka tanaman pisang, ku udan nu guru-guru","Anjeunna kadandanin ka tanaman pisang, ku sumping-sumping éta","Anjeunna kabicarakan ka tanaman pisang, ku alon-alon nu pasir"
Agriculture,"Anjeunna ngamen éta alon-alon, lamun kawula-wula kita manggaweun ka sawah.",Anjeunna ngading-ading ka saka nu ujan.,Dhika kasebut wae kambet anjeunna ka saka,"Anjeunna matak ngajalan ka saka, ku udan nu guru-guru","Anjeunna kadandanin ka saka, ku sumping-sumping éta","Anjeunna kabicarakan ka saka, ku alon-alon nu pasir"
Agriculture,Anjeunna ogé rajin ngajalakakeun rumpi sareng bakal nepungan padi nu geus bisa dimakan.,"Dina geus rék nangis ngomong, ""Ini apa sih?""","Dina na bule, pangantén sareng kawula",Dina teu pangertosan tradisi Sunda,"Adinda, kawula Dina, ngajari tentang cara nendhem padi","Dina ngomong, ""Ugi, ini apa sih?"""
