topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Food,Ani ngerti pentingne ngerti selera kulawarga.,Ani ngerti yen kue lapis kuwi jajanan sing paling enak.,Ani kepingin ngerangkak jajanan pasar kanggo kulawargané,Ani bingung milih jajanan sing cocog kanggo kabeh,Ani nemtokne milih kue lapis sing dadi favorit kulawarga,Ani ngrasa seneng amarga kulawargane gembira
Food,Dina belajar menehi kontribusi kanggo acara bersama.,Dina ngerti yen nasi liwet kuwi masakan sing paling enak.,Dina ngajak kanca-kancane nganakake kenduri,Dina kepingin ngajak kancane mangan nasi liwet,Dina ngatur kanggo nggawé nasi liwet bareng-bareng,Dina ngrasa seneng amarga kancane seneng
Food,Siti duwe rasa bangga karo budaya Jawa.,Siti bisa nggawé bledug kanggo tugas sekolah.,Siti lagi ngerjakan tugas sekolah tentang budaya Jawa,Siti kepingin ngerti luwih lanjut babagan bledug,Siti nonton video lan maca buku babagan bledug,Siti ngerti yen bledug iku salah sawijining budaya kuliner Jawa
Food,Bagas ngerti pentingne nglestarikan budaya.,Bagas seneng ngerti jajanan pasar sing dikoleksi.,Bagas diajak kakeke menyang pasar tradisional,Bagas diajak ngobrol karo para pedagang,Bagas dibelikan jajanan pasar kanggo dibalang,Bagas ngrasa seneng amarga bisa ngobrol karo wong-wong tuwa
Food,Warung Pak Warno lagi tutup.,Kancane Ratih seneng banget bisa diundang.,Ratih kepingin ngajak kancan-kancane nganakake slametan,Ratih bakal masak nasi tumpeng sendiri,Ratih ndadak ora kepénak karo kahanane,Ratih ngajak kancan-kancane mampir ngombe wedang jahe ing warung Pak Warno
Food,Pak Budi ora ngerti carane ngupas tembung.,Tetangga Pak Budi seneng banget bisa diundang.,Pak Budi ngundang tetangga kanggo mesthi ngupas tembung,Pak Budi nyiapake jajanan pasar kanggo tamu-tamune,Pak Budi nggunakake piring lan mangkuk sing diwarisake dening neneké,Pak Budi seneng banget bisa ngluncurake budaya luhur
Food,Nenek lupa nambah air.,Cucu-cucunya seneng banget nginum wedang ronde.,Nenek sedang meracik wedang ronde,Aroma jahe lan gula jawa ngisi dapur,Cucu-cucunya ngumpul ngelilingi Nenek,Nenek ngasih takaran gula sing pas kanggo saben gelas
Food,Sate klathak ing warung kasebut kurang enak.,Anak-anak Pak Karta gembira bisa ngunjungi candi Borobudur.,"Dina minggu iki, keluarga Pak Karta bakal ngunjungi candi Borobudur",Pak Karta ngajak anak-anakne ngenteni singgah ing warung sate klathak,Anak-anak Pak Karta seneng banget bisa mrenehi pengalaman anyar,Pak Karta seneng ngelih senyum anak-anakne
Food,Ibu Sari ora seneng karo jenang grendul.,Ibu Sari seneng banget ngerti kejutan Sari.,Sari kepingin ngasih oleh-oleh khas kanggo ibune,Sari milih jenang grendul ing toko oleh-oleh,Sari pengin ngasih kejutan kanggo ibunye,Sari ngarep ibunye seneng
Food,Ibu Siska iku seneng amarga Siska ngerti masak.,Ibu Siska ngerti tempe mendoan sing enak.,Siska lagi nggawe tempe mendoan,Siska nggunakake kluwih kanggo mendoan,Ibu Siska ngerti Siska nggawe mendoan,Ibu Siska nyawang Siska sing lagi nggoreng mendoan
Food,Andi lan Pak Tono ngobrol ngenani tetangga.,Andi lan Pak Tono ngomong ngenani cuaca.,Andi lagi ngombe wedang jahe ing sawah,Andi ngombe wedang jahe kanggo nganget-angetke dewek,Pak Tono ngelih Andi lagi ngombe wedang jahe,Pak Tono ngajak Andi ngobrol
Food,Maya njaluk sendok marang ibu warung.,Maya njaluk nasi uduk liya.,Maya lagi mangan nasi uduk ing warung,Maya ngemot nasi uduk karo tangan,Maya kepengen mangan nasi uduk karo sendok,Maya nyenggol ibu warung
Food,Dimas ngawuhi kolak singkong marang tetangga.,Dimas mangan kolak singkong liwat.,Dimas lagi ngolah singkong kanggo kolak,Dimas nggrisok singkong nganggo parutan,Dimas ngeramas singkong sing wis diparut,Dimas nggawe kolak singkong
Food,Rara seneng amarga es dawet sampurna.,Rara ora seneng amarga es dawet ora manis.,Rara lagi ngombe es dawet ing warung,Rara ngelih wong liya mesen es dawet,Rara kepengen ngrasakake es dawet,Rara mesen es dawet marang mbak warung
Food,Desty ngepak jajanan pasar ing godhong pandan sing wis layu.,Desty ngepak jajanan pasar ing godhong pandan sing anyar.,Desty seneng banget karo jajanan pasar,Desty arep mbiyen jajanan pasar kanggo kulawargane,Desty ngerti jajanan pasar kudu dibungkus kanthi apik,Desty nggunakake godhong pandan kanggo ngepak jajanan pasar
Food,Rendi ngomong yen sambal terasi-ne ora pedes.,Rendi ngajak sedulur-sedulure kanggo coba sambal terasi-ne.,Rendi lagi ngerayani sambal terasi,Rendi kepingin sambal terasi sing pedes banget,Rendi nambah cabai rawit ing sambal terasi,Rendi ngerti sambal terasi sing pedes banget bisa nggawe wong lain ngrasani
Food,Dina lan Dinda ora ngerti carane masak nasi tumpeng.,Dina lan Dinda seneng banget ngepak nasi tumpeng.,Dina lan Dinda lagi ngajak sedulur-sedulure nganakake kenduri,Dina lan Dinda kepingin masak nasi tumpeng,Dina lan Dinda njaluk tolong ibu kanggo masak nasi tumpeng,Ibu setuju kanggo masak nasi tumpeng
Food,Ari ngetem wedang ronde ing gelas plastik.,Ari ngetem wedang ronde ing cangkir sing bagus.,Ari kepingin mangan wedang ronde sing panas,Ari ngerti wedang ronde sing panas bisa ngilangi kepenatan,Ari nggawe wedang ronde,Ari ngerti wedang ronde kudu dihidangkan ing cangkir
Food,Lintang ngiris kue lapis-ne sing ora rapi.,Lintang ngasih kue lapis-ne kanggo ibu.,Lintang lagi ngerti carane masak kue lapis,Lintang kepingin masak kue lapis kanggo ibu,Lintang ngerti kue lapis kudu dipotong ing bentuk sing rapi,Lintang nggodhog kue lapis ing piring sing bagus
Food,Mereka akan makan nasi liwet bersama dengan lauk pauk dan sambal.,Nenek Ratih menyimpan nasi liwet untuk dibagikan kepada tetangga.,Nenek Ratih lagi masak nasi liwet,Ia selalu menggunakan daun pisang untuk membungkus nasi liwet,Aroma harum nasi liwet tercium di seluruh rumah,Anak cucu Nenek Ratih menanti dengan sabar di meja makan
