topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Food,"Ejoy arep dados soko bakar, karepke kaget kuburan.","Kakek wis ngrasakake kang Narti, karepke wis kula jajan.",Kang Narti wong saking wilujengan,Kang Narti pinter ngligik jajan pasar,"Jajan wis dados kosong, wong kena mboten makan",Kang Narti wis dados jajan kakeknya
Food,"Kang Narti ngasih jajan kakek, karepke kakek wis ngendi.","Elistin kula kuping sapi wirasan, wong wis kula nasi jagung lawas.",Elistin ngligik nasi jagung lawas,Elistin wong saking kaswin,Nasi jagung wis dados kuping sapi,"Elistin kula kuping sapi wis dados, nanging wong wis kula nasi jagung"
Food,Sari nikadi ngligro kulineran nggono.,Budi nggawe warung iki.,Budi kulineran sampe warung tegalan,Iki warung ngligro sing paling enak,"Budi kena tau, warung kowani ora ada stok nasi",Budi marah nanging tetep kena nungsi
Food,Sari ngajari wedang uwuh sakaro wong keluarga sing bakal nggoleki wong keluarga.,Sari ora ngajari wedang uwuh karepake wong keluarga.,Sari ngajari cara memasak wedang uwuh sakaro wong keluarga,"Sari istri nabi, wong kang wae kawulaan",Sari karaton kanggo wong keluarga kanggo gincu sing sare,Sari nglukir wong keluarga sing bakal ngajari wedang uwuh
Food,Sukoco ngajari cara memanfaatkan endalan sageran saben dina.,Sukoco ora ngajari cara memanfaatkan endalan sageran.,Sukoco ngajari cara memanfaatkan endalan sageran,Sukoco nami wong kang wae kawulaan,Sukoco karaton kanggo wong keluarga kanggo gincu sing sare,Sukoco nglukir wong keluarga sing bakal ngajari cara memanfaatkan endalan sageran
Food,Elistin ngajari cara membuat lumpia sing sare saben dina.,Elistin ora ngajari cara membuat lumpia sing sare.,Elistin ngajari cara membuat lumpia sing sare,Elistin nami wong kang wae kawulaan,Elistin karaton kanggo wong keluarga kanggo gincu sing sare,Elistin nglukir wong keluarga sing bakal ngajari cara membuat lumpia sing sare
Food,Iwan ngajari cara mengolah teh botol saben dina.,Iwan ora ngajari cara mengolah teh botol.,Iwan ngajari cara mengolah teh botol,Iwan nami wong kang wae kawulaan,Iwan karaton kanggo wong keluarga kanggo gincu sing sare,Iwan nglukir wong keluarga sing bakal ngajari cara mengolah teh botol
Food,"Sari gapokok sate khas lain, lebih nikmat dari yang komersial.",Ibu Narti pake buah jambu lain sebagai ganti.,Ibu Narti suka mengolah ragout buah nangka,Ragout buah nangka biasanya disajikan saat acara-acara keluarga,Ibu Narti mau buat untuk acara keluarga minggu depan,"Namun, buah nangka sedang tidak tersedia dipasaran"
Food,Ki Sapto makan sampun panganan baru sing paling nggolek.,Rara mau buka restoran nasi tumpeng tuwo.,Rara terus inget sajian nasi tumpeng tuwo,Rara rutin makan nasi tumpeng tuwo saksi wengi,Rara udah sempet nggoleki resep nasi tumpeng tuwo,Rara doyan nggoleki kuliner Jawa
Food,Rara saksi makan nasi tumpeng tuwo saksi wengi.,Adi mau buka restoran sate klathak.,Adi ora suka makan sate klathak,Adi lebih suka makan sate lontong,Anak-anak keci ora suka sate klathak,Sate klathak kena suka kanggo wong keturunan asing
Food,Adi makan sate lontong sak siang.,Sari mau buka warung gudeg.,Sari seneng makan gudeg,Sari suka panganan tradisional Jogja,Sari lagi mencari gudeg nggolek,Sari kepengin makan gudeg khas Jogja
Food,Sari makan gudeg khas Jogja.,Eko mau buka warung wedang ronde.,Eko suka minum wedang ronde,Eko kepengin makan wedang ronde,Eko suka kuliner Jawa,Eko suka panganan tradisional
Food,Pak Sastro beli banyak sate klathak karo warung.,Bu Slamet makan gudeg sambil ngulek nasi kering.,Bu Slamet ngamen gudeg siji sak siang,Dheweke mboten nggawe nasi,"Gudeg tanpa nasi, bu Slamet ora mau mangan",Nyelembingan gudeg udah habis
Food,Bu Slamet pergi beli nasi sambil ngamen gudeg.,Ibu Herdiyanti makan wedhang sambil ngulek rujak cingur kering.,Ibu Herdiyanti mangan secangkir wedhang siji,Dheweke nanging ora mau ngamen rujak cingur,"Wedhang tanpa rujak cingur, ibu Herdiyanti ora mau mangan",Rujak cingur udah habis
Food,Ibu Herdiyanti pergi beli rujak cingur sambil ngamen wedhang.,Ki Sapto makan nasi pecel sambil ngulek tempeh goreng kering.,Ki Sapto kepengin makan nasi pecel siji,Dheweke mboten mau ngamen tempeh goreng,"Nasi pecel tanpa tempeh goreng, Ki Sapto ora mau mangan",Tempeh goreng udah habis
Food,Sari lan Suryo ngeserakake kulineran iku dina jamanan.,Tika gusane warung keliling.,Tika nambah wahana gula Jagung,Tika tiasa nongkrong marang warung keliling,Tika mau jualan wahana gula Jagung dina pasar,"Pasar iku krosak, Tika ora diambilinya wahana gula Jagung"
Food,Tika cari cara baru nambah wahana gula Jagung.,Eko ora mau ngomong kanggo kue tradisional China.,Eko lan Santi kembar sing pinter maringi,"Eko nggih pinter kuliner, Santi nggih pinter kulineran tradisional","Dina ulang tahun Eko, Santi mbuat kue tradisional Jawa","Kue iku nggih enak, tapi wong padha ngomong kanggo kue tradisional China"
Food,Sari ngganti warung iki dengan sembahyang.,Babat gongson ana ora bisa ditemukan lagi.,Sari nganti-nganti saking babat gongson saka pasar,Sari kulemi saking sate klathak,Sari nyawang warung iki sawise 5 tahun lalu,"Sari pikir kalo warung iki ora ada, babat gongson ana ora bisa ditemukan"
Food,Dewi makan dengan senyum.,Dewi ngamuk karena bumbu sate terlalu pedas.,Dewi mangan ingkang kudu nasi tumpeng kenongan karo keluarga iki,Nasi tumpeng kenongan iki khas ketipat sate,Dewi kenal sing sate kelas satu,Dewi kudu nuduhake bumbu sate iki
Food,Santoso makan bakpia dengan sembahyang.,Teman-teman Santoso ora mau ngabruk bakpia.,Santoso kudu nganti-nganti saking jajanan pasar karo teman-teman iki,Santoso kulemi saking bakpia,Santoso nyawang warung iki sawise 3 tahun lalu,"Santoso pikir kalo warung iki ora ada, bakpia ana ora bisa dibeli"
Food,"Eyang Pak Suro langsung nganti milih jajanan pasar, karepake dia ora bisa nambahake uang tunai.",Eyang Pak Suro masih bisa nambahake uang tunai dari anak-anaknya.,Eyang Pak Suro wis ngebahake jajanan pasar,Eyang Pak Suro wis pinter kuliner,Eyang Pak Suro wong tuwa sing mboten nggak tau maneh jenis jajanan kaya Eyang Pak Suro,Eyang Pak Suro ora bisa nambahake uang tunai
