topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Agriculture,"Budi seneng, soale musim tanam bakal tiba.","""Lho, kowe ora tau to, musim tanam pas musim kemarau,"" jawa bapake.","""Pak, kapan kita bakal tanam padi lagi?"" tanyane Budi marang bapake","""Kita bakal tanam pas musim tanam tiba, nak,"" jawa bapake","""Tapi, Pak, kapan musim tanamnya?"" tanyane Budi","Bapake nggakjupuk, ""Kowe ora tau to, musim tanam pas musim ujan"
Art,Ratih kudu nggawe batik maneh.,Ratih ora bakal nyoba nggawe batik maneh.,Ratih pengen nggawe batik,Ratih nyoba nggambar motif batik,Gambarane ora apik lan ora padha,Ratih ora bisa nggawe batik kanggo dheweke
Art,Pak Guru ngajari Niki cara nglakoni wayang kulit.,Niki ora gelem nglakoni wayang kulit.,"""Niki, kowe kudu nglakoni wayang kulit nang acara wisuda kowe,"" omonge Pak Guru",Niki ora ngerti cara nglakoni wayang kulit,Niki langsung nyoba nglakoni wayang kulit,Niki ora bisa nglakoni wayang kulit
Fisheries and Trade,Joko lan Rini matur suwun marang wong tuwane.,Wong tuwane ora gelem ngutangi duwit.,Joko lan Rini ora duwe duwit kanggo tuku pindang,Sing duwe warung ora gelem ngutangi,Joko lan Rini njaluk duwit marang wong tuwane,Wong tuwane ngutangi duwit kanggo tuku pindang
Death,Layangane Bayu menang tanding.,Bayu ora gelem kalah.,Bayu lan kanca-kancane main layangan,"Layangane Bayu apik, werna biru","Layangane kancane ora apik, werna item",Bayu ora gelem layangane dijatake kancane
Art,Sedulur-sedulure bangga karo Wisnu.,Sedulur-sedulure ora seneng karo pentas karawitane Wisnu.,Wisnu seneng banget karo karawitan,Dheweke sabanjure ngulik karawitan,Wisnu pengin banget nampilake kagem sedulur-sedulure,Dheweke ngajak sedulur-sedulure nonton pentas
Fisheries and Trade,"Sinta lan Ratih ora sagedh nolak, iku tanggung jawab.","Sinta lan Ratih nolak, lan warung ditutup.",Sinta lan Ratih njaga warung,Sinta ora sagedh ninggalake warung,Ratih kudu njaga warung sabanjure,"Sinta lan Ratih ora sagedh nolak, iku tanggung jawab"
Agriculture,Tini lan adhe nyuwun cangkul marang bapake.,Tini lan adhe ora ngerti carane nggarap sawah.,Tini arep nggarap sawah,Tini ora duwe cangkul,Tini pinjam cangkul marang adhe,Adhe Tini ora duwe cangkul
Daily Activities,Bayu seneng banget njupuk sepeda anyar.,Bayu ora gelem njupuk sepeda anyar.,Bayu pengin njupuk sepeda anyar,Sepeda anyar luwih apik lan luwih canggih,Bayu pengin njupuk sepeda kanggo nggolekke duwit,Sepeda anyar luwih apik lan luwih enteng
Wedding,Rama kudu nyiapin seserahan.,Rara ora nganten karo Rama.,Rara lan Rama arep nganten,"Rara wis nyiapin seserahan, nanging Rama lali",Rara kaget nalika Rama ora entuk seserahan,Rara ngira Rama ora arep nganten
Traditional Games,Bayu ora main maneh karambol karo kanca-kancane.,Bayu ngajak kanca-kancane main maneh.,Bayu lan kanca-kancane main karambol,Karambol iku mainan sing apik lan ngasah ketangkasan,Bayu ora bisa nglawan kanca-kancane,Bayu ora seneng lan ngambek
Food,"Bayu njupuk tiwul kanggo sedulure, nyenengake wong tuwane.","Bayu njupuk tiwul, tapi lali nggowo dhuwit.",Bayu njupuk tiwul ing pasar,Tiwul iku panganan tradisional sing enak,Bayu nggawe tiwul dadi bubur,Bayu ngajak sedulure mangan bareng
Fisheries and Trade,Sinta njaga warung sabanjure sekolah.,Bapake Sinta ora duwe wong kanggo njaga warung.,Sinta arep njajal njaga warung,Warunge sing diwarasake bapake,Sinta pengin njaga warung sabanjure sekolah,Bapake Sinta ora duwe wong kanggo njaga warung
Socio-religious aspect of life,Bima ngerti pentingne nyadran lan ngucapke terima kasih.,Bima ora ngerti tradisi sedekah bumi.,Bima lagi nyadran ing gunung,Bima ngucapke doa kanggo keselamatan,Bima ora lali bawa bekal,Bima ora ana ing acara sedekah bumi
Socio-religious aspect of life,Bayu ngrasakake manfaat meditasi lan nglakoni ritual iki rutin.,Meditasi ora nggawe Bayu tenang.,Bayu kepingin nglakoni ritual meditasi,Meditasi kanggo ngatur napas lan pikiran,Bayu nyoba meditasi ing watu pagi,Meditasi kanggo ngurangi stres lan nggawe pikiran tenang
