topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Agriculture,Rani duwe rasa sayang lan hormat marang bumi.,Rani ora kepingin ngerti carane ngerjakan ladang.,"Nenek Sri ngajak cucunya, Rani, kanggo ngerjakan ladang",Nenek Sri ngajak Rani nggarap thobol lan ngasuh kebo,Rani seneng banget bisa ngerti carane ngerjakan ladang kaya nenekne,Rani nerima ilmu kanggo ngolah bumi
Art,Rani ngajak seniman gamelan kanggo ngajari bandéne.,Bandéne bisa main gamelan lan ngisi acara slametan.,Rani kepingin ngajak bandéne ngawontenake pertunjukan gamelan ing acara slametan,Rani ngrasa musik gamelan bisa nggawe acara luwih meriah,Rani ngajak para anggota bandéne latihan,Bandéne ora ngerti carane main gamelan
Art,Raka ngajak kakeke kanggo ngajari main gamelan.,Raka bisa main gamelan ing acara pernikahan.,Raka seneng banget karo gamelan,Raka arep bisa main gamelan kaya kakeke,Raka latian saben dina,Raka pengin ngisi acara pernikahan karo musik gamelan
Fisheries and Trade,Mbak Sri ngundang tetanggané kanggo ngetok ikan lan ngetimang bareng.,Mbak Sri ngundang tetanggané kanggo ngetok ikan lan ngajak ngetok ing pasar.,Mbak Sri ngelih ikan-ikan ing kolam budidayane,Mbak Sri ngerti yen ikan-ikan kasebut wis siap dipanen,Mbak Sri ngundang tetanggané kanggo ngrayakake panen,Mbak Sri mikir bakal ngajak tetanggané ngetok ikan bareng-bareng
Death,Wong-wong tetangga ngunjungi griya Ibu Maya kanggo ngetokake takziyat.,Anak-anak Ibu Maya nganakake pesta meriah kanggo memperingati Ibu Maya.,Ibu Maya wis puput,Ibu Maya wis dimakamke ing kuburan keluarga,Anak-anak Ibu Maya nggunakake baju warna putih,Anak-anak Ibu Maya lagi ngurus tahlilan kanggo Ibu Maya
Art,Pak Budi dadi maestro gamelan ing desanya.,Pak Budi nerima imbalan kanggo main gamelan.,Pak Budi ngendikake gamelan kanggo acara selamatan,Pak Budi seneng ngajak tetangga kanggo main bareng,Pak Budi seneng ngerti seni musik tradisional,Pak Budi ingkang paling rajin ngasah kemampuan main gamelan
Fisheries and Trade,Pak Budi ngerti pentingne ngerti pasar.,Pak Budi seneng amarga bisa ngeraih untung gedhe.,Pak Budi ngetokake ikan hasil tangkapne ing pasar,Pak Budi seneng amarga daganganne laris manis,Pak Budi ngobrol karo pembeli lan ngasih harga miring,Pak Budi kepenak lan ngerti taktik dagang
Agriculture,Mak Sri ngajak kulawarga lan tetangga mangan nasi tumpeng bareng.,Mak Sri ngiyup-ngiyup ngelihat hasil panen sing apik.,Mak Sri nggawe nasi tumpeng kanggo ngrayakake panen padi,Nasi tumpeng iki dibentuk seperti kerucut lan dihias sayuran,Mak Sri ngundang kulawarga lan tetangga kanggo ngerayani,Mak Sri seneng nglihat kulawarga lan tetangga gembira
Daily Activities,Pak Tono ngomong yen dia bakal nggodhog ing panggon liyane.,Dinda ngerteni yen Pak Tono seneng nggodhog ing ngendi halaman.,Dinda lagi nyapu halaman,Pak Tono lagi nggodhog ing ngendi halaman,Dinda ngomong yen Pak Tono kudu pindah,Pak Tono ora kepingin pindah
Wedding,Sari ngerembuke babagan gesang kanggo ngatur panganten.,Sari ngrasa gugup amarga bakal nikah besok.,Sari bakal nikah besok,"Wong tuwe Sari lagi ngatur sedaya, saka dekorasi nganti menu pangan",Sari nggunakaken kebaya putih lan kain batik sing elok,Sari seneng banget amarga bakal nikah karo wong sing dikasihi
