topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Agriculture,Keluargane bisa mangan panganan sehat saka tetanen organik.,Anake ora kepengin nyoba tetanen organik.,Mbok Rini ngandharake babagan tetanen organik marang anake,Dheweke nerangake yen tetanen organik luwih sehat lan ramah lingkungan,Mbok Rini uga nuduhake carane nggawe pupuk kompos saka sampah rumah tangga,Anake seneng lan pengin nyoba tetanen organik
Art,Mas Joko mutusake kanggo nggawe luwih akeh topeng wayang lan ngeculake menyang pasar.,Mas Joko ngeculake kabeh topeng wayang kanggo digunakake ing upacara adat.,Mas Joko nggawe topeng wayang kanggo pameran seni,Topeng-topeng kuwi digawe kanthi teliti lan rinci,Wong-wong padha nonton lan memuji karya Mas Joko,Ana sing pengin tuku topeng wayang kuwi
Art,Acara pesta desa dadi luwih meriah lan berkesan.,Joko lan kanca-kancane entuk hadiah amarga penampilane.,Joko lan kanca-kancane nggawa angklung ing acara pesta desa,Suara angklung sing harmonis nggawe kabeh wong seneng,Wong-wong padha nyanyi bebarengan lagu-lagu tradisional,Joko lan kanca-kancane seneng bisa nambah semangat warga desa
Fisheries and Trade,Lilis saiki malah nggawe produk olahan udang sing dijual online.,Lilis saiki seneng main bal-balan lan lali karo udang.,Lilis iku bocah cilik sing seneng banget mbantu ibune ngresiki udang,"Saben sore, Lilis lan ibune lungguh ing teras omah kanggo ngresiki udang sing bakal didol ing pasar esuk",Lilis sinau akeh babagan udang saka ibune,Dheweke pengen dadi pedagang udang kaya ibune
Death,Kabeh anggota keluarga padha setuju karo pembagian warisane.,Mbak Dewi milih warisan kanggo awake dhewe.,Mbak Dewi nemokake surat wasiat bapake,Bapake ninggalake akeh warisan kanggo anak-anaké,Mbak Dewi kudu maringi kabar marang sedulur-seduluré,Dheweke bakal ngatur pembagian warisan iki
Art,Wulan lan kancane nembang tembang dolanan ing acara sekolah kanthi sukses.,Wulan lan kancane ora tampil amarga ora siap.,Wulan seneng nembang tembang dolanan,Dheweke sering nembang karo kancane ing bale desa,Wulan pengin nguri-uri budaya Jawa liwat tembang dolanan,Dheweke ngajak kancane kanggo tampil ing acara sekolah
Fisheries and Trade,Kolam iwake Andi ora ana iwak sing mati.,Andi lali menehi pakan iwak.,Andi ngrumat kolam iwak ing omahe,Iwak-iwak ing kolam katon sehat lan gemuk,Saben dina Andi menehi pakan iwak lan ngresiki kolam,Andi bangga karo kolam iwake sing subur
Agriculture,Pak Suto lan tangga-teparo padha mangan ing pinggir sawah.,Pak Suto ora ngerti kapan pari bakal siap dipanen.,Pak Suto nandur pari ing sawah,"Saben taun, dheweke ngadani upacara wiwit tandur",Keluargane lan tangga-teparo padha melu upacara iku,Pak Suto ngarep bisa panen sing akeh
Daily Activities,Rina seneng amarga bisa blanja sayur segar kanggo keluargane.,Rina kesel amarga perjalanan sing adoh lan ninggalake pasar tanpa blanja.,"Dina iki, Rina arep menyang pasar nganggo becak","Pasar iku adoh saka omahe, mula Rina milih becak amarga luwih praktis",Rina seneng ngobrol karo tukang becak sing ramah,"Sesampai ing pasar, Rina nyedhaki warung sayur kanggo blanja"
Wedding,Upacara siraman berlangsung khidmat lan penuh doa.,Siraman ditunda amarga banyu ora cukup.,Upacara siraman dianakake ing kebon mburi omah pengantin wanita,Wong tuwa lan sedulur-sedulur padha melu,Kembang-kembang ditaburake ing banyu siraman,Siraman iku bagian saka tradisi kanggo ngresiki roh lan raga calon pengantin
