topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Agriculture,Kori lan kancane nandur pari bareng.,Kori nandur pari dhewe.,Kori kancane arep nandur pari,Kori kancane ora tahu cara nandur pari,Kori kancane butuh bantuan,Kori nandur pari bareng kancane
Art,Bunga nerusake nggawe lukisan.,Arini njaluk ibune ganti nggawe tembang.,Arini wis sinau nggawe tembang,Arini pengin dadi penyanyi ing upacara tradisional,Arini latihan nggawe tembang,Ibu Arini tansah nganggep nggawe tembang ora migunani
Art,Lestari ndedonga kanggo ibune sing menehi kasih sayang.,Lestari milih nari modern kanggo nari tradisional.,Lestari seneng dadi penari,Lestari nduweni bakat alam kanggo nari,Lestari nggawe grup nari kanggo tampil ing pertunjukan,Lestari uga ngajak ibune kanggo nonton pertunjukan
Fisheries and Trade,Kusnanda njaga ikan supaya ora rusak.,Hastuti njaga ikan kanggo dipateni.,Hastuti nduwe kerja kanggo njaga ikan,Hastuti njaga ikan supaya tetep seger,Hastuti terus njaga ikan kanggo didol,Hastuti njaga warung apung supaya tetep rapi
Death,Kulawarga Raden Ayu melu ninggalaken dheweke nganggo tata cara adat.,Kulawarga Raden Ayu ora melu ninggalaken dheweke nganggo tata cara adat.,"Raden Ayu seda, kulawarga kudu nindakake upacara adat Jawa",Kulawarga kudu nganggo busana sederhana,Raden Ayu kudu dikubur nganggo prosesi adat,Kulawarga kudu njaga pusara Raden Ayu
Art,Eka diundang kanggo nari ing acara adat Ponorogo.,Eka uga seneng nari gerakan modern.,Eka kepengin dadi penari Reog,Eka seneng sekali nonton pertunjukan Reog,Eka pengin miwiti nglatih gerakan Reog,Eka kudu nglatih saben dina kanggo dadi penari kang apik
Fisheries and Trade,Aku tansah njaga keramahan karo pelanggan supaya bali maneh.,Aku tansah ora sabar karo pelanggan kanggo nglakoni transaksi.,Aku wis nyiapake pasar kanggo jual iwak seger,Aku ora sabar arep nandhang kesenengan jual iwak,Wong tuwa aku ngajar aku carane jual iwak wiwit cilik,Aku bakal nguji ketrampilan jualan aku
Agriculture,Wong desa kasil panen kembang rancak.,Candra ora seneng menanam pari.,Candra arep tanam pari,Candra wis siyap tuku benih pari,"Nanging, sadurunge tanam Candra ora nggawe ritual sesajen",Candra ngarep panen rancak
Daily Activities,Sinta tuku akeh panganan.,Sinta ora siyap marang momen penting.,Sinta kudu siyap marang momen penting,Sinta mung nduwe sedikit wektu,Sinta bakal ngladeni tamu sing akeh,Sinta kudu tuku akeh panganan
Wedding,Siti karo Rudi banjur nampa syahdu saka orang tua.,Siti karo Rudi banjur lali njupuk dompete.,"Siti karo Rudi wis ngrawat kembang, lan wis ngrawat pakaian adat",Siti karo Rudi wis ngrawat tata panggung lan ngrawat papan tulisan,Siti karo Rudi wis ngrawat dhompet,Siti karo Rudi wis ngrawat kacamata
