topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4,generated_by,language
Agriculture,Panen Pak Budi terus melimpah lan warga desa padha seneng.,Panen Pak Budi gagal lan warga desa kecewa.,"Setiap musim panen, Pak Budi nganakake syukuran ing desane",Warga desa padha kumpul lan mangan bersama,Pak Budi percaya yen syukuran iki nggawa berkah kanggo panen sing bakal datang,Tradisi iki wis dilakoni turun temurun,claude,su
Art,Bocah-bocah seneng lan bangga bisa nembang kaya Sulastri.,Sulastri tetep nembang dhewe ing acara desa.,Sulastri ahli nembang tembang dolanan bocah,"Saben ana acara desa, dheweke mesthi dimintak tolong kanggo nembang",Warga desa suka banget karo suwarane sing merdu,Sulastri uga ngajar bocah-bocah desa kanggo nembang,claude,su
Art,Pak Budi ora ngerti carane main gamelan.,Anak-anak ora seneng karo gamelan.,Pak Budi nggawe gamelan ing omahe,Dheweke ngajari anak-anak desa carane main gamelan,Anak-anak padha semangat lan gelem sinau,Pak Budi manggon ing desa sing akeh bakat seni,claude,su
Fisheries and Trade,Pak Eko lan anak-anakne dikenal minangka keluarga sing dermawan.,Tangga-teparone ora seneng karo iwak hasil mancinge Pak Eko.,Pak Eko lan anak-anakne seneng mancing iwak ing kali,"Saben akhir pekan, dheweke lunga bareng-bareng",Hasil mancinge akeh,Iwak-uwaknya dibagi-bagi marang tangga-teparone,claude,su
Death,Pembagian warisan ditampa kanthi rasa syukur lan keikhlasan.,Gito ora setuju karo keputusan musyawarah.,"Nalika bapak meninggal, Gito lan sedulur-sedulure padha musyawarah bab warisan",Warisan iku kalebu sawah lan omah,Gito lan sedulur-sedulure pengin adil ing pembagian,Musyawarah iku lumaku kanthi lancar,claude,su
Art,Budi lan kanca-kancane sukses manggung ing acara wayang kulit.,Budi lan kanca-kancane gagal main gamelan amarga ora latihan.,Budi sinau main gamelan karo kanca-kancane,Dheweke latihan ing pendhapa desa,Budi pengen bisa main gamelan ing acara wayang kulit,Latihan Budi lan kanca-kancane terus maju,claude,su
Fisheries and Trade,Pak Tono entuk hormat saka warga desa amarga kejujuran lan kerapian iwake.,Pak Tono ora tau ngedol iwak maneh amarga ora laku.,Pak Tono yaiku petani iwak ing desa,"Saben dina, dheweke mriksa kolam iwak kanggo mesthekake kesehatan iwak",Warga desa seneng tuku iwak saka Pak Tono amarga iwake seger,Pak Tono tansah ngedol iwak ing pasar desa saben minggu,claude,su
Agriculture,Kabeh warga seneng lan ngrasa syukur bareng-bareng.,"Sawise upacara, kabeh langsung bali menyang omahe dhewe-dhewe tanpa mangan bebarengan.",Keluarga Pak Darto duwe kebiasaan unik nalika panen padi,"Saben panen, dheweke nganakake upacara slametan kanggo ngaturake rasa syukur",Para tetangga lan sanak sedulur diundang kanggo melu slametan,"Sawise upacara, kabeh padha mangan bebarengan",claude,su
Daily Activities,Perpustakaan desa dadi rame lan akeh pengunjung.,Andre lali karo buku-buku lan perpustakaan.,Andre seneng maca buku ing waktu senggang,Dheweke biasane menyang perpustakaan desa saben akhir minggu,Ana akeh buku menarik sing bisa dipinjam,Andre seringkali ngajak kanca-kancane kanggo maca bareng,claude,su
Wedding,"Sawise siraman rampung, Tini dirasa luwih tenang lan siap kanggo pesta nikah.","Sawise siraman rampung, Tini langsung ganti busana lan mangkat menyang pesta.",Keluarga Tini sibuk nyiapake acara siraman,Siraman minangka ritual penting ing budaya Javanese sadurunge pesta nikah,Tini nganggo pakaian tradisional lan dihiasi kembang melati,Ibu lan sedulur-sedulure ngerawuhi upacara iki,claude,su
Traditional Games,Bagus akhirnya bisa nguber Agung lan menang.,Agung malah tiba lan ora bisa nerusake dolanan.,Agung lan Bagus dolanan engklek ing tengah sawah,Agung luwih cepet mlumpat tinimbang Bagus,Bagus ngupayakake supaya bisa nguber Agung,"Nanging, Agung terus mlumpat kanthi lincah",claude,su
Food,Nanik ora tahan karo rasa pedes rujak cingur.,Nanik seneng banget karo rasa rujak cingur.,Nanik seneng banget karo rujak cingur,Rujak cingur iku panganan tradisional saka Surabaya,Nanik pengin ngicipi rujak cingur asli saka Surabaya,Dheweke lunga menyang warung rujak cingur sing terkenal,claude,su
