topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4,generated_by,language
Fisheries and Trade,Pak Tono entuk hormat saka warga desa amarga kejujuran lan kerapian iwake.,Pak Tono ora tau ngedol iwak maneh amarga ora laku.,Pak Tono yaiku petani iwak ing desa,"Saben dina, dheweke mriksa kolam iwak kanggo mesthekake kesehatan iwak",Warga desa seneng tuku iwak saka Pak Tono amarga iwake seger,Pak Tono tansah ngedol iwak ing pasar desa saben minggu,claude,su
Wedding,"Sawise siraman rampung, Tini dirasa luwih tenang lan siap kanggo pesta nikah.","Sawise siraman rampung, Tini langsung ganti busana lan mangkat menyang pesta.",Keluarga Tini sibuk nyiapake acara siraman,Siraman minangka ritual penting ing budaya Javanese sadurunge pesta nikah,Tini nganggo pakaian tradisional lan dihiasi kembang melati,Ibu lan sedulur-sedulure ngerawuhi upacara iki,claude,su
Socio-religious aspect of life,Ani dadi contoh kanggo generasi muda.,Ani ora pengen melu acara desa maneh.,Ani seneng banget karo budaya gotong royong,Ani ajeg melu acara bersih desa,Ani ngajak kancane kanggo melu bersih desa,Ani rumangsa bangga bisa mbantu desane,claude,su
Socio-religious aspect of life,Ratna dadi ahli nembang macapat lan sering tampil ing acara adat.,Ratna ora ngerti carane nembang macapat.,Ratna sinau nembang macapat saka simbah,Macapat iku salah sawijining bentuk puisi tradisional Jawa,Ratna seneng nembang lan nguri-uri kabudayan Jawa,Simbah mbantu Ratna ngerti makna saben tembang,claude,su
Pregnancy and Kids,Dewi lan keluargane ngalami upacara mitoni kanthi lancar.,Dewi ora nindakake upacara mitoni amarga ora percaya adat.,Dewi lagi ngandhut telung wulan,"Miturut adat Jawa, Dewi kudu nindakake upacara mitoni",Mitoni iku upacara adat sing ditindakake ing wulan kapitu kehamilan,Dewi lan keluargane lagi nyiapake upacara mitoni,claude,su
Agriculture,Warga desa lali nindakake upacara lan panene gagal.,Warga desa seneng amarga panene akeh lan upacara lancar.,"Sakdurunge panen padi, warga desa nindakake upacara sedhekah bumi",Upacara iki minangka rasa syukur marang Gusti Allah kanggo bumi lan panen sing apik,Warga desa padha kumpul lan nyawisake panganan tradisional,Upacara iki uga kanggo njaga harmoni ing desa,claude,su
Death,Bu Tini ngatur acara tahlilan saben malam nganti pitung dina.,Bu Tini langsung ngunci omahe lan ora nindakake kenduren.,"Sakwise pemakaman, warga desa nglumpuk ing omahe Bu Tini",Kabeh padha nyumbang panganan kanggo kenduren,Bu Tini lan keluargane nyiapake sesajen kanggo arwah sing tilar donya,Kenduren iki minangka wujud rasa syukur lan doa kanggo arwah,claude,su
Socio-religious aspect of life,Darto ngerti yen slametan nggawe urip luwih harmonis.,Darto ora seneng slametan amarga repot.,Darto lan kanca-kancane kerep ngadani slametan,Slametan kuwi bagéan saka tradisi kampungé,Wong-wong padha nggawa panganan lan doa bebarengan,Wong kampung seneng slametan amarga bisa njaga kerukunan,claude,su
Agriculture,Panen pari Pak Bambang tansah melimpah saben taun.,Pak Bambang ora tau sukses ing tandur pari.,Pak Bambang minangka petani sing sukses ing desane,Saben taun dheweke tansah ngadani upacara wiwitan sadurunge nandur pari,Upacara iki minangka wujud rasa syukur marang Gusti,Wong-wong desa padha melu lan mbantu Pak Bambang,claude,su
Wedding,Upacara midodareni rampung kanthi lancar lan khidmat.,Wong tuwa Sari lan Bimo ora setuju nindakake upacara midodareni.,Sari lan Bimo lagi nindakake upacara adat midodareni,Midodareni iku tradisi kanggo nyiapake manten,Wong tuwa Sari lan Bimo nindakake upacara iki kanthi serius,Wong-wong padha ngumpul lan ngarepake berkah,claude,su
Pregnancy and Kids,Anak Bapak Adi bisa mlaku kanthi lancar lan sehat.,Anak Bapak Adi ora seneng karo upacara iki.,"Nalika bayi wiwit bisa mlaku, ana tradisi wiwitan",Bapak Adi nyiapake acara wiwitan kanggo anak pertamane,Upacara iki kanggo berdoa supaya anak bisa mlaku kanthi lancar,Wong-wong padha teka kanggo merayakane,claude,su
Socio-religious aspect of life,Pak Tono rumangsa luwih tenang lan spiritual sawise adus kembang.,Pak Tono ora percaya karo tradisi adus kembang.,Pak Tono kerep adus kembang ing wektu-waktu tartamtu,Adus kembang iku dilakoni kanggo njaga kesucian lan spiritualitas,Pak Tono percaya yen kembang-kembang kasebut duwe daya spiritual sing dhuwur,Prosesi iki wis dadi tradisi turun-temurun keluargane,claude,su
Religious Holiday,Nyadran iki minangka wujud rasa syukur marang sing Maha Kuasa.,Acara iki mung kanggo dolanan bocah-bocah.,Wargo desa padha kumpul ing balai desa kanggo nyadran,"Saben sasi Ruwah, wong-wong padha nyekar lan nganakake slametan",Pak Tani nyiapake sega tumpeng kanggo acara iki,Bocah-bocah padha nyanyi bareng-bareng,claude,su
Agriculture,Wulan lan bapake ora menehi sesaji lan kacange ora subur.,Wulan lan bapake nandur kacang lan panene akeh.,Wulan lan bapake nandur kacang tanah ing ladang,Kacang tanah dadi bahan panganan penting kanggo keluargane,"Sakdurunge nandur, bapake tansah menehi sesaji cilik kanggo leluhur",Sesaji iki minangka wujud rasa hormat lan syukur,claude,su
Art,Anjar tampil kanthi apik lan diakoni kabeh wong.,Anjar ora melu tampil amarga wedi.,Anjar sinau maca puisi Jawa,Dheweke arep tampil ing acara sekolah,Anjar wedi yen dheweke bakal lali teks puisine,Anjar latihan terus-terusan saben dina,claude,su
Pregnancy and Kids,Upacara Mitoni iki penting kanggo kulawarga Javanese.,Bayine Siti lair ing dina kasebut.,"Dina iki, Siti lan bojone nindakake upacara Mitoni kanggo ngurmati bayi sing isih ana ing kandhungan",Kulawargane padha teka kanggo ndongakake bayi lan Siti,Ana macem-macem sesaji lan doa-doa sing dipanjatake,Siti lan bojone rumangsa tentrem lan berkah,claude,su
Agriculture,Panen jagung lan kacang sukses lan kabeh seneng karo keberanian Bapak Agus.,Tandurane Bapak Agus gagal lan dheweke kapok nyoba tanduran anyar maneh.,Bapak Agus nandur jagung lan kacang ing tegalane,"Biyen, dheweke tansah nandur pari, nanging taun iki nyoba tanduran anyar",Tetangga-tetanggane penasaran karo hasil panen anyar iki,Bapak Agus yakin yen tandurane bakal sukses,claude,su
Religious Holiday,Misa Natal dadi momen sing paling ditunggu-tunggu dening kabeh warga.,Misa Natal ora ana sing teka lan gagal.,"Sadurunge Natal, warga desa Kristen ing Jawa nganakake tradhisi mangkat gereja",Wong-wong padha nyiapake pohon Natal lan dekorasi,Bocah-bocah padha latihan paduan suara kanggo misa Natal,Wong tuwa padha nyiapake hadiah kanggo bocah-bocah,claude,su
Socio-religious aspect of life,Bocah-bocah desa dadi ngerti lan tresna marang budaya Jawa.,Mbah Karto mung cerito yen ana acara resmi desa.,Mbah Karto seneng ngandhani bocah-bocah desa babagan legenda-legenda Jawa,Legenda iki minangka piwulang moral lan sejarah,Bocah-bocah padha seneng ngrungokake cerita Mbah Karto,Cerita-cerita iki dadi hiburan lan piwulang,claude,su
Pregnancy and Kids,Ruwatan biasane dianakake kanthi ngundang dalang kanggo mimpin upacara.,Ruwatan dianakake kanggo nyuwun rezeki lan kasugihan.,Dina iku Dina lan keluargane lagi nindakake upacara ruwatan kanggo anak-anake,Ruwatan iku tradisi Jawa kanggo ngusir nasib ala lan njaga anak saka mara bahaya,Upacara iki diiringi doa-doa lan sesaji,Dina lan keluargane yakin yen upacara iki bakal nglindhungi anak-anake saka kabeh mara bahaya,claude,su
Fisheries and Trade,Nelayan enom ing desa padha sinau lan niru tradisi iki.,Nelayan enom ora peduli lan tetep mbuwang sampah ing laut.,Bapak Suto duwe kapal nelayan sing biasa digunakake kanggo melaut,"Saben bali saka laut, dheweke ora mung nggawa iwak nanging uga ngumpulake sampah laut kanggo dijaga lingkungan",Penduduk desa padha ngajeni usahane iki,Tradisi kebersihan lan gotong royong iki ditularake marang para nelayan enom,claude,su
Socio-religious aspect of life,Masyarakat desa uga aktif melu ing acara sesaji kanggo nguri-uri tradisi.,Darto wis suwe ora nindakake sesaji maneh amarga ora ana sing percaya.,Darto kerep nindakake sesaji ing punden desa,Sesaji iki kanggo njaga harmoni karo alam lan leluhur,Darto percaya yen sesaji bisa menehi berkah lan perlindungan,Punden iku dadi panggonan suci sing dijaga,claude,su
Wedding,Sinta dadi ayu lan marem sawise upacara.,Wong tuwa Budi ora melu upacara siraman.,Sinta lan Budi melu upacara siraman sadurunge nikah,Wong tuwa Sinta mimpin upacara kanthi khidmat,Wong tuwa Budi uga rawuh lan njaluk berkah,Upacara siraman ditindakake kanthi tradisi Jawa,claude,su
