sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending,language
Rani ndelok arloji ing mall,Rani kepengin duwe jam tangan,Dhuwit sing digawa Rani ora cukup kanggo tuku jam tangan,Rani nggawa mulih jam tangan impene,Rani dituku jam tangan kancane,Rani ora menyang mall,jv
Ditya kudu ngalokasi wektune kanthi becik,Ditya duwe masalah karo manajemen wektu,Ditya kerep ngrasa kewalahan anggone nindakake pagaweane,Ditya kakehan tugas ing bidang non-akademik,Ditya kudu enggal ngrampungake kabeh tugas sing saiki,Ditya ora perduli karo tugas sing diduweni,jv
Kucing ing SMA Harapan pancen nggumunake,Ana loro kucing diwasa lan papat anak kucing,Siswa ing sekolah iki kerep dolanan kucing iki,Kucing nem iku diopeni dening penjaga sekolah,Kucing sing sehat lan resik amarga diopeni kanthi apik,Penjaga sekolah kepengin ternak kucing,jv
"Dina Minggu, aku menyang taman wisata",Ing kana aku nitih tunggangan akeh,"Akeh banget, aku ora duwe wektu kanggo menek kabeh",Aku isih penasaran karo kabeh,Aku bakal bali menyang taman maneh,Taman wisata sing daktuju wis sithik banget,jv
Visya nguripake AC ing kamare,Visya mung bisa turu yen suhu kamare cocok,Visya bakal kringet yen suhu ing kamare panas banget,Visya bakal krasa ndredheg yen hawane adhem banget,Visya kudu nyetel AC ing kamare supaya suhune pas,Visya mung nduwe kipas angin ning kamare,jv
"Ing pungkasan sasi, warga RT 1 wajib melu pengabdian marang masyarakat",Saben kulawarga ngirim paling ora siji wakil,Pengabdian masyarakat dilaksanakake wiwit jam 8 esuk,Saben warga padha resik-resik talang ing dhaerah omahe dhewe-dhewe,Sampah saka saluran pembuangan bakal dibuwang dening petugas kebersihan RT,Biasane akeh tikus ing selokan,jv
Prasti lagi preinan ing pantai karo kulawargane,Prasti lagi dolanan banyu segara,Prasti ing pinggir segara karo kangmase,Obahe ombak segara wektu iku gedhe banget,Prasti digawa ombak menyang tengah segara,Prasti lagi turu ing kamare,jv
Aku bakal tuwa sesuk.,Aku ora sabar ngenteni dina kanggo ngganti.,Aku arep nggawe kue kanggo Ibu lan Bapak.,Iki wis dadi tradisi ing kulawargaku.,"Yen ana wong sing ulang tahun, wong kasebut bakal menehi apa-apa.","Yen ana wong sing ulang tahun, wong kasebut kudu metu saka omah.",jv
Alyssa iku bocah wadon sing urip prasaja,Rafash iku anak saka aktris lan aktor misuwur,Alyssa minangka sepupu biologis Rafash ing sisih bapake,Alyssa kerep teka ing omahe Rafash kanggo nindakake tugas bareng,Nasib finansial Alyssa lan Rafash ora padha,Alyssa manggon ing omahe Rafash,jv
Tim saka Universitas Harapan kesel banget,Dheweke wis ngenteni rong jam ing papan iki,"Mesthine, dheweke nampilake kompetisi riset ilmiah pungkasan",Nanging panitia durung siyap lan ujug-ujug presentasi diundur,Dheweke kuciwa karo sikap panitia sing ora profesional,Dheweke njaluk ganti rugi marang panitia,jv
Dyah ngimpi dadi guru.,"Wiwit cilik yen ditakoni apa cita-citane, dheweke mesthi mangsuli yen kepengin dadi guru.","Wiwit SD, SMP lan SMA, cita-citane Dyah ora owah.","Sawise lulus SMA, Dyah nglamar jurusan Pendidikan Guru SD ing PTN lan ditampa.",Dyah rumangsa seneng bisa nerusake sinau ing bidang sing cocog karo cita-citane.,Dyah rumangsa kepeksa nerusake pendidikane ing jurusan pendhidhikan.,jv
Zeri pancen sengit marang nyamuk,Nyamuk njalari Zeri dirawat ing rumah sakit,Zeri tansah mateni nyamuk ing sacedhake,Ana nyamuk ndharat ing sikile Zeri,Zeri langsung nabrak nyamuk,Zeri marengake lemut-lemut mau,jv
Liburan iki SMP Harapan prei menyang Bali,Dheweke budhal numpak bis lan prau,Kadhang-kadhang padha mandheg kanggo ngaso lan mangan,"Sawise telung dina, akhire tekan Bali","Sanadyan l&#xEA;lampahan san&#xE8;s-san&#xE8;sipun, bot&#xEA;n sag&#xEA;d sum&#xEA;r&#xEA;p dhat&#xEA;ng ingkang dipun tuju",Sawise foto-foto banjur langsung mulih,jv
"&#x201C;Babe, aku arep sambat,&#x201D; jare Yola karo nangis.","Ora ana wangsulan, mung meneng.","""Jebule bener, dadi wong diwasa iku angel,"" Yola sambat maneh.","&#x201C;Wes wenehi saran, mas..&#x201D; Yola ngeluh nganti kaping sepuluh, nanging tetep ora ana wangsulan.","Yola ngusapi eluhe, banjur ngumbah nisane ibune nganggo banyu sing digawa.",Ladinge nyemplung ing wetenge nganti ora bisa ambegan maneh.,jv
Sore iku Tiara lan Naya lungguh ing warung kanggo nenangake pikirane sedhela.,"""Apa aku lara mental?"" ujare Tiara dumadakan.","""Heh? Ana apa kowe?"" Naya takon maneh marang kancane.","&#x201C;Ora ngerti, aku tansah sumelang ndeleng prestasine wong,&#x201D; wangsulane Tiara maneh sing sansaya kesel.","""Iku normal, mbok menawa sampeyan butuh wektu. Nyingkiri media sosial saiki minangka langkah sing apik,"" Naya mesem, ambegan.","&#x201C;Mbak, kowe arep ngombe apa?&#x201D; kandhane salah sijine bature dumadakan.",jv
Sarung bantale Yana mbengi tumpah kopi.,Dheweke nindakake PR ing meja sinau ing jejere amben karo ngombe kopi.,"Bareng wis wengi, Yana sing ngantuk ora sengaja nggetak cangkir kopi ing meja menyang kasur.",Sisan kopi turah ing sarung bantal putih.,Saiki Yana lagi nyemplungake sarung bantale nganggo pemutih sinambi ngeringi bantale sing wis dadi coklat.,Saiki Yana lagi adus kanggo nenangake pikirane.,jv
Wiharna mulang Basa Jawa ing sekolahane,Wiharna minangka lulusan sastra Jepang,Wiharna mulang Basa Jawa kanthi cara sing nyenengake,Murid-muride Wiharna seneng diwulang dening dheweke,Wiharna bisa mulang kanthi becik,Wiharna mulang mata pelajaran biologi,jv
Tanah kosong ing kutha ora dijaga,Sing duwe tanah ora perduli karo eksistensine,Hazel tuku lemah kosong,Hazel mbangun warung kopi,Hazel ngowahi ruang kosong dadi warung kopi,Hazel ora duwe dhuwit kanggo tuku panganan,jv
Kucinge Tania seneng banget dolanan ing njaba omah,"Sawise sarapan, kucing bakal mlaku-mlaku ing njaba omah",Dheweke bakal bali menyang omah nalika nedha bengi,Tanggane kandha yen kucinge Tania kerep dolanan karo kucing komplek,Biasane dolan nang warung-warung dodol ayam goreng,Kucing iku mamalia,jv
Tania melu les cedhak omahe,Tania enggal ngadhepi ujian akhir,Tania nampa modul sinau saka pusat bimbingan,Tania sinau banget,Tania nyinaoni modul-modul sinau sing dipikolehi saka papan les,Tania ora ngerti arep sinau saka ngendi,jv
Keara mbukak lawang kursi penumpang.,Keara enggal-enggal mlebu taksi.,Pasamuan piano adhin&#xE9; Haris dianakak&#xE9; sak jam.,Perjalanan saka omahe menyang papan resital butuh sejam yen ora macet.,Keara mugo-mugo dalan sing arep dilewati lancar ben bisa tekan sakdurunge pengajian piano Haris diwiwiti.,Keara ngarep-arep supaya bisa cepet bali menyang omahe Haris.,jv
Izumi kepengin dadi panulis,Izumi kerep latihan nulis,"Izumi wis nulis artikel, puisi lan crita cekak",Izumi wis sawetara buku diterbitake,Izumi ngimpi dadi penulis terkenal,Izumi ora seneng karo donyane nulis,jv
Bella ora ngrumangsani yen lantai omahe lagi wae dipel.,Bella arep njupuk dhuwit kanggo mbayar ojek sing ditumpaki.,Bella mlebu omah setengah mlayu.,Bella uga kepleset amarga jogane lunyu.,Bella sambat banter nganti sopir ojek ing ngarep omah noleh kaget.,Bella nggrundel banter amarga ditabrak.,jv
Jokowi menang pemilihan presiden Indonesia,Keluargane Jokowi uga seneng,Ora lali karo partai PDIP lan koalisi,Peresmian bakal ditindakake ing pungkasan wulan iki,"Mula, SBY minangka presiden saiki wis metu saka kraton",Jokowi pancen presiden sing hebat,jv
Rana ketemu penipu,Rana ilang HP lan dhuwite,Rana lapor menyang polisi,Polisi nangkep penipu sing ngapusi Rana,Rana entuk HP lan dhuwite,Rana tuku HP anyar,jv
Uripe Anjas pancen susah,"Wiwit cilik, dheweke wis ditinggal wong tuwane",Dheweke manggon ing omahe bulike,"Sayange, sedulure Anjas ora seneng karo dheweke",Anjas kerep dibully dening sedulure,Anjas kerep ngguyu karo sedulur-sedulure,jv
