sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending
Rani ndelok jam tangan ing pasar Tradisional,Rani kepengin duwe jam tangan batik,Dhuwit sing digawa Rani ora cukup kanggo tuku jam tangan batik,Rani nggawa mulih jam tangan impene,Rani dituku jam tangan batik kancane,Rani ora menyang pasar Tradisional
Ditya kudu ngalokasi wektune kanthi becik kaya neng njaga sawah,Ditya duwe masalah karo manajemen wektu kaya neng ngatur wayah nandur,Ditya kerep ngrasa kewalahan anggone nindakake pagaweane kaya neng mesti ngurus kebun,Ditya kakehan tugas ing bidang non-akademik kaya neng ngatur pawai desa,Ditya kudu enggal ngrampungake kabeh tugas sing saiki supaya bisa ngaji malam,"Ditya ora perduli karo tugas sing diduweni, mesti nonton wayang kulit"
Kucing ing SMA Mangkunegaran pancen nggumunake,Ana loro kucing jemparing lan papat anak kucing,Siswa ing sekolah iki kerep dolanan kucing iki ing kebon sekolah,"Kucing nem iki diopeni dening penjaga sekolah, Pak Lurah",Kucing sing sehat lan resik amarga diopeni kanthi apik kaya kucing ing kraton,Penjaga sekolah kepengin ternak kucing kanggo dadi peserta Grebeg Suro
"Dina Minggu, kulo menyang karaton",Ing kana kulo njangkungi taman sari,"Akeh banget, kulo ora duwe wektu kanggo njangkungi kabeh",Kulo isih penasaran karo kabeh,Kulo bakal bali menyang karaton maneh,Karaton sing daktuju wis sithik banget
Visya nguripake krakak ing pawon,Visya mung bisa nedha yen rasa krakake cocok,Visya bakal kringet yen krakake panas banget,Visya bakal krasa ndredheg yen krakake adhem banget,Visya kudu nyetel kompor krakak ing pawon supaya rasane pas,Visya mung nduwe blarak ning pawon
"Ing pungkasan sasi, warga RT 1 wajib melu kerja bakti marang désa",Saben kulawarga ngirim paling ora siji anggota kulawarga,"Kerja bakti désa dilaksanakake wiwit jam 6 esuk, pas wayah subuh",Saben warga padha resik-resik liran ing dhaerah omahe dhewe-dhewe,Bakal aya panyuwunan menehi sesajen marang leluhur désa,Biasane akeh bandeng teparo ing kali
Prasti lagi mudik lebaran karo kulawargane,Prasti lagi ngumbah banyu kanggo siraman,Prasti ing pasar tradisional karo kangmase,Akeh wong kang pada nganggo beskap wektu iku,Prasti ketemu lawuhe kang ilang wayah isih cilik,Prasti lagi njagong ing warung gudeg
Aku bakal tuwa sesuk kaya wayang kulit.,Aku ora sabar ngenteni dina Selasa Kliwon kanggo ngganti.,Aku arep nggawe kue lapis kanggo Ibu lan Bapak.,Iki wis dadi tradisi ing kulawargaku nalika Idul Fitri.,"Yen ana wong sing ulang tahun, wong kasebut bakal menehi sirih lan dupa.","Yen ana wong sing ulang tahun, wong kasebut kudu metu saka omah lan lumaku mlenging nggumun."
Alyssa iku putri saka kulawarga bangsawan Jawa,Rafash iku putra saka dalang lan penari wayang wong misuwur,"Alyssa minangka sepupu biologis Rafash ing sisih bapake, keturunan raja-raja Jawa","Alyssa kerep teka ing omahe Rafash kanggo nindakake tugas bareng, seperti melukis batik","Nasib kemakmuran Alyssa lan Rafash ora padha, amarga perbedaan status sosial",Alyssa manggon ing omahe Rafash ing kraton Yogyakarta
Tim saka Universitas Gadjah Mada apik banget,Mereka wis ngenteni rong jam ing pendopo iki,"Kabeh, dheweke nampilake kompetisi riset ilmiah pungkasan","Nanging panitia durung siyap lan ujug-ujug presentasi diundur, kaya wong ora duwe tanggung jawab","Dheweke kuciwa karo sikap panitia sing ora profesional, kaya wong ora ngerti etika","Dheweke njaluk ganti rugi marang panitia, nanging panitia nolak"
Dyah ngimpi dadi guru.,"Wiwit cilik yen ditakoni apa cita-citane, dheweke mesthi mangsuli yen kepengin dadi guru kang bisa nganturake ilmu ing désa.","Wiwit SD, SMP lan SMA, cita-citane Dyah ora owah, terus waé kepengin dadi guru kang bisa nulungi para warga désa sing kurang mampu.","Sawise lulus SMA, Dyah nglamar jurusan Pendidikan Guru SD ing Universitas Gadjah Mada lan ditampa.","Dyah rumangsa seneng bisa nerusake sinau ing bidang sing cocog karo cita-citane, lan kepengin bali ing désa asalé kanggo nulungi para warga.","Dyah rumangsa kepeksa nerusake pendidikane ing jurusan pendhidhikan lan ngluluake pekerjaane ing kota, nanging ora pernah ngedum nganturake ilmu ing désa."
Zeri pancen sengit marang kodhok,Kodhok njalari Zeri dirawat ing omah sakit,Zeri tansah mateni kodhok ing sacedhake,Ana kodhok ndharat ing sikile Zeri,Zeri langsung nabrak kodhok,Zeri marengake lemut-lemut mau
Liburan iki SMP Harapan prei menyang Yogyakarta,Dheweke budhal numpak kereta lan lelagu,Kadhang-kadhang padha mandheg kanggo ngaso lan mangan gudeg,"Sawise telung dina, akhire tekan Candi Borobudur","Sanadyan l&#xEA;lampahan san&#xE8;s-san&#xE8;sipun, bot&#xEA;n sag&#xEA;d sum&#xEA;r&#xEA;p dhat&#xEA;ng ingkang dipun tuju",Sawise foto-foto banjur langsung mulih menyang Surabaya
"""Mas, aku kersa matur,"" jare Yola karo nangis.","Ora ana wangsulan, mung meneng.","""Jebul bener, dadi wong diwasa iku angel,"" Yola matur maneh.","""Wes wenehi saran, kang..."" Yola ngeluh nganti kaping sepuluh, nanging tetep ora ana wangsulan.","Yola ngusapi eluhe, banjur ngumbah nisane ibune nganggo banyu sing digawa saka sumur.","Ladinge nyemplung ing wetenge nganti ora bisa ambegan maneh, kaya wong sing ilang kasekten."
Sore iku Tiara lan Naya lungguh ing pendopo kanggo njogedake pikirane sedhela.,Apa aku lara ati?,Heh? Ana apa kowe?,"Ora ngerti, aku tansah sumelang ndeleng prestasine wong,","Iku normal, mbok menawa sampeyan butuh wektu. Nyingkiri media sosial saiki minangka langkah sing apik, ","Mbak, kowe arep ngombe apa?"
Batik Yana mbengi tumpah wedang jahe.,Dheweke nindakake PR ing meja sinau ing jejere amben karo ngombe wedang jahe.,"Bareng wis wengi, Yana sing ngantuk ora sengaja nggetak cangkir wedang jahe ing meja menyang kasur.",Sisan wedang jahe turah ing batik putih.,Saiki Yana lagi nyemplungake batike nganggo pemutih sinambi ngeringi bantal sing wis dadi coklat.,Saiki Yana lagi adus kanggo nenangake pikirane.
Wiharna mulang Basa Sunda ing sekolahane,Wiharna minangka lulusan sastra Sunda,Wiharna mulang Basa Sunda kanthi cara anu ngalantaran,Murid-murid Wiharna seneng diwulang ku anjeun,Wiharna bisa mulang kalayan becik,Wiharna mulang mata pelajaran kimia
Lahan kosong ing désa ora diurus,Sing duwé lahan ora peduli karo kaanané,Hazel tuku lemah ing désa,Hazel mbangun warung gudang garam,Hazel ngowahi lemah kosong dadi warung gudang garam,Hazel ora duwé dhuwit kanggo tuku jamu tradhisional
Kucinge Tania seneng banget dolanan ing pekarangan omah,"Sawise sarapan, kucing bakal mlaku-mlaku ing sawah","Dheweke bakal bali menyang omah nalika wengi, sawise nonton wayang kulit",Tanggane kandha yen kucinge Tania kerep dolanan karo kucing ing desa,Biasane dolan nang pasar malam kanggo nedha es teler,Kucing iku ulam
Tania melu les cedhak omahé,Tania enggal ngadhepi ujian akhir ing Sekolahan Tinggi,Tania nampa modul sinau saka guru bimbingané,Tania sinau banget ing griya ,Tania nyinaoni modul-modul sinau sing dipikolehi saka papan les ing griya,"Tania ora ngerti arep sinau saka ngendi, mula bingung"
Keara mbukak lawang gerbang masjid.,Keara enggal-enggal mlebu warung gado-gado.,Pasamuan gamelan adhine Ki Slamet dianakake sak jam.,Perjalanan saka desa menyang panggung pertunjukan butuh sejam yen ora macet.,Keara mugo-mugo dalan sing arep dilewati lancar ben bisa tekan sakdurunge pertunjukan wayang kulit Ki Slamet diwiwiti.,Keara ngarep-arep supaya bisa cepet bali menyang desa Ki Slamet.
Izumi kerso dadi dalang,Izumi kerep latihan main wayang,"Izumi wis maen wayang, gendhing lan tembang",Izumi wis nggawé sawetara karya wayang,Izumi ngimpi dadi dalang kondhang,Izumi ora seneng karo donyane main wayang
Bella wis ngertos yen lantai pendopo lagi wae dibersihke.,Bella arep njupuk dhuwit kanggo mbayar taksi sing ditumpaki.,Bella mlebu griya setengah mlayu.,Bella uga kepleset amarga jogane licin.,Bella sambat banter nganti supir taksi ing ngarep griya noleh kaget.,Bella nggrundel banter amarga ditabrak.
Sultan Hamengku Buwono X menang pemilihan gubernur DIY,Keluargane Sultan uga seneng,Ora lali karo kraton Yogyakarta lan warga DIY,Pelantikan bakal dilaksanakan ing Ngayogyakarta,"Mula, Sri Sultan wis metu saka kraton kanggo ngemban amanah anyar",Sultan pancen gubernur sing agung
Rana ketemu penipu,Rana ilang HP lan dhuwit,Rana lapor menyang satpam kraton,Satpam kraton nangkep penipu sing ngapusi Rana,Rana entuk HP lan dhuwit,Rana tuku HP anyar
Uripe Anjas pancen susah,"Wiwit cilik, dheweke wis ditinggal wong tuwane",Dheweke manggon ing joglo lawas,"Sayange, sedulure Anjas ora seneng karo dheweke",Anjas kerep dibully dening sedulure,Anjas kerep ngguyu karo sedulur-sedulure lan njajal wayang kulit
Elisa nembe tuku kembang jlåmprit,Dheweke kepincut karo kembang sing apik banget kados kembang kang wis dibungkus karo kulit janur,Dheweke tuku rong kembang kanthi warna beda-beda kaya ta' kembang kang ana ing Taman Sari,Siji kembang jlåmprit abang,Kembang jlåmprit putih liyane,Kembang jlåmprit liyane transparan
Kamare Helen lembab banget kaya ing mangsa udan,"Jarang resik-resik kamare, kaya wis ora digunakake","Dheweke uga ora nate mbukak jendela kamar turu, kaya ngantuk terus","Akibaté, ora ana pertukaran udara ing kamar, kaya nglangut","Kahanan kamar Helen ora apik kanggo kesehatan, kaya bakal nandang lara","Saben kamar kudu duwe jendhela kanggo nampa cahya srengenge, kaya ing Griya Tionghoa"
Arlen tuku beskap anyar,Beskap anyare Arlen jebul gedhe banget,Arlen lunga menyang tukang jahit,Arlen takon marang tukang jahit supaya beskapane luwih cilik,Arlen bisa nganggo beskap ukuran pas mengko,Arlen ora tuku beskap anyar
Pawulangan sawise iki yaiku Ilmu Kebudayaan Jawa,Jio ora ana ing swasana ati kanggo sinau carita wayang,"Banjur, dheweke duwe gagasan nakal",Dheweke ndhelikake kabeh tandha ing kelas ngaji,Dheweke duwe pangarep-arep yen wektu kelas bisa digunakake kanggo nggoleki pupuh Jawa,Saben kelas wajib njaga karesikan kelase dhewe-dhewe sambil mbaca Serat Centhini
