sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending
Rani ningali baju batik di Pasar Baru,Rani hayang boga baju batik Sunda,Duit nu dibawa Rani teu cukup keur meuli baju batik,Rani mawa baju batik impianna,Rani dibebekelan baju batik ku ibuna,Rani henteu ka Pasar Baru
"Ditya kudu ngalakukeun pangaturan waktu sareng leuwih éféktif di sawah, lantaran musim panén geus deukeut",Ditya gaduh masalah sareng ngatur waktos ngajar di sekolah adat Karawang,Ditya mindeng ngarasa kabeurangan nalika ngalakonan pagaweanana di pabrik tahu di Bandung,"Ditya seueur teuing tugas sareng kagiatan tradisional di désa, siga upacara Séba Baduy","Ditya kudu geuwat ngaréngsékeun sagala pancén ayeuna, lantaran kudu siap pikeun ngahadapan hari raya Galungan","Ditya henteu paduli kana tugas anu dipiboga, lantaran geus capek ngalongok ngalakonan tradisi Ngabungbang Batu di Garut"
Ucing-ucing di Masjid Agung Bandung pikasebeleun pisan,"Aya dua ucing sawawa sareng opat anak ucing, mirip jeung ucing nu aya di Pasar Baru",Jamaah di masjid ieu mindeng ulin jeung ucing ieu nalika ngajalan ibadah,Ucing genep dipiara ku takmir masjid sareng dibéré makanan has,Ucing-ucingna séhat tur beresih lantaran dipiara ku takmir masjid,Nu ngurus masjid hayang ngabibita ucing pikeun dibeulikeun
"Poé Minggu, kuring indit ka Ciater",Di dinya kuring naek wahana arum jeram,"Aya seueur pisan, kuring henteu acan gaduh waktos naék pangrang",Kuring masih panasaran ngeunaan pangrang nu anyar,Abdi badé uih deui ka Ciater,Taman wisata anu kuring angkat ngagaduhan sakedik perjalanan ka Pangandaran
Visya ngahurungkeun pangwangun di buruan,Visya sanes bisa saré lamun wanci sasih nu cocog,Visya bakal késang lamun wanci pangwangun panas teuing,Visya bakal ngageter lamun wanci pangwangun tiis teuing,Visya kedah ngalaksanakeun upacara adat Seren Taun supados kaayaan urang pas,Visya ukur boga pangwangun nu luhur di buruan
"Dina ahir bulan, warga RT 1 diwajibkeun milu ngaji bareng di surau",Unggal kulawarga ngirimkeun sahenteuna hiji wawakil pikeun ngahadiah bungbuhan,"Pengabdian kepada masyarakat dilaksanakan mulai jam 8 pagi, dibuka maké ibadah",Masing-masing warga ngabersihkeun lopak di hareupeun imahna masing-masing,Sampah nu aya di lopak bakal dipiceun ku petugas beberesih RT,Biasana loba beurit di lopak saatos hujan
Prasti nuju liburan ka Pangandaran sareng kulawargana,Prasti keur ngalangkang cai laut di basisir pangandaran,Prasti di basisir sareng lanceukna sambil ngamurnakeun kuda gadih,"Gerakan ombak laut dina waktos éta kacida gedéna, siga ombak di pantai selatan","Prasti kabawa ombak ka tengah laut, sarta can aya nu ngabantu",Prasti saré di kamarna sambil ngalungkeun sih jukut awi
Kuring bakal leuwih kolot pas nuju panganten Sunda.,Abdi teu tiasa ngantosan dinten nu panggih jeung manten Sunda.,Abdi hoyong ngadamel kueh putu leupeut kanggo Ibu sareng Bapa pas poé ulang taun Sunda.,Ieu geus jadi tradisi di kulawarga kuring pas panganten Sunda.,"Upami aya anu ulang taun, éta bakal masihan sesajén kanggo arwah leluhur.","Upami aya anu ulang taun, éta jalma kedah ngalakukeun tradisi Ngabungbabayaan."
Alyssa nyaéta awéwé anu hirupna sederhana di kampung Ciwidey,Rafash mangrupikeun putra aktris sareng aktor anu kasohor ti Bandung,"Alyssa nyaéta misan biologis Rafash di sisi bapana, turunan dari Karawang","Alyssa sering datang ka imah Rafash pikeun ngerjakeun tugas babarengan, terus ngadon heula di warung kopi tradisional","Nasib finansial Alyssa sareng Rafash henteu sami, sanajan maranéhna sadayana ngabogaan darah Sunda","Alyssa ogé cicing di imah Rafash nu aya di Lembang, papisah ti kota"
Tim ti Universitas Padjadjaran kacida keselna,"Aranjeunna parantos ngantosan di tempat ieu salami dua jam, sambil ngajugang kopi hideung jeung entog","Sakuduna, maranehna present kompetisi panalungtikan ilmiah final, nujuang loba hadiah","Sanaon kitu, panitia teu acan siap sarta presentasi ujug-ujug ditunda, kacida ngagangu rencana maranehna","Maranehna kuciwa ku sikep panitia anu teu profesional, ngan hareudang ngajugang kopi deui",Aranjeunna menta santunan panitia nujuang ngalegkeun kaayaan maranehna
Arya boga cita-cita pikeun jadi juru ngaji.,"Ti cilik kénéh, mun ditanyakeun naon cita-citana, sok dijawab hayang jadi juru ngaji.","Ti SD, SMP jeung SMA, cita-cita Arya teu kungsi robah.","Saprak lulus ti SMA, Arya ngalamar pasantrén jeung ditarima.",Arya ngarasa bagja bisa neruskeun belajar dina widang agama anu luyu jeung cita-citana.,Arya ngarasa kapaksa neruskeun atikanana di pasantrén.
Zeri bener hate reungit di leuwi,Reungit ngabalukarkeun Zeri dirawat di rumah sakit di Bandung,Zeri sok maéhan reungit deukeut imahna di Ciwidey,Reungit nyampak dina suku Zeri waktu ngayakeun upacara adat osokan,Zeri langsung neunggeul reungit maké tangkal heula,Zeri ngantep reungit ngegel pikeun nunggu panggantian
Ngabuburit ieu SMP Sunda Wisata liburan ka Ciwidey,Aranjeunna angkat ku beus sareng naék lori,"Aya kalana, maranéhna eureun istirahat jeung dahar sangu tandil","Sanggeus tilu poé, ahirna nepi ka Kawah Putih","Sanaos perjalananna cape pisan, aranjeunna bagja pisan ahirna dugi ka tempat anu dituju","Sanggeus ménikmati katujuang, maranéhna langsung balik ka imah"
"Babe, abdi hoyong ngawadul,","Taya jawaban, ngan tiiseun.",,"Pasihan abdi nasehat, Kang...","Yola ngusap cimatana, tuluy nyeuseuh batu nisan indungna ku cai nu dibawana.",
"Tiara jeung Naya ngadagoan ka lembur sariwangi, pikeun ngaleutikan pikiran sakedapan di hareupeun gunung Tangkuban Parahu.",Naha abdi kacapé jelema?,Heh? Aya naon?,"Teu terang, sok asa hariwang ningali prestasi jelema, kawas ngingetkeun upacara adat Seren Taun di kampung halang","Éta normal, meureun anjeun peryogi waktos. Ngahindarkeun média sosial ayeuna mangrupikeun léngkah anu saé, kawas nganggo waktos pikeun ngadagoan ka pasar jeung nginum es cincau","Cik, hoyong nganggo naon? Ceuk salah saurang pamong ngadadak, ngalambangkeun kopi jeung gula aren"
Sarung bantal Yana kacemplung ku enten tadi peuting.,Manéhna ngerjakeun PR na di meja study gigireun ranjang na bari nginum bandrek.,"Beurang peuting, Yana nu keur saré ngahaja ngagebruskeun cangkir bandrek dina méja kana ranjang.",Saeutik sésa bandrek ngeclak kana sarung bantal bodas.,Ayeuna Yana ngarendam sarung bantalna ku pemutih bari ngagaringkeun bantal anu tos semu coklat.,Ayeuna Yana keur mandi keur nenangkeun pikiran.
Wiharna ngajar basa Sunda di sakola,Wiharna lulusan sastra Sunda,Wiharna ngajar basa Sunda ku cara anu tradisional,"Murid-murid Wiharna resep diajar ku manéhna ngeunaan carpon, pantun, jeung wawacan",Wiharna bisa ngajar ogé ngeunaan kesenian Sunda,Wiharna ngajar mata pelajaran ékonomi
Lahan kosong di Leuwipanjang henteu dijaga,Nu boga lahan teu paduli kana ayana kagiatan budaya Sunda,Hazel meuli lahan kosong pikeun ngadegkeun panggungWayang Golek,Hazel ngawangun warung kopi nu ngayinkeun sate maranggih,Hazel ngarobah rohangan kosong jadi panggung pikeun ngigelkeun Tari Jaipongan,Hazel teu boga duit keur meuli dahareun pikeun ngadongeng di buruan
Ucing Tania resep pisan ulin ka sawah,"Sanggeus sarapan, ucing bakal leumpang ka pasir Lembur Situ Gede",Anjeunna bakal balik ka imah dina waktu ngabuburit,"Ceuk tatanggana, ucing Tania mindeng ulin jeung ucing nu di imah tetangga di daerah Sunda",Biasana maranéhna ulin ka warung-warung nu ngajualan peuyeum,Ucing téh nu nyumembahan kuéh putu
Tania milu les deukeut imahna di daérah Sunda,Tania enggal nyanghareupan ujian ahir pangajaran Basa Sunda,Tania nampi modul pangajaran ti pusat bimbingan studi Sunda,Tania diajar pisan ngeunaan kabudayaan Sunda,"Tania ngulik modul-modul pangajaran anu dimeunangkeun ti tempat pangajaranana, tuluy ngalanglang keur ngahafal undak-usuk Sunda","Tania henteu terang ti mana diajar, tapi boga semangat pisan pikeun meunangkeun lomba pidato Basa Sunda"
Keara rék ngiring adina ka Upacara Seren Taun di Gunung Padang,Keara buru-buru naek kana angkot,Pengajian Sunda lanceukna Haji Abdul Rosikh dilaksanakeun dina peuting,Perjalanan ti imahna ka Masjid Agung butuh sajam lamun teu macet,"Keara ngarep-ngarep jalan anu bakal dilalui téh lancar, sangkan bisa nepi saméméh pengajian Haji Abdul Rosikh dimimitian",Keara miharep bisa gancang balik ka imah Haji Abdul Rosikh
Asep hayang jadi panglawak Sunda,Asep sering latihan maénan lagu na Sunda,"Asep parantos maénan kecapi sareng suling, sarta ngawih lagu Sunda",Asep geus loba dipikaresep ku masarakat Sunda,Asep ngimpi jadi panglawak Sunda kawentar,Asep teu resep kana dunya kasenian Sunda
Bella teu sadar yén lanté ngalakukeun upacara adat di imahna.,Bella rék nyokot duit keur mayar jasa panghulu nu ngabagikeun paraban.,Bella asup ka imah satengah lumpat sanggeus ngayakeun ngalakukeun sesajén.,Bella ogé lesot lantaran lantaina leueur kembang harendong.,"Bella ngadu’a pisan, tukang kacapi hareupeun imah baralik reuwaseun.",Bella nyerengeh nyerengeh lantaran ditabrak.
Pupuhu Déwan Kabupatén Tasikmalaya meunang Pilkada Jawa Barat,Kulawarga pupuhu déwan ogé bagja,Teu hilap ka Partey Golkar sareng koalisina,Serah terima jabatan bakal dilaksanakeun ahir bulan ieu,"Ku kituna, bupati ayeuna geus ninggalkeun kabupatén Tasikmalaya",Pupuhu déwan meunang terus ngajaga tradisi ngawayangan
Rana nepungan tukang tipu waktu ngajual baju di Pasar Cibaduyut,Rana leungiteun hapé jeung duitna ka tukang tipu anu ngaku-ngaku dagang batik,Rana ngalaporkeun ka polisi setempat di Leuwiliang,Polisi nangkep tukang tipu anu nipu Rana waktu reureuh di alun-alun Sukabumi,"Rana meunangkeun deui handphone jeung duitna, terus dia diajak pulang ke arah Ciawi",Rana meuli HP anyar di toko elektronik di Rancamanyar
Kahirupan Raka memang sedih,"Ti leuleutik, manéhna geus ditinggalkeun ku éyangna",Manéhna cicing di imah embina,"Hanjakal, dulur Raka teu resep pisan ka masakan embina",Raka sering dibully ku dulurna,Raka sering seuri ka dulur-dulurna
Élisa karék meuli tangkal bunga rampé,Anjeunna katarik ku bunga rampé éndah,Anjeunna ngagaleuh dua tangkal kalayan warna bunga rampé anu béda,Hiji tangkal bunga rampé beureum,Lain tangkal bunga rampé konéng,Tangkal bunga rampé anu sanés transparan
"Kamar Héléna beueus pisan, sarupa kamar di imah tradisional Sunda nu ngaranna Imah Kasepuhan","Jarang ngabersihkeun kamarna, siga nu teu acana kana adat Sunda 'Ngubaran'","Anjeunna oge pernah muka jandela pangkeng na, tapi teu lupa muka panggung di luareun imah","Hasilna, teu aya bursa hawa di rohangan, kacuali bursa hawa ti saung nu ngandung angin","Kaayaan kamar Hélén teu hadé pikeun kaséhatan, ku sabab kandungan hawa teu alus","Unggal kamar kudu boga jandela, tapi jandela di imah tradisional Sunda biasana miboga fungsi nu béda"
Arlen meuli baju kaek anyar di Pasar Baru,"Baju anyar Arlen tétéla badag teuing pisan, kudu dijahit deui",Arlen indit ka tukang ngaput di Dago,"Arlen miwarang tukang jahit sangkan bajuna leuwih leutik, nyéép ka ukuran anu pas","Arlen tiasa nganggo baju ukuran anu pas engké, terus bisa datang ka acara sunatan adi jeung nyéép pisan","Arlen teu meuli baju anyar, jadi kudu ngagunakeun baju anu heubeul deui"
"Pangajaran saatos ieu nyaéta Biologi, anu ngajajarkeun urang ngeunaan kahirupan di leuweung Sunda","Jio teu wantun diajar mata pelajaran iki, tapi anjeunna boga rasa panggih jeung kahirupan alam","Lajeng, anjeunna boga gagasan bangor, rék ngajarkan anak-anak ngeunaan pentingna ngajaga alam","Anjeunna nyumputkeun sagala spidol di kelas, rék ngabogaan anak-anak ngajaga kabersihan","Anjeunna miharep yén waktu kelas bakal spent néangan spidol, tuluy ngajaga kabersihan lingkungan","Unggal kelas diwajibkeun ngajaga kabersihan kelasna masing-masing, kawas anjeunna ngajaga kebersihan leuweung Sunda"
Poé ieu Uci ka dokter gigi,Anjeunna ngagaduhan kawat gigi mangtaun-taun pikeun ngabeled huntu nu teu rata,Anjeunna kedah ngagem éta sabab hunteuna nu teu rata diwasa ku alatan ngagigit,"Sanggeus lila maké kawat gigi, ahirna manéhna bisa ngabeled huntu nu lempeng",Huntu Uci ayeuna lempeng jeung rapi,Huntu Uci ngagédéan sanggeus maké kawat gigi
Nina ngajieun karedok keur dahar beurang,"Saatos bumbu asak, anjeunna nempatkeun kacang éndog dina kuah karedok",Kacang éndog anu dipilih anjeunna mangrupikeun kacang éndog anu pangsaéna,"Saméméh dihidangkan, peuyeum hilap dicicipi",Karedok rasana mantap dijantenkeun tuang siang,"Tétéla karedok rasana loba daunna, tuluy dialungkeun, dijieun nu anyar"
Nino reuwas waktu ngabereskeun lomari batik nu geulis,Bagian tukang lomari batik nu geulis ancur ku rinyuh,Sawatara motif batik nu geulis ogé geus didahar ku rinyuh,Nino nyoba nyalametkeun batik-batik anu masih kénéh gembleng,Anjeunna ngaluarkeun lomari batik pikeun ngaleungitkeun rayap,Batik nu didahar ku rinyuh hargana luhur
Barudak jadi harepan bangsa,Poé ulang taun barudak kudu bisa méré kontribusi ka bangsa,Poé nyoba méré nu panghadéna pikeun bangsana,Poé hayang ngabanggakeun bangsa,Poé nyieun prestasi sangkan bangsana reueus ka jalan nu bening,"Poé teu paduli kana nasib rahayatna, nu pangpentingna mah ngaleuwihan ulang taun"
Yola hoyong jadi juru dulang anu beunghar,Manéhna hayang jadi panutan pikeun lanceuk-lanceukna di daérah Banten Kidul,Anjeunna ogé hoyong lanceukna tiasa angkat ka tingkat pendidikan anu paling luhur di Universitas Padjadjaran,"Pikeun ngahontal ieu, Yola salawasna rajin diajar basa Sunda sareng sastra Sunda","Teu kungsi sakali-kali manéhna ngaléos, terus ngajaga adat istiadat urang Sunda","Pikeun jadi jalma suksés teu merlukeun usaha, ari kamaklumat jeung ngagantung kana nasib"
"Sajeroning kajadian, Acha bade ngalungkeun di gunung Tangkuban Perahu.",Acha sieun pisan ningali Usam maling nginum cai kuah jagong.,"Hal ieu ngajadikeun Acha beuki tiiseun, teu wani ngomong nanaon ngeunaan resep dodol garut.","Tapi ningali Arta ngagowo batik, Acha mimiti goyah.",Acha ngayakinkeun dirina pikeun jujur ka babaturan di kelas ngeunaan rasa kacang bereum.,Acha ngayakinkeun diri rék indit ka imah Arta pikeun ngahaleuang.
Maharani resep pisan sate maranggi,Maharani sok masak kadaharanana ku sate maranggi,Maharani rék nyieun sate maranggi,Maharani nambahkeun kacang kana sate maranggi na,Maharani nyieun sate maranggi nu lemak,Maharani teu bisa masak sate maranggi
"Putra kudu geuwat sumping ka kantorna, sabab Putra moal hayang teu tepat waktu ka acara pernikahan di imah bapa di Ciwidey","Jalan gede anu biasana dijalanan Putra macet pisan, utamana nalika poe Senén atawa poé Jumaah",Putra nyobian nyandak potong kompas pikeun ngarahkeun diri sangkan teu sesat di jalan,"Putra junun dugi ka kantorna tepat waktu, terutama nalika ari ngabukukeun saprotokol kantor anyar di Bandung","Putra teu telat ka kantor, komo geus ngalangkongan ti peuting buta","Putra macét dina jalan raya, sabab ngalangkongan kacilakaan anu parna di daerah Cimindi"
Elias pernah digawé minangka béjas kawih di karawitan,Elias ngalungkeun kawih ka pakarangan lembur di Ciroyom,"Elias digawé ti isuk nepi ka peuting, ngiringi tabuhan di dayeuh","Elias indit ka pesantren soré, diajar ngaléro dina kasenian Sunda",Elias tiasa ngabagi waktosna antara padamelan sareng ngajaga adat Sunda,Elias teu teras ngagagas tradisi urang Sunda
