topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Food,Neng Iteung tiasa ngadamel opak anu ngeunah sareng loba anu resep,Neng Iteung gagal ngadamel opak sareng teu aya anu dahar opakanana,Neng Iteung nuju ngadamel opak di dapur,"Anjeunna ngangge bahan-bahan anu basajan sapertos sangrai, kalapa, uyah, sareng gula beureum",Neng Iteung kedah ngadamel sababaraha ratus opak kanggo acara di désa,Anjeunna ngadamel opak dumasar kana résép anu diturunkeun ku nini-ninina
Food,Mang Asep tiasa ngajual buah naga sareng pikahartaeun,Mang Asep teu resep deui kana buah naga,Mang Asep gaduh karesep ngadahar buah naga,Mang Asep ngical sababaraha tangkal buah naga di buruan imahna,Unggal dinten anjeunna miara pepelakan buah nagana kalayan saé,Ayeuna pepelakan buah naga Mang Asep parantos loba buahna
Food,Kulawarga Neng Siti resep pisan kana sayur asem anu didamelna,Neng Siti teu tiasa ngadamel sayur asem sareng kulawargana teu resep,Neng Siti nuju nyandak leupeut kanggo ngadamel sayur asem,"Anjeunna milari bahan-bahan sapertos kacang panjang, waluh, jagong, sareng sampeu",Neng Siti hoyong ngadamel sayur asem anu ngeunah kanggo kulawargana,Anjeunna ngangge bumbu anu sampurna supados raosna pas
Food,Usaha cilok Kang Udi beuki maju sareng seueur anu mesen,Kang Udi ngarobih usaha cilokna margi teu aya anu ngadahar,Kang Udi gaduh usaha ngajual cilok di payun sakola,Anjeunna masak cilok kalayan bahan anu sehat sareng higienis,Kang Udi masak cilok unggal enjing-enjing pisan,Barudak sakola resep pisan ngadahar cilok Kang Udi
Food,Kulawargana bungah nampi oleh-oleh ti Déwi,Déwi ngadahar sakabéh bolu susu jeung pisang bollen sorangan,Déwi rék meuli oleh-oleh khas Bandung,Manéhna mampir ka toko Kartika Sari,Déwi meuli bolu susu jeung pisang bollen,"Sabada meuli loba, Déwi mulih deui ka Jakarta"
Food,Ema ngadamel sayur asem nu ngeunah,Ema ngaganti rencana ngadamel sop ayam,Ema Adi nuju ngadamel sayur asem,Ema nitah Adi meuli bahan-bahan sayur asem ka pasar,"Adi meuli kacang panjang, labu siam, jeung daun melinjo",Adi ogé teu hilap meuli kacang tanah
Food,Opak nu didamel ku Jang Kodir ngeunah tur garing,Jang Kodir gagal ngadamel opak kusabab hawuna teu hurung,Hari ieu Jang Kodir badé ngadamel opak,"Jang Kodir nyiapkeun parupuyan, hawu, jeung bahan-bahan opak",Bahan utamana nyaéta sangrai jeung tipung beas,Jang Kodir ngawuluku tipung jeung cai nepi ka ngagumpal
Food,Kabiasaan dahar sakulawarga séhat tur ngajaga tradisi,Kulawarga Mang Asép jadi gering kusabab teu dahar dumasar waktu,Keluarga Mang Asép boga kabiasaan ngadahar dumasar waktu,Isuk-isuk sakulawarga ngadahar sangu timbel jeung lauk péncok,Siang waktuna dahar beas meunang ngejo jeung lalapan,Peuting ngadahar sangu angeun jeung lauk emas
Food,Neng Iteung ngadahar mangga bari dicocolan kana sambel trasi,Neng Iteung ngical sakabéh buah mangga nu geus dibeulina,Neng Iteung meuli buah mangga gedong gincu,Manéhna meuli sapuluh kilo keur kulawargana,Neng Iteung resep pisan kana mangga gedong gincu,Amis tur seger buahna ngajakan karep dahar
Food,Neng Imas ngajaga tradisi kulawargana dina ngadamel opak,Neng Imas ngadamel opak pikeun dijual ka pasar,Neng Imas nuju ngadamel opak di pawon,Anjeunna ngangge wajan anu tos turun-tumurun ti nini buyutna,Neng Imas ngadamel opak dumasar kana resep kulawargana,Opak anu kadamel ku Neng Imas kacida ngeunah sareng seungit
Food,Mang Asep ngajagi kabiasaan ngopi di masarakat desana,Mang Asep henteu resep ngopi sareng bade ngalirkeun kabiasaan ngopina,Mang Asep gaduh kabiasaan nginum kopi ti leutik keneh,Unggal enjing anjeunna sok ngopi heula sateuacan mios ka kebon,Mang Asep oge sok nraktir tatangga anu liwat payuneun imahna ku kopi racikanana,Mang Asep dipikawanoh minangka kuncen kopi di desana
Food,Neng Siti hoyong ngajagi kacintaan kana bubuahan lokal,Neng Siti mésér bubuahan impor anu langkung mirah,Neng Siti nuju milarian bubuahan lokal di pasar,"Anjeunna mendakan rambutan, mangga, sareng durian anu kacida seungit",Neng Siti mésér sababaraha kilo bubuahan pikeun kulawargana,Neng Siti resep pisan kana bubuahan lokal
Food,Mang Udin hoyong putrana ngagaduhan tatakrama anu sae,Mang Udin nganggap dahar ngangge panangan henteu higenis,Mang Udin gaduh kabiasaan dahar ngangge sendok sareng garpu,Anjeunna teu resep dahar langsung ngangge panangan,Mang Udin rumaos langkung sopan upami ngangge sendok sareng garpu,Mang Udin oge ngawulang putra-putrina supados ngangge cutlery nalika dahar
Food,Neng Rani hoyong masihan kabagjaan keur kulawargana,Neng Rani mésér kadaharan éta kusabab mirah hargana,Neng Rani nuju nyandak oleh-oleh pikeun kulawargana di desa,"Anjeunna mésér dodol, wajit, sareng rangginang ti kota",Neng Rani terang yen kulawargana resep pisan kana rupa-rupa kadaharan éta,Neng Rani bungah nalika nempo kulawargana bungah nampi oleh-oleh ti anjeunna
Food,Kulawargana ngarasa senang nampi oleh-oleh ti Rina.,Kulawargana ngarasa kuciwa kusabab kue sareng opakna geus bau.,Rina ngangkat kue sareng opak keur oleh-oleh ti Garut,Manéhna meser di toko anu geus apal,Kue sareng opakna dibungkus rapi ku dus khusus,Rina ngarasa senang tiasa masihan oleh-oleh ka kulawargana di Bandung
