topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Food,"Asep hayang ngabéjaan temen-temenna ngeunaan ""Kue Putu"" nu éndah.","Lili henteu ngadahar ""Bubur Ayam"" éta.","Lili ancrub kana ""Bubur Ayam"" nu aya di warung makan","Lili rék ngadahar ""Bubur Ayam"" nu éndah","Lili ngadéngé yén ""Bubur Ayam"" téh éndah di warung makan éta",Lili ngajak temenna nuju warung makan éta
Food,"Lili ancrub kana rasa ""Bubur Ayam"" nu éndah.","Tono teu nganggé ""Pisau Raut"" éta.","Tono rék nganggé ""Pisau Raut"" nu tradisional ti Sunda",Tono ngajak bapana nuju pasar,"Tono meuli ""Pisau Raut"" ti penjual nu aya di pasar",Tono ngajak bapana nuju mobil
Food,"Tono hayang ngajérél bapana ngeunaan ""Pisau Raut"" nu tradisional.","Sinta henteu nginum ""Bajigur"" éta.","Sinta rék nginum ""Bajigur"" nu éndah",Sinta ngajak temenna nuju warung makan,"Sinta meuli ""Bajigur"" ti penjual nu aya di warung makan",Sinta ngajak temenna nuju meja makan
Food,"Sinta ancrub kana rasa ""Bajigur"" nu éndah.","Dedi teu ngangkat ""Dodol Garut"" éta.","Dedi rék ngangkat ""Dodol Garut"" salaku oleh-oleh",Dedi ngajak bapana nuju pasar,"Dedi meuli ""Dodol Garut"" ti penjual nu aya di pasar",Dedi ngajak bapana nuju mobil
Food,"Dedi hayang ngabéjaan bapana ngeunaan ""Dodol Garut"" nu éndah.","Vina henteu ngadahar ""Surabi"" éta.","Vina rék ngadahar ""Surabi"" nu éndah",Vina ngajak temenna nuju warung makan,"Vina meuli ""Surabi"" ti penjual nu aya di warung makan",Vina ngajak temenna nuju meja makan
Food,"Vina ancrub kana rasa ""Surabi"" nu éndah.","Rina teu nganggé ""Centong"" éta.","Rina rék nganggé ""Centong"" nu tradisional ti Sunda",Rina ngajak bapana nuju pasar,"Rina meuli ""Centong"" ti penjual nu aya di pasar",Rina ngajak bapana nuju mobil
Food,"Rina hayang ngajérél bapana ngeunaan ""Centong"" nu tradisional.","Ira henteu nginum ""Sekoteng"" éta.","Ira rék nginum ""Sekoteng"" nu éndah",Ira ngajak temenna nuju warung makan,"Ira meuli ""Sekoteng"" ti penjual nu aya di warung makan",Ira ngajak temenna nuju meja makan
Food,"Ira ancrub kana rasa ""Sekoteng"" nu éndah.","Lestari teu ngangkat ""Kue Peuyeum"" éta.","Lestari rék ngangkat ""Kue Peuyeum"" salaku oleh-oleh",Lestari ngajak bapana nuju pasar,"Lestari meuli ""Kue Peuyeum"" ti penjual nu aya di pasar",Lestari ngajak bapana nuju mobil
Food,Rara henteu hilap mésér gorengan tahu nu gurih di dinya salami bulan Ramadhan.,Rara henteu bisa ngajajal rupa-rupa rasa gorengan.,"Di bulan Ramadhan, Rara sering meuli rupa-rupa gorengan di pasar tradisional","Anjeunna suka milih gorengan tahu, tempe, jeung bakwan",Rara loba ngajajal rupa-rupa rasa nu ada,Rara kacida resep kana gorengan tahu nu rasana gurih
Food,Rendi henteu hilap mésér kue putu nu manis di dinya salami acara hajatan.,Rendi henteu bisa ngajajal rupa-rupa jajanan tradisional.,"Ti budak leutik, Rendi geus resep kana rupa-rupa jajanan tradisional",Anjeunna suka milih jajanan anu manis-manis,Rendi loba ngajajal rupa-rupa jajanan nu ada,Rendi kacida resep kana kue putu nu rasana manis
Food,Arman henteu hilap mésér kolak cau nu gurih di dinya salami bulan Ramadhan.,Arman henteu bisa ngajual kolak di masjid.,"Di bulan Puasa, Arman sering ngajual rupa-rupa kolak di masjid",Anjeunna suka milih kolak cau nu rasana gurih,Arman loba ngajajal rupa-rupa rasa kolak nu ada,Arman kacida resep kana kolak cau nu rasana gurih
Food,Fajar henteu hilap mésér siomay nu gurih di dinya salami acara hajatan.,Fajar henteu bisa ngajajal rupa-rupa jajanan di pasar tradisional.,"Di hari Minggu, Fajar sareng kulawargana nuju ka pasar tradisional",Anjeunna sumanget pisan pikeun nyobaan rupa-rupa jajanan tradisional,Fajar loba ngajajal rupa-rupa jajanan nu ada,Fajar kacida resep kana siomay nu rasana gurih
Food,Sinta henteu hilap mésér es campur nu manis di dinya salami bulan Ramadhan.,Sinta henteu bisa ngajajal rupa-rupa takjil di masjid.,"Di bulan Ramadhan, Sinta sering meuli rupa-rupa takjil di masjid",Anjeunna suka milih takjil nu rasana manis-manis,Sinta loba ngajajal rupa-rupa rasa takjil nu ada,Sinta kacida resep kana es campur nu rasana manis
Food,Lestari henteu hilap mésér jus jeruk nu seger di dinya salami acara liburan.,Lestari henteu bisa ngajajal rupa-rupa inuman di wahana wisata cai.,"Di hari Minggu, Lestari sareng kulawargana nuju ka wahana wisata cai",Anjeunna sumanget pisan pikeun nyobaan rupa-rupa inuman nu seger,Lestari loba ngajajal rupa-rupa inuman nu ada,Lestari kacida resep kana jus jeruk nu rasana seger
Food,Dian henteu hilap mésér sayur asem nu gurih di dinya salami acara hajatan.,Dian henteu bisa ngajajal rupa-rupa sayur tradisional.,"Ti budak leutik, Dian geus resep kana rupa-rupa sayur tradisional",Anjeunna suka milih sayur nu rasana gurih,Dian loba ngajajal rupa-rupa sayur nu ada,Dian kacida resep kana sayur asem nu rasana gurih
Food,Rina henteu hilap mésér kue putu nu manis di dinya salami bulan Ramadhan.,Rina henteu bisa ngajual kue di masjid.,"Di bulan Ramadhan, Rina sering ngajual rupa-rupa kue tradisional di masjid",Anjeunna suka milih kue nu rasana manis-manis,Rina loba ngajajal rupa-rupa rasa kue nu ada,Rina kacida resep kana kue putu nu rasana manis
Food,Yoga henteu hilap mésér sate ayam nu gurih di dinya salami acara hajatan.,Yoga henteu bisa ngajajal rupa-rupa sate di pasar tradisional.,"Di hari Minggu, Yoga sareng kulawargana nuju ka pasar tradisional",Anjeunna sumanget pisan pikeun nyobaan rupa-rupa sate nu lezat,Yoga loba ngajajal rupa-rupa sate nu ada,Yoga kacida resep kana sate ayam nu rasana gurih
Wedding,Asep jeung Sinta junun ngalakukeun acara siraman,Asep jeung Sinta henteu boga duit pikeun acara siraman,Asep jeung Sinta rencanana bakal kawin,Asep jeung Sinta péto pisan kana tradisi adat Sunda,Asep jeung Sinta rencanana ngalakukeun acara siraman,Asep jeung Sinta ngan harepan yén acara siraman réngsé alumina
Wedding,Rina junun maké baju kebaya nu alus,Rina teu boga duit pikeun meuli baju kebaya,Rina resep pisan maké baju kebaya,Rina péto pisan kana baju kebaya nu hadé,Rina rencanana maké baju kebaya dina acara panganten,Rina ngan harepan yén baju kebaya nu dipilih alus
Wedding,Dedi jeung Lisa junun ngundang sakumna batur,Dedi jeung Lisa henteu ngundang batur nu boga harta,Dedi jeung Lisa rencanana ngalakukeun acara panganten,Dedi jeung Lisa péto pisan kana tradisi adat Sunda,Dedi jeung Lisa ngan harepan yén acara panganten réngsé alumina,Dedi jeung Lisa rencanana ngundang sakumna batur
Wedding,Tono junun ngalakukeun acara hajat nu hadé,Tono teu boga duit pikeun acara hajat,Tono resep pisan ngalakukeun acara hajat,Tono péto pisan kana tradisi adat Sunda,Tono rencanana ngalakukeun acara hajat pikeun ulang tahun perkawinana,Tono ngan harepan yén acara hajat réngsé alumina
Wedding,Ira junun maké rias penganten nu alus,Ira teu boga duit pikeun bayar rias penganten,Ira resep pisan maké rias penganten,Ira péto pisan kana rias penganten nu hadé,Ira rencanana maké rias penganten dina acara panganten,Ira ngan harepan yén rias penganten nu dipilih alus
Wedding,Budi jeung Yuli junun ngundang sakumna batur,Budi jeung Yuli henteu ngundang batur nu boga harta,Budi jeung Yuli rencanana ngalakukeun acara panganten,Budi jeung Yuli péto pisan kana tradisi adat Sunda,Budi jeung Yuli ngan harepan yén acara panganten réngsé alumina,Budi jeung Yuli rencanana ngundang sakumna batur
Wedding,Anjeunna langkung resep nginum jahe hangat.,Lestari leuwih resep nginum baé saméméh kawin.,Lestari nu anyar kawin resep pisan nunda tradisi nginum baé,"Lamun nginum baé, manéhna langsung ngarasa seueul",Sirahna ogé langsung lieur,"Ku alatan éta, Lestari pernah tara nginum baé"
Wedding,"Rupana, Sinta kudu ngajabat tangan pangantin awéwé.",Jalma anu ngageroan anjeunna ngajual inuman tiis.,Sinta sareng pangantin lalakina nuju imah panganten awéwé,Anjeunna sumanget pisan pikeun nepikeun sirih pinang,Manehna buru-buru nyokot sirih pinang nu deukeut,Ujug-ujug aya nu ngageroan Sinta
Wedding,Anjeunna langkung resep nganggo kebaya nu warna beureum.,Dina leuwih resep nganggo kebaya nu warna hideung.,Dina nu anyar kawin resep pisan nganggo kebaya,"Lamun nganggo kebaya, manéhna langsung ngarasa élegan",Rambutna ogé langsung dihias,"Ku alatan éta, Dina pernah tara nganggo kebaya"
Wedding,Adi langsung ngawakilan rasa gumbira pas ngomong.,Adi langsung nganggap batur éta minangka batur asing.,Adi nyoba ngundang batur lantaran ulang taunna,Adi teu sadar iraha eta batur nganjang,Adi nyampeurkeun ka tempat diukna batur lantaran batur teu indit,Batur langsung ngomong ka arah Adi nu muka
Wedding,Anjeunna langkung resep nginum es doger nu dicampur gula beureum.,Rina leuwih resep nginum es doger saméméh kawin.,Rina nu anyar kawin resep pisan nginum es doger,"Lamun nginum es doger, manéhna langsung ngarasa seueul",Sirahna ogé langsung lieur,"Ku alatan éta, Rina pernah tara nginum es doger"
Wedding,"Rupana, Lestyo poho mayar séwa palampung.",Jalma anu ngageroan anjeunna ngajual inuman tiis.,Lestyo sareng kulawargana nuju wisata ka wahana wisata cai,Anjeunna sumanget pisan pikeun nyobaan sorodotan cai nu pangjangkungna di dinya,Manehna buru-buru nyokot pelampung nu deukeut,Ujug-ujug aya nu ngageroan Lestyo
Wedding,"Ku kituna, Diah berkah ka batur anu ngahadiahkeun jam tangan.",Diah memang jalma anu hébat.,Diah meunang hadiah jam tangan ti batur,Kulawarga Diah ngiring bingah,Teu hilap ka batur sareng sadaya,Peresmian bakal dilaksanakeun ahir minggu ieu
Wedding,"Pikeun Ayu, sinétron téh minangka sarana hiburan peuting.",Ayu hayang pisan jadi salah saurang palaku dina sinetron.,Ayu resep pisan nonton sinetron,Unggal soré sanggeus solat magrib manéhna diuk hareupeun layar televisi salila 3 jam,Aya kalana manéhna ngagerendeng lantaran keuheul ningali tokoh antagonis anu kalakuanana mindeng ngaganggu tokoh utama,Teu jarang Ayu dibaturan ku akina nalika nonton sinetron
Family Relationships,Aki jeung nini gumbira ngajak Rina,Aki jeung nini teu hayang ngajak Rina,"Aki jeung nini geus lami teu kénéh ngajak budakna, Rina",Rina hayang pisan ngajak aki jeung ninina ka taman wisata,Rina resep pisan ngajak aki jeung ninina keur ngajak rekreasi,Rina ngajak aki jeung ninina ka gunung Tangkuban Perahu
Family Relationships,Abah jeung emak tiasa nangtung di pérsi anu luhur,Abah jeung emak nangtung di pérsi anu handap,Abah jeung emak rék nangtung di pérsi jauh pisan ti imah,Abah jeung emak hayang nangtung di pérsi anu luhur,Abah jeung emak luhur kénéh ngajaga imahna,Abah jeung emak teu hayang ngalakukeun dosa
Family Relationships,Indri gumbira ngajak kolotna ka pasar,Indri teu hayang ngajak kolotna ka pasar,Indri geus lami teu ngajak kolotna ka pasar,Indri hayang ngajak kolotna ka pasar,Indri rék nangtung di pérsi anu luhur,Indri ngajak kolotna ka pasar nu aya di kota
Family Relationships,Mamat gumbira ngajak aki jeung ninina ka masjid,Mamat teu hayang ngajak aki jeung ninina ka masjid,Mamat geus lami teu ngajak aki jeung ninina ka masjid,Mamat hayang ngajak aki jeung ninina ka masjid,Mamat rék nangtung di pérsi anu luhur,Mamat ngajak aki jeung ninina ka masjid nu aya di kampungna
Family Relationships,Asep gumbira ngajak kolotna ka gunung,Asep teu hayang ngajak kolotna ka gunung,Asep rék ngajak kolotna ka gunung,Asep hayang ngajak kolotna ka gunung,Asep rék nangtung di pérsi anu luhur,Asep ngajak kolotna ka gunung Tangkuban Perahu
Family Relationships,Ujang junun ngabogohkeun ayahna pikeun ningali kota,Ayah si Ujang teu daék kabogoh,Ayah si Ujang cicing di kampung nu jauh ti kota,Ujang hayang ngabogohkeun ayahna pikeun ningali kota,Ujang resep pisan maca buku nu nyaritakeun kahirupan di kota,Ujang miharep yén ayahna bakal kagum kana kota
Family Relationships,Dina junun ngariung sareng kulawarga,Dina kénéh ngariung sorangan,Dina geus lila teu ngariung sareng kulawarga,Dina hayang ngariung sareng kulawarga pikeun ngahargaan Idul Fitri,Dina ogé hayang ngariung sareng batur ti kénéh,Dina nyiapkeun rupa-rupa kadaharan pikeun ngariung
