Topic,correct_ending,incorrect_ending,sentence_1,sentence_2,sentence_3,sentence_4
Food,"Widi ngabantos ka sanak sodara na dodol, peuyeum, jeung pisang molen.",Widi ngajengkeun pisang molen ka sanak sodara na.,Widi geus balik ti Bandung,Anjeunna balik ngajengkeun rupa-rupa oleh-oleh,"Anjeunna ngajengkeun dodol, peuyeum, jeung pisang molen",Widi parantos ngajengkeun oleh-oleh ka sadayana sanak saudara
Food,Gilang langsung henteu teu tiasa belanja.,Gilang teu ngarasa teu kudu henteu teu tiasa belanja.,Gilang geus ngahiji ka pasar,Gilang ngahiji ka pasar tukang,Gilang geus ngahiji ka pasar tukang ti jam 6 subuh,Gilang nyanda nyaho pasar tukang tutup jam pitu
Food,Tika geus pesen jajan jeung sayuran ku tukang sayur langganan.,Tika ngarasa katingali di pasar.,Tika teu boga asa ka pasar,Tika geus tilu minggu teu boga asa ka pasar,Tika teu boga asa ka pasar salami virus corona,Tika ngarasa katingali di pasar
Food,Adit ngarempak boga sunda pikeun parantosan imahna.,Panggangan anu diwarisi ku buyutna teu tiasa ngarempak boga.,Adit mahir ngarempak,Anjeun ngarempak di dapur imahna,Adit ngarempak make panggangan nu diwarisi ti buyutna,Naha panggangan anu diwarisi ku buyutna tiasa ngarempak boga nu lezat
Food,Sinta boga parantosan nu lepat ti boga sunda anu dijualna.,Sinta teu boga warung boga sunda.,Sinta ngajual boga sunda,Anjeun boga warung boga sunda di pasar,Sinta ngajual boga sunda nu lezat jeung halal,Sinta ngajual boga sunda pikeun parantosan keluarga
Food,Fadil ngarasa teu boga kasempetan ngajaga kebun anjeunna saterusna anjeunna ngarasa henteu boga waktos.,Fadil ngajaga kebun anjeunna jeung bener.,Fadil boga kebun nu lebar,Anjeun ngajaga kebun anjeunna jeung bener,Fadil ngarasa teu boga kasempetan ngajaga kebun anjeunna,Fadil ngarasa teu boga waktos pikeun ngajaga kebun anjeunna
Food,Mila jadi lepat ngeunaan masalah anu dibicarakeun jeung kanca-kancana.,Mila teu boga kanca-kancana.,Mila ngaharepan bisa ngarumpi jeung kanca-kancana,Mila ngarumpi di warung kopi,Mila ngarumpi jeung kanca-kancana ngeunaan hiji masalah,Mila ngarumpi jeung kanca-kancana ngeunaan masalah anu teu penting
Food,Yuda boga parantosan nu lepat ti boga sunda anu dijualna.,Yuda teu boga warung boga sunda.,Yuda boga hiji usaha boga sunda,Anjeun ngajual boga sunda di warung boga sunda anjeunna,Yuda ngajual boga sunda nu lezat jeung halal,Yuda ngajual boga sunda pikeun parantosan keluarga
Food,Sinta teu boga dagangana saterusna.,Sinta teu boga dagangana sareng.,Sinta geus ngajual gorengan di pasar,Sinta geus nyiapin anu teu kurang,Sinta geus ngajual tadi pagi,Sinta teu boga dagangana
Food,Yanti teu boga rokokna saterusna.,Yanti teu boga rokokna sareng.,Yanti geus ngaharepkeun ulah ngarokok,Yanti geus ngajual rokok,Yanti geus ngarokok tadi pagi,Yanti teu boga rokokna
Food,Dadan teu boga dagangana saterusna.,Dadan teu boga dagangana sareng.,Dadan geus ngajual es cendol,Dadan geus ngajual tadi pagi,Dadan geus ngajual di pasar,Dadan teu boga dagangana
Food,Asep jadi ceurik sarta ngarasa kecewa.,Asep ngarasa lemes jeung jadi teu hade.,Asep ngajadikeun sayur asem,Asep geus ngahiji érbas jeung lalapan,Asep leungitkeun sayur asemna ka kulkas,Asep ngarasa lila jeung naha teu dihidangkeun
Food,Teteh jadi gumbira jeung bangga.,Teteh jadi ceurik sarta ngarasa kecewa.,Teteh réngsé ngajadikeun bubur sumsum,Teteh ngan tina pasar jeung ngajadikeun bubur,Teteh ngahiji buburna ka sanak keluarga,Teteh geus ngahiji bubur jeung jadi geus hade
