topic,kalimat_1,kalimat_2,kalimat_3,kalimat_4,correct_ending,incorrect_ending
Food,Siti ngirim jenang dodol marang sedulure ing Jakarta,Jenang dodol yaiku panganan tradisional saka daerah Banyumas sing digawe saka ketan lan gula Jawa,Siti ngarep-arep sedulure seneng lan kelingan kampung halaman,"Nalika sedulure nampa paket kasebut, dheweke langsung mbukak lan nyoba jenang dodol kuwi",Sedulure Siti seneng banget lan kelingan masa kecil ing Banyumas.,Sedulure Siti ora suka lan mung nyimpen jenang dodol ing lemari.
Food,Budi lan keluargane seneng mangan sega liwet saben Minggu,Sega liwet iku panganan khas Jawa sing dimasak nganggo kaldu lan rempah-rempah,"Biasane, sega liwet dipangan bareng-bareng ing ngarep omah nganggo tangan",Budi ngrasakake kebersamaan lan rasa syukur saben minggu,Keluargane Budi dadi luwih akrab lan harmonis.,Budi bosen lan pengin mangan panganan liyane.
Food,Eko arep tuku wedang ronde ing pasar tradisional,Wedang ronde iku minuman jahe anget sing isine bola-bola ketan,Eko ora sabar pengin ngrasakake wedang ronde sing digawe tukang wedang favoritne,"Nalika Eko tekan pasar, tukang wedang ronde lagi ngaduk kuah jahe sing wangi",Eko langsung tuku lan nikmati wedang ronde kanthi seneng.,Eko mutusake ora tuku lan lunga saka pasar.
Food,Dewi mulih kampung lan nggawa oleh-oleh buah salak marang keluargane,Buah salak iku buah khas daerah Jawa sing rasane manis lan asam,Keluargane Dewi seneng banget nampa oleh-oleh kasebut,"Nalika padha mangan salak, padha kelingan masa-masa panen salak ing kebon",Keluargane Dewi ngrasakake seneng lan nostalgia bareng-bareng.,Keluargane Dewi ora seneng lan nyimpen salak kanggo tamu.
Food,Andi lan kanca-kancane arep nggawe tumpeng kanggo pesta desa,Tumpeng iku panganan tradisional Jawa sing disajikake nganggo nasi kuning lan aneka lauk,Saben wong duwe tugas dhewe-dhewe kanggo nyiapake bahan-bahan,"Nalika tumpeng rampung, kabeh wong bangga karo hasil gawene",Pesta desa dadi rame lan meriah karo tumpeng sing enak.,Tumpeng ora dipangan lan kabeh wong ora seneng.
Food,Lina seneng nggawe jamu kunyit asem kanggo kesehatan,Jamu iku minuman tradisional Jawa sing digawe saka kunyit lan asem Jawa,"Saben dina, Lina nyedhiyakake jamu kanggo keluargane",Keluargane Lina ngrasakake manfaat kesehatan saka jamu sing digawe,Keluargane Lina luwih sehat lan semangat saben dina.,Keluargane Lina ora suka lan ora gelem ngombe jamu.
Food,Rini tuku oleh-oleh saka pasar,Oleh-olehe yaiku jenang dodol khas Jombang,Rini ngarep-arep jenang iki bisa dadi favorit keluargane,Jenang iki digawe saka beras ketan lan gula jawa,Rini nemokake keluargane seneng banget karo jenang dodol iku.,Rini nemokake jenang iku ora enak.
Food,Eko lan Sari mulih saka kebon,Dheweke nggawa hasil panen gedhang raja,Gedhang raja wis misuwur dadi buah khas saka desane,Eko lan Sari rencana masak pisang goreng kanggo sore iki,Gedhang raja iku digoreng lan dipangan bareng teh panas.,Gedhang raja iku digoreng lan ora ana sing gelem mangan.
Food,Mbok Minah nggawa bakul wedang ronde menyang pasar malam,Wedang ronde iku minuman tradisional sing digawe saka jahe lan bola-bola ketan,Wong-wong ing pasar seneng ngombe wedang ronde iki nalika wengi,Mbok Minah seneng amarga banyak sing tuku wedang rondenya,Mbok Minah bali karo bakul sing wis kosong.,Mbok Minah bali karo bakul sing isih kebak.
Food,Arif pancen jago masak,Dina iki dheweke arep masak soto ayam kanggo keluargane,Soto ayam yaiku salah siji panganan tradisional sing akeh disukai,Arif nyiyapake kabeh bahan-bahan kanthi teliti,Keluargane Arif mangan soto ayam kanthi nikmat.,Keluargane Arif ora seneng karo soto ayam.
Food,Mimi ngetokake alat masak lawas saka lemari,Alat masak iku wajan besi sing diwarisake saka mbah putri,Mimi pengin masak sayur lodeh nganggo wajan iku,Sayur lodeh iku panganan tradisional sing digawe saka sayuran lan santan,Sayur lodeh Mimi dadi lan rasane enak banget.,Sayur lodeh Mimi ora mateng kanthi sempurna.
Food,Raka lan kancane dolan menyang kebon apel,Dheweke seneng banget amarga bisa metik apel langsung saka wit,Apel Malang sing dikenal renyah lan manis,Raka rencana nggawa apel-apel iki kanggo oleh-oleh,Apel-apel iki digawe jus lan dipangan bareng-bareng.,Apel-apel iki ora enak lan ora bisa dipangan.
Food,Ibu Wati nggawé wedang jahe kanggo tamu-tamune,Wedang jahe iki khas saka tlatah Jawa,Ibu Wati nyiapake bahan-bahan sing seger lan alami,Tamu-tamune padha ngumpul ing ruang tamu,Wong-wong padha ngicipi wedang jahe lan muji rasane sing unik.,Wong-wong padha ora gelem ngicipi wedang jahe amarga ora seneng.
Food,Pak Budi tuku gethuk kanggo oleh-oleh,Gethuk iku panganan tradisional saka Jawa sing digawe saka ketela pohung,Gethuk iki dikemas apik nganggo daun pisang,Pak Budi nggawa gethuk menyang kampung,Wong kampung seneng banget nampa oleh-oleh gethuk saka Pak Budi.,Wong kampung ora gelem nampa oleh-oleh gethuk saka Pak Budi.
Food,Sari lan kulawargane mangan ing lesehan tradisional,Piring lan gelas sing digunakake digawe saka bahan alami,Sari njupuk sayur lodeh lan tempe mendoan kanggo dipangan bareng sega,Kulawargane mangan bareng-bareng kanthi rame,Sari lan kulawargane seneng banget mangan ing lesehan tradisional iki.,Sari lan kulawargane ora seneng mangan ing lesehan tradisional iki.
Food,Pak Adi tuku pisang raja ing pasar tradisional,Pisang raja iki enak lan legi banget,Pak Adi arep nggawa pisang kasebut kanggo dessert,Pisang raja iku panganan favorit keluargane,Keluargane Pak Adi seneng banget lan langsung mangan pisang raja kasebut.,Keluargane Pak Adi ora seneng pisanan mangan pisang raja.
Food,Mbak Rina sinau nggawe jamu beras kencur,Jamu iki arupa minuman tradisional Jawa sing sehat,"Mbak Rina nyampurake beras, kencur, lan gula jawa",Jamu beras kencur siap dihidangkan,Wong-wong padha seneng lan marem karo jamu beras kencur sing digawe Mbak Rina.,Wong-wong ora gelem ngombe jamu beras kencur sing digawe Mbak Rina.
Food,Dina iki ana festival kuliner tradisional ing desa,Macem-macem panganan lan minuman tradisional disajikake,Warga desa padha kumpul ing alun-alun kanggo nyoba panganan,Ana lomba masak antar warga desa,Warga desa seneng banget lan antusias ngicipi panganan lan minuman tradisional.,Warga desa ora gelem melu festival kuliner tradisional.
Food,Budi kepengin nggawa oleh-oleh kanggo keluargane,"Budi milih dodol cemplon, panganan tradisional saka desa","Ing pasar, Budi ngrembug regane karo bakul",Budi akhirnya tuku sak sithik dodol cemplon,Budi nggawa dodol cemplon lan keluargane seneng banget.,Budi lali nggawa dodol cemplon lan keluargane kuciwa.
Food,Sari seneng banget karo wedang uwuh,Sari nganggep wedang uwuh iki bisa marasake rasa lara,Sari pengin sinau cara nggawe wedang uwuh sing bener,Sari njaluk piwulang saka eyange,Sari ngetutake piwulange eyange lan kasil nggawe wedang uwuh sing enak.,Sari lali piwulange eyange lan wedang uwuh rasane ora enak.
Food,Rini lan keluargane mangan bareng ing lesehan tradisional,Piring-piring godhong pisang digunakake minangka piring,Rasa mangan dadi luwih nikmat,Rini seneng banget karo pengalaman iki,Rini pengin nindakake mangan bareng kaya iki saben minggu.,Rini dadi ora seneng mangan ing lesehan maneh.
Food,Damar seneng banget karo buah salak,"Saben musim salak, Damar mesthi tuku akeh",Damar kerep nggawe manisan salak kanggo keluargane,Damar uga seneng ngedumake manisan salak marang tangga-tanggane,Tangga-tangga Damar seneng banget lan matur nuwun.,Tangga-tangga Damar ngeluh amarga ora seneng manisan salak.
Food,Ibu Siti terkenal minangka juru masak tradisional ing desane,Ibu Siti kerep nggawe jenang abang kanggo acara adat,Jenang abang digawe saka ketan lan gula jawa,"Ibu Siti njaluk bantuan putrane, Andi",Andi sinau cara nggawe jenang abang lan dadi trampil.,Andi ora nggatekake lan jenang abang dadi gosong.
Food,Angga lan kanca-kancane dolan menyang desa kanggo nyoba sega liwet,Sega liwet digawe ing panci tanah liat kanthi cara tradisional,Angga kepengin ngerti rasa asli sega liwet,Angga njaluk porsi ekstra amarga seneng banget,Angga ngrasa sega liwet pancen lezat lan pengin nggawe dhewe ing omah.,Angga ora seneng sega liwet lan ora pengin nyoba maneh.
Food,Rina tuku jenang dodol kanggo oleh-oleh,Rina milih dodol khas saka Kudus,Dodol iki digawe saka ketan lan gula jawa,Rina seneng banget karo rasa lan tekstur dodol iki,Dodol iki dadi kesukaan keluarga Rina ing omah.,Dodol iki ora disenengi dening keluarga Rina.
Food,Eko ngundang kanca-kancane mangan ing omah,Eko lan ibune masak sayur asem lan tempe goreng,Sayur asem digawe nganggo bumbu tradisional,Kanca-kanca Eko seneng banget karo masakane,Eko lan kanca-kancane mangan bareng karo seneng-seneng.,Kanca-kanca Eko ora gelem mangan sayur asem.
Food,Sari lagi sinau nggawe wedang ronde,Wedang ronde minangka minuman tradisional Jowo,Sari nggunakake resep saka neneknya,Wedang ronde Sari dadi apik banget,Sari nggawa wedang ronde menyang acara keluarga lan kabeh seneng.,Sari ora seneng karo wedang ronde sing digawe.
Food,Bayu lan keluargane mangan bareng nganggo tangan,Mangan nganggo tangan iku tradisi sing dijaga ing keluargane,Bayu seneng mangan iwak bakar lan sambel terasi,Keluargane mesthi ngumpul lan mangan bareng saben minggu,Tradisi iki nggawe keluargane Bayu dadi luwih raket.,Bayu ora seneng mangan nganggo tangan.
Food,Lila tuku klepon ing pasar tradisional,Klepon iku jajanan tradisional sing digawe saka ketan lan gula merah,Lila seneng karo rasa manis klepon,Lila ngajak kanca-kancane kanggo nyoba klepon,Kanca-kancane Lila seneng banget karo klepon.,Kanca-kancane Lila ora seneng karo klepon.
Food,Parman lagi sinau nggawe gudeg,Gudeg iku panganan khas saka Yogyakarta,Parman njaluk resep saka ibune,Parman nggunakake nangka muda lan bumbu khas,Gudeg sing digawe Parman disukai dening kabeh kulawarga.,Gudeg sing digawe Parman ora disenengi dening kabeh kulawarga.
Food,Siti lan ibune masak opor ayam kanggo lebaran,Opor ayam iku panganan wajib wektu lebaran,Siti seneng banget mbantu ibune ing pawon,Opor ayam sing digawe dadi istimewa,"Keluargane Siti mangan opor ayam karo ketupat, nikmati banget.",Keluargane Siti ora seneng karo opor ayam sing digawe.
Food,Mbok Sri seneng masak sega liwet kanggo keluargane,Sega liwet iki digawe nganggo santan lan bumbu lengkap,Keluargane mesthi seneng mangan sega liwet bareng-bareng,Sega liwet dadi panganan tradisional sing disukani kabeh wong,Mbok Sri ngajarake cara masak sega liwet marang anak-anake.,Sega liwet nggawe keluargane kesel amarga repot.
Food,Pak Budi duwe kebon salak ing desa,Salak kang ditandur Pak Budi misuwur manis lan renyah,Akeh wong sengaja dolan mung kanggo nyicipi salak Pak Budi,Pak Budi seneng banget bisa ngembangake bisnis salake,Pak Budi nggawe produk olahan salak kanggo oleh-oleh.,Pak Budi mandheg nandur salak amarga laris.
Food,Mbak Tini seneng banget nggawe jenang,Jenang kang digawe kaya jenang grendul lan jenang sumsum,Wong-wong desa seneng tuku jenang Mbak Tini kanggo acara adat,Mbak Tini kerep oleh pesenan akeh nalika musim hajatan,Mbak Tini ngajak warga desa sinau nggawe jenang.,Mbak Tini ora seneng yen jenange laris.
Food,Pak Joko duwe warung kopi tradisional,Kopi kang disedhiyakake digawe saka biji kopi asli saka kebon dhuwure dhewe,Para pelanggan seneng banget karo rasa asli kopi Pak Joko,Warung kopi Pak Joko dadi panggonan favorit kanggo kumpul,Pak Joko ngundang para pelanggan kanggo panen kopi bareng.,Pak Joko nutup warung kopine amarga rame.
Food,Rina wis biasa mangan nganggo tangan,Rina rumangsa luwih nikmat yen mangan nganggo tangan tinimbang sendok,Keluargane uga duwe kebiasaan sing padha,Mangan bareng-bareng dadi luwih hangat lan akrab,Rina ngajak kanca-kancane sinau babagan budaya mangan nganggo tangan.,Rina ngowahi kebiasaane mangan nganggo sendok.
Food,Ana pasar tradisional ing desa Sari,Pasar iki rame saben dina minggu,Wong-wong desa seneng blanja ing pasar iki amarga akeh bahan pangan segar,Ana uga panganan tradisional sing dijual ing pasar iki,Wong-wong desa ngadani festival panganan tradisional saben taun.,Pasar tradisional dadi sepi amarga akeh sing tuku online.
Food,Sari nggawa oleh-oleh jenang dodol saka desa,Jenang dodol iku panganan tradisional sing digawe saka ketan lan gula jawa,"Nalika tekan omah, Sari menehi jenang dodol marang keluargane",Kabeh seneng banget lan langsung mangan bareng-bareng,Sari lan keluargane ngrasakake lezate jenang dodol karo teh anget.,Sari langsung turu tanpa ngucapke sukur.
Food,Bambang tuku klepon ing pasar tradisional,Klepon iku panganan cilik sing digawe saka glepung ketan lan gula jawa,Bambang langsung mangan klepon nalika isih anget,Klepon iku legi lan gurih,Bambang ngajak kanca-kancane mangan klepon bebarengan.,Bambang njupuk klepon kabeh lan ora dibagi.
Food,Wati lan ibu-ibune desa lagi nggawe wedang ronde,Wedang ronde iku minuman tradisional sing ngandhut bola-bola ketan isi kacang,Wati seneng banget bisa sinau nggawe ronde saka ibu-ibune,"Sawise rampung, wedang ronde dipangan bareng-bareng",Wati uga ngepasiake wedang ronde kanggo tetanggane.,Wati ora seneng karo wedang ronde sing digawe.
Food,Agung seneng banget karo buah salak,Salak iku buah khas saka desane,"Nalika mangsa panen, Agung tansah melu panen salak karo keluargane",Salak sing dipanen banjur dijual ing pasar,Agung lan keluargane seneng banget nampa hasil penjualan salak.,Agung lali karo salak lan malah tuku buah liyane.
Food,Lina lan keluargane mangan sega liwet ing pinggir kali,Sega liwet iku sega sing dimasak karo santan lan bumbu-bumbu tradisional,Lina seneng banget karo sega liwet sing gurih lan wangi,Kabeh anggota keluargane uga padha seneng,Lina ngajak keluargane mangan sega liwet saben minggu.,Lina ora pengin mangan sega liwet maneh.
Food,Budi tuku gudeg nalika liburan ing Yogyakarta,Gudeg iku panganan khas Yogyakarta sing digawe saka nangka muda,Budi seneng banget karo rasane gudeg sing manis lan legit,Budi banjur nggawa gudeg kanggo oleh-oleh,Keluargane Budi seneng banget nampa oleh-oleh gudeg.,Budi mangan gudeg dhewe lan ora dibagi.
Food,Siti arep tuku oleh-oleh kanggo keluargane,Keluargane seneng banget karo jenang Kudus,Jenang Kudus iku panganan tradisional Jawa sing legi lan lenjel,Siti milih jenang sing paling enak ing pasar,Siti tuku jenang Kudus lan bali menyang omah karo seneng.,Siti ora nemu jenang Kudus ing pasar.
Food,Budi lan keluargane mangan bareng ing omah,Wong tuwane Budi nggawe gudeg,Gudeg iku panganan tradisional saka nangka enom sing diolah kanthi bumbu khas,Budi mangan kanthi lahap,Budi matur nuwun marang ibu bapak sing wis masak.,Budi ora seneng karo gudeg.
